Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/so-lien-doi-tai-ban-2023.html https://cdn0.fahasa.com/media/catalog/product/s/o/so-lien-doi_tb-2023.jpg "

					Sổ Liên Đội (Tái Bản 2023)				" "" "(0 đánh giá)" "
Nhà Xuất Bản Kim Đồng " "
				    Hội Đồng Đội Trung Ương				" "
				    Kim Đồng				" "
				    2023				" "
				    29 x 20.5 x 0.3 cm				" "
				    Bìa Mềm				" "
Sổ Liên Đội
Được biên soạn bởi Hội đồng đội Trung ương, đây là cuốn sổ cần thiết, bắt buộc dành cho liên đội trưởng trong công tác hoạt động, thống nhất trên toàn quốc. 
" "
				    64				" "Sách tiếng Việt" "Chính Trị - Pháp Lý - ..." "Đội - Đoàn - Đảng" "null" "31.500 đ" "35.000 đ"
https://www.fahasa.com/guong-thieu-nhi-lam-theo-loi-bac-cha-me-nang-buoc-con-di.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_231663.jpg "

					Gương Thiếu Nhi Làm Theo Lời Bác - Cha Mẹ Nâng Bước Con Đi				" "" "(0 đánh giá)" "
Nhà Xuất Bản Kim Đồng " "
				    Thanh Hà, Cloud Pillow				" "
				    NXB Kim Đồng				" "
				    2021				" "
				    26 x 19 cm				" "
				    Bìa Mềm				" "
Bác Hồ luôn rất quan tâm đến việc hướng dẫn, giáo dục thế hệ trẻ. Năm 1961, nhân Lễ Kỉ niệm 20 năm Ngày thành lập Đội, theo đề nghị của Trung ương Đoàn Thanh niên Lao động Việt Nam, Chủ tịch Hồ Chí Minh đã gửi một bức thư cho thiếu niên, nhi đồng.
Trong thư Bác căn dặn: “Các cháu cũng tham gia đấu tranh bằng cách thực hiện mấy điều sau đây:
Yêu Tổ quốc, yêu đồng bào
Học tập tốt, lao động tốt
Đoàn kết tốt, kỉ luật tốt
Giữ gìn vệ sinh
Thật thà, dũng cảm.”
Trong bộ sách tràn đầy ý nghĩa và tình yêu thương này, chúng mình hãy cùng gặp gỡ những tấm gương thiếu niên nhi đồng tiêu biểu, làm theo năm điều Bác dạy trong giai đoạn hiện đại này nhé! 
" "
				    20				" "Sách tiếng Việt" "Chính Trị - Pháp Lý - ..." "Đội - Đoàn - Đảng" "null" "27.000 đ" "30.000 đ"
https://www.fahasa.com/so-tong-phu-trach-tai-ban-2023.html https://cdn0.fahasa.com/media/catalog/product/s/o/so-tong-phu-trach-doi_tb-2023.jpg "

					Sổ Tổng Phụ Trách (Tái Bản 2023)				" "" "(0 đánh giá)" "
Nhà Xuất Bản Kim Đồng " "
				    Hội Đồng Đội Trung Ương				" "
				    Kim Đồng				" "
				    2023				" "
				    29 x 20.5 x 0.2 cm				" "
				    Bìa Mềm				" "
Sổ Tổng Phụ Trách
