Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/dshcm-hanh-trinh-theo-chan-bac.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_237825.jpg "

					Di Sản Hồ Chí Minh - Hành Trình Theo Chân Bác (Tái Bản 2021)				" "" "(0 đánh giá)" "
NXB Trẻ " "
				    Trần Đức Tuấn				" "
				    NXB Trẻ				" "
				    2021				" "
				    20.5 x 13 x 1.5 cm				" "
				    Bìa Mềm				" "
Hành trình của đoàn làm phim “Hồ Chí Minh – Một hành trình” lần theo hành trình tìm đường cứu nước suốt hơn 30 năm của Bác.
Câu chuyện “ngày ấy” của Bác và chuyện “bây giờ” của đoàn làm phim được xen kẽ, lồng ghép vào nhau, tạo ra độ phong phú, sinh động và hấp dẫn. Vì thế, sách không chỉ lùi về quá khứ cách đây gần một thế kỷ như một bộ phim tài liệu lịch sử, mà còn tua nhanh đến hiện tại để tìm hiểu về những đất nước xa xôi như một phóng sự “thế giới đó đây”. Độc giả sẽ có một chuyến du lịch đến 16 nước và vùng lãnh thổ khắp thế giới để hiểu thêm về đất nước, con người nơi đó, để từ đó hiểu rõ hơn bối cảnh câu chuyện của Bác.
Với độ từng trải và am hiểu của một người đi rất nhiều, đã từng đi tàu thủy từ vùng biển Caribean đến Hắc Hải, đã từng đi xe lửa xuyên Siberia từ Moskva đến Vladivostok, tác giả chia sẻ được bối cảnh lịch sử và cảm xúc của người xưa trên những dặm đường cứu nước. Ông vừa có cái nhìn thâm trầm, cách tiếp cận và sử dụng thông tin cẩn thận, chỉnh chu của một người có tuổi, vừa có những cảm xúc dạt dào của một người trẻ.
Sách có nhiều hình ảnh minh họa, đa số được chụp trong những hành trình theo chân Bác trong thời gian gần đây và mười bản đồ vạch rõ lộ trình của Bác. 
" "
				    351				" "Sách tiếng Việt" "Chính Trị - Pháp Lý - ..." "Nhân Vật và Sự kiện" "null" "112.500 đ" "125.000 đ"
https://www.fahasa.com/di-san-ho-chi-minh-bac-ho-voi-viec-doc-va-tu-hoc.html https://cdn0.fahasa.com/media/catalog/product/8/9/8934974186861.jpg "

					Di Sản Hổ Chí Minh - Bác Hồ Với Việc Đọc Và Tự Học				" "" "(0 đánh giá)" "
NXB Trẻ " "
				    TS Vũ Dương Thúy Ngà				" "
				    Trẻ				" "
				    2023				" "
				    20.5 x 13 x 0.8 cm				" "
				    Bìa Mềm				" "
Di Sản Hổ Chí Minh - Bác Hồ Với Việc Đọc Và Tự Học
