Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/nhung-tieu-luan-triet-hoc-2019.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_198799.jpg "

					Những Tiểu Luận Triết Học (2019)				" "" "(0 đánh giá)" "
Viện Quản lý PACE " "
				    Bertrand Russell				" "
				    NXB Khoa Học Xã Hội				" "
				    2019				" "
				    20.5 x 14.5 cm				" "
				    Bìa Mềm				" "
Bertrand Russell (1872–1970) là một trong những nhà tư tưởng lớn của thế kỷ 20. Được xem là một trong những nhân vật gây tranh cãi nhất của thế kỷ này, Betrand Russell nổi tiếng về những bài viết đầy khiêu khích của mình.
Được xuất bản lần đầu vào năm 1910, Những tiểu luận triết học của Betrand Russell đánh dấu một giai đoạn quan trọng trong cuộc cách mạng tư tưởng của ông. Quyển sách là tập hợp 7 tiểu luận triết học được trình bày một cách rõ ràng về các vấn đề đạo đức và chân lý. Các tiểu luận này đều là những bài in lại, có chút ít chỉnh sửa, đã được đăng trên nhiều tạp chí.
Qua 7 tiểu luận trong tác phẩm, Betrand Russell đã tiếp cận vấn đề một cách hợp lý từ đạo đức đến chủ nghĩa thực dụng với phong thái tự kiềm chế, phát biểu sáng sủa và lập luận chặt chẽ.
Theo tác giả, tất cả các tiểu luận, có lẽ ngoại trừ tiểu luận về “Lý thuyết nhất nguyên về chân lý” được trình bày sao cho thu hút được những độc giả quan tâm đến những câu hỏi triết học nhưng chưa được thụ huấn chuyên nghiệp về triết học. Bởi vì, với ông, “Khoa triết học, từ những thời kỳ xa xưa nhất, đã tuyên bố nhiều điều lớn lao, nhưng đạt được thành quả ít ỏi, hơn bất kỳ ngành học nào khác… Nay đã đến thời có thể đặt dấu chấm hết cho tình trạng chưa lấy gì làm mãn lòng đó”.
Đây là một tác phẩm giá trị không chỉ ở những luận điểm Russell đưa ra mà còn vì:
“Hy hữu lắm mới có một nhân vật thạc học cao viễn chịu hạ cố bước xuống đấu trường triết học và luận chiến minh bạch nhường ấy, và nhất là với lòng cảm thông nhường ấy, đối với những lập trường ông phê bình. – The Oxford Magazine”. 
