Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/thien-quan-tu-phuc-tap-6.html https://cdn0.fahasa.com/media/catalog/product/b/i/bia-1-mem_tqtp6.jpg "

					Thiên Quan Tứ Phúc - Tập 6				" "" "(0 đánh giá)" "
ZGROUP " "
				    Mặc Hương Đồng Khứu				" "
				    Hà Nội				" "
				    2022				" "
				    20.5 x 14 x 2 cm				" "
				    Bìa Mềm				" "
Giữa lúc đối mặt với Bạch Vô Tướng trong Đồng Lô, Tạ Liên chợt nhớ về lúc y vừa bị giáng chức lần đầu tiên…
Khi ấy, vì túng thiếu mà Tạ Liên phải làm những chuyện chưa bao giờ nghĩ mình sẽ làm. Đã thế, Bạch Vô Tướng lại còn xuất hiện quanh y mọi lúc, gieo vào đầu y biết bao thứ đáng sợ.
Nhưng trong hoàn cảnh ấy, cạnh y vẫn còn có một đốm ma trơi không biết tên, mải miết dùng thân thể còn chưa thành hình bảo vệ cho y; và cả thiếu niên Vô Danh quỳ xuống nơi chiến trường hoang vắng, hô lên với y câu “Thề chết đi theo điện hạ!”
Đôi nét tác giả
Nghề nghiệp: Tiểu thuyết gia của mạng văn học Tấn Giang.
Gặp được người, chỉ ba chữ này thôi đã là một trong những chuyện lãng mạn nhất thế giới.”
Các tác phẩm đã xuất bản tại Việt Nam: Ma đạo tổ sư, Hệ thống tự cứu của nhân vật phản diện. 
" "
				    368				" "Sách tiếng Việt" "Đam Mỹ" "null" "null" "108.120 đ" "159.000"
https://www.fahasa.com/khuc-ca-rang-dong-tap-1-tang-kem-bookmark-hai-mat-postcard-hai-mat-bonus-page.html https://cdn0.fahasa.com/media/catalog/product/t/b/tbph-b_n-th_ng.jpg "

					Khúc Ca Rạng Đông - Tập 1 - Tặng Kèm Bookmark Hai Mặt + Postcard Hai Mặt + Bonus Page				" "" "(0 đánh giá)" "
XYZ " "
				    Ichika Yuno				" "
				    Dân Trí				" "
				    2023				" "
				    18 x 13 x 0.9 cm				" "
				    Bìa Mềm				" "
Khúc Ca Rạng Đông - Tập 1
Là một pháp sư chiến đấu, sinh mệnh của Elva dần bị ăn mòn sau những lần chiến đấu với lũ quái vật đến từ biển đen.
Khi biết được điều đó, thiếu niên Alto đã vô cùng căm phẫn. Cậu thề rằng sẽ luôn ở bên cạnh Elva và tìm cho ra cách để cứu ngài ấy.
8 năm thấm thoắt trôi, Alto đã lớn lên thành một chàng trai mạnh mẽ, đồng thời lặng lẽ chôn giấu trong lòng những yêu thương chất chồng qua năm tháng trải cùng nhau…
Mặt khác, sinh mệnh vốn chỉ còn vài năm ngắn ngủi của Elva không hiểu sao lại có dấu hiệu hồi phục sau khi sống cùng Alto…
Tập 1 là câu chuyện lãng mạn nhuốm màu cứu rỗi và kỳ ảo được dệt nên bởi chú chó trung thành ấp ôm những yêu thương nồng nhiệt và một chàng trai khó gần lại vụng về trong tình cảm. 
" "
				    192				" "Sách tiếng Việt" "Đam Mỹ" "null" "null" "72.000 đ" "96.000 đ"
https://www.fahasa.com/sanctify-tap-1-tai-ban-2022.html https://cdn0.fahasa.com/media/catalog/product/s/a/sanctify_1_ao_tb2022.jpg "

					Sanctify - Tập 1 (Tái Bản 2022)				" "" "(0 đánh giá)" "
ZGROUP " "
				    GODSSTATION				" "
				    Hội Nhà Văn				" "
				    2022				" "
				    18 x 13 cm x 1.5				" "
				    Bìa Mềm				" "
Sanctify - Tập 1
Khi đang chán chường với công việc của mình và muốn đổi nghề, thầy trừ tà Lance Hunter lại bị cuốn vào một vụ án phức tạp. Anh đồng hành cùng cảnh sát Gilbert và bắt đầu lật lại thảm án xảy ra nhiều năm về trước tại trại trẻ mồ côi, truy tìm dấu vết của những kẻ sa ngã, The Fallen. 
" "
				    216				" "Sách tiếng Việt" "Đam Mỹ" "null" "null" "81.750 đ" "109.000 đ"
