Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/cam-nang-nghiep-vu-danh-cho-tham-phan-kiem-sat-vien-luat-su-trong-linh-vuc-dan-su-va-to-tung-dan-su-434957.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935279149186.jpg "

					Cẩm Nang Nghiệp Vụ Dành Cho Thẩm Phán, Kiếm Sát Viên, Luật Sư (Trong Lĩnh Vực Dân Sự Và Tố Tụng Dân Sự)				" "" "(0 đánh giá)" "
NXB Chính Trị Quốc Gia " "
				    TS Nguyễn Thanh Hải, ThS Châu Thanh Quyền				" "
				    Chính Trị Quốc Gia Sự Thật				" "
				    2023				" "
				    24 x 16 x 4.1 cm				" "
				    Bìa Mềm				" "
Cẩm Nang Nghiệp Vụ Dành Cho Thẩm Phán, Kiếm Sát Viên, Luật Sư (Trong Lĩnh Vực Dân Sự Và Tố Tụng Dân Sự)
Cuốn sách gồm hai phần chính về dân sự và tố tụng dân sự, trong mỗi phần tác giả đưa ra những câu hỏi, những tình huống liên quan đến một số lĩnh vực thường phát sinh tranh chấp và cách giải quyết cụ thể trên cơ sở các quy định của Bộ luật Dân sự và Bộ luật Tố tụng dân sự hiện hành; các nghị quyết của Hội đồng Thẩm phán Tòa án nhân dân tối cao, các giải đáp, hướng dẫn nghiệp vụ của Ngành Tòa án. 
" "
				    824				" "Sách tiếng Việt" "Giáo trình" "Thể loại khác" "null" "259.000 đ" "370.000 đ"
https://www.fahasa.com/hoc-thong-minh-study-smart.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935074128287_11.jpg "

					Học Thông Minh - Study Smart				" "" "(0 đánh giá)" "
Cty Văn Hóa Văn Lang " "
				    Karen Tui Boyes				" "
				    Hồng Đức				" "
				    2022				" "
				    21 x 14 x 0.7 cm				" "
				    Bìa Mềm				" "
Học Thông Minh - Study Smart
Cuốn sách HỌC THÔNG MINH (STUDY SMART) của tác giả Karen Tui Boyes đem đến cho người học bí quyết rèn trí nhớ, luyện tư duy và chinh phục điểm cao trong các kỳ thi.
Thi cử luôn là nỗi lo lớn nhất đối với mỗi học sinh, sinh viên. Tuy nhiên, nếu nắm được những cách học thong minh để vừa tiết kiệm thời gian và công sức, vừa nắm chắc và nhớ kiến thức lâu, bạn hoàn toàn có thể vượt qua và đạt thành tích cao trong một kỳ thi.
HỌC THÔNG MINH là cuốn cẩm nang dành cho HS, SV và bất kỳ ai theo đuổi mục tiêu học tập suốt đời. Những chiến lược cụ thể sẽ giúp bạn cải thiện khả năng tư duy và ghi nhớ. Kèm theo những “mẹo” hoc tập đơn giản mà hiệu qủa, cuốn sách này sẽ là người bạn đồng hành đáng tin cậy của bạn trong hành trình chinh phục kiến thức.
Vì theo Ken và Rita Dunn: “Mỗi người có một cách học riêng và những thế mạnh riêng” 
" "
				    166				" "Sách tiếng Việt" "Giáo trình" "Thể loại khác" "null" "59.160 đ" "68.000 đ"
https://www.fahasa.com/viet-luan-van-khoa-hoc-bang-tieng-anh-writing-a-scientific-paper-in-english.html https://cdn0.fahasa.com/media/catalog/product/9/7/9786043126860.jpg "

					Viết Luận Văn Khoa Học Bằng Tiếng Anh - Writing A Scientific Paper In English				" "" "(0 đánh giá)" "
				    NXB Tổng Hợp TPHCM				" "
				    GS TS Đặng Lương Mô				" "
				    Tổng Hợp Thành Phố Hồ Chí Minh				" "
				    2023				" "
				    20.5 x 15 x 1 cm				" "
				    Bìa Mềm				" "
Viết Luận Văn Khoa Học Bằng Tiếng Anh - Writing A Scientific Paper In English
Tập chuyên khảo này là nội dung thuyết giảng cho các nhà nghiên cứu trẻ của Trung tâm Nghiên cứu và Đào tạo Thiết kế Vi mạch (tiếng Anh là Integrated Circuit Design Research and Education Center, viết tắt là ICDREC) thuộc Đại học Quốc gia Thành phố Hồ Chí Minh, trong thời gian vài tháng giữa năm 2009, nhằm nâng cao trình độ viết luận văn khoa học kỹ thuật của các nhà nghiên cứu trẻ này.
Lúc đầu, tuy đại bộ phận những người này còn ở độ tuổi trên dưới 30, nhưng đã tốt nghiệp các đại học hàng đầu của Việt Nam, một số có học vị thạc sĩ, tiến sĩ, tác giả đã có ý định chỉ thuyết giảng sơ lược về bố cục, cách trình bày của một luận văn khoa học mà thôi. Nhưng trong quá trình thuyết giảng, và qua kiểm tra năng lực viết tiếng Anh phổ thông của các học viên, tác giả thấy nên thêm vài phần có liên quan đến văn pháp, cú pháp, cách xây dựng, làm giàu từ vựng phổ thông. Những phần thêm này không có tham vọng thay thế một sách phổ thông về văn pháp, cú pháp tiếng Anh. Mục đích ở đây chỉ là nêu lên những gì mà một nhà khoa học khi viết luận văn bằng tiếng Anh cần chú ý về văn pháp, cú pháp mà thôi. 
" "
				    204				" "Sách tiếng Việt" "Giáo trình" "Thể loại khác" "null" "81.000 đ" "90.000 đ"
