Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/phan-tich-khu-dat-lap-so-do-thong-tin-cho-cong-viec-thiet-ke-kien-truc.html https://cdn0.fahasa.com/media/catalog/product/9/7/9786048466244.jpg "

					Phân Tích Khu Đất - Lập Sơ Đồ Thông Tin Cho Công Việc Thiết Kế Kiến Trúc				" "" "(0 đánh giá)" "
				    Cty Sách Á Châu				" "
				    Edward T White				" "
				    Đà Nẵng				" "
				    2022				" "
				    27 x 21 x 1.4 cm				" "
				    Bìa Mềm				" "
Phân tích khu đất - Lập sơ đồ thông tin cho công việc thiết kế kiến trúc
• Phân tích khu đất là cẩm nang căn cơ nhất về những chỉ dẫn cách thức thu thập, quản lý và ứng dụng dữ liệu đầu vào cho một bài toán thiết kế kiến trúc, để hình thành nên ý tưởng của một “kiến-trúc-mang-ý-nghĩa.”
• Quyển sách từng “gối đầu giường” cho sinh viên kiến trúc nhiều năm nay càng trở nên thân thiện hơn với phiên bản 2022 “chất lượng quốc tế” được hiệu đính và nâng cấp chất lượng đồ họa từ bản lưu hành nội bộ năm 2018.
• Tổng hợp đầy đủ đầu mục, hệ thống hóa nội dung một cách thông minh với nhiều minh họa và ví dụ cụ thể, Phân tích khu đất còn là một công cụ tiện tay cho các kiến trúc sư hành nghề đang trăn trở tìm ý tưởng cho đồ án thiết kế của mình… 
" "
				    158				" "Sách tiếng Việt" "Khoa học kỹ thuật" "Thiết Kế - Kiến Trúc -..." "null" "210.000 đ" "0"
https://www.fahasa.com/tim-y-qua-mat-cat.html https://cdn0.fahasa.com/media/catalog/product/9/7/9786043564952.jpg "

					Tìm Ý Qua Mặt Cắt				" "" "(0 đánh giá)" "
				    Cty Sách Á Châu				" "
				    Paul Lewis, Marc Tsurumaki, David J Lewis				" "
				    Dân Trí				" "
				    2022				" "
				    30 x 20.5 x 1.7 cm				" "
				    Bìa Mềm				" "
Paul Lewis, Marc Tsurumaki và David J. Lewis đã đúc kết một góc nhìn mới về khái niệm “mặt cắt”, được thể hiện qua sáu mươi ba hình mặt cắt phối cảnh chi tiết và kỳ công của những công trình quan trọng nhất trên thế giới trong vòng một trăm năm qua. Được nghiên cứu và tái dựng dựa trên nguồn dữ liệu sâu rộng, mỗi hình vẽ còn đi kèm với bài phân tích về tầm quan trọng của mặt cắt trong thiết kế của mỗi công trình đó.
Quyển sách này được hệ thống theo một cách kích thích sự khám phá và tạo ra những thảo luận mở về mặt cắt. Sáu mươi ba mặt cắt phối cảnh đã được phân theo bảy nhóm riêng biệt, cung cấp cho sinh viên, kiến trúc sư, và các độc giả khác một góc nhìn tổng quan và toàn diện để có những nghiên cứu sâu hơn về mặt cắt. 
