Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/ky-thuat-trong-uom-giong-cay-canh-mau.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_27854.jpg "

					Kỹ Thuật Trồng Ươm Giống Cây Cảnh				" "" "(0 đánh giá)" "
Cty Văn Hóa Minh Lâm " "
				    Thanh Huyền				" "
				    NXB Hồng Đức				" "
				    2017				" "null" "
				    Bìa Mềm				" "
Bạn muốn có một khu rừng đầy màu xanh thu gọn trong một chiếc chậu cảnh nhỏ để ngay cả khi sống trong một không gian chật hẹp vẫn có thể ngắm nhìn thế giới tự nhiên muôn màu? Hiện tại việc này đã không còn quá khó.
Mọi người đều không tin rằng một khu rừng rậm rạp, xanh mướt lại có thể thu gọn trong tầm mắt và tầm tay mình. Từ cây nhãn, cây lê, cây dâu, cây tùng La Hán, cây cà phê, cây ngô, hạt giống của những loại cây này dường như đều ở ngay trong cuộc sống hằng ngày của chúng ta. Đó có thể là những hạt giống trong loại quả mà chúng ta đã ăn, những cây vô tình nhìn thấy trên vệ đường khi đang đi dạo, thậm chí là những cây dại bên các khe suối, bờ sông đều là những chủng loại cây tốt để tạo thành chậu cảnh. Những cây này có thể khiến văn phòng của bạn trở nên xanh mát làm cho phòng tắm của bạn trở nên thơ mộng, nó cũng có thể tạo nên nhiều cảm xúc lãng mạn cho bàn ăn và khung cửa sổ trong ngôi nhà thân yêu và ấm cúng.
Mỗi người đều có thể tạo ra cho mình một chậu cảnh như vậy. Điều cần chú ý là sự sinh trưởng của cây có thời kỳ nhất định, cho nên, bạn có thể dựa vào sự sáng tạo của mình để tạo được những loại cây thích hợp, chọn một chậu cảnh như ý theo mùa.
  
" "
				    103				" "Sách tiếng Việt" "Khoa học kỹ thuật" "Nông, lâm, ngư nghiệp" "null" "31.500 đ" "35.000 đ"
https://www.fahasa.com/trong-mai-ky-thuat-bon-tuoi-phong-tru-sau-ray-benh-hai.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935073104299.jpg "

					Trồng Mai - Kỹ Thuật Bón Tưới, Phòng Trừ Sâu Rầy, Bệnh Hại				" "" "(0 đánh giá)" "
Cty Văn Hóa Văn Lang " "
				    Việt Chương, Phúc Quyên				" "
				    Mỹ Thuật				" "
				    2015				" "
				    19 x 13 x 0.5 cm				" "
				    Bìa Mềm				" "
Trồng Mai - Kỹ Thuật Bón Tưới, Phòng Trừ Sâu Rầy, Bệnh Hại
Phòng trừ sâu rầy và bệnh hại cho cây mai là công việc mà bất cứ người trồng mai nào thời nay cũng phải đặc biệt quan tâm tới, nhằm tạo ra những cây mai đẹp và hoàn thiện nhất. Nhưng, điều này lại khác biệt với người trồng mai thời xưa.
Ngày nay, cây mai đã trở thành một thứ hàng hóa để đem ra mua bán như các hàng hóa khác ngoài chợ. Vì vậy nghề trồng mai ngày nay được xem là một nghề mang lại thu nhập cao.
Muốn trồng được những cây mai đẹp đạt giá bán cao ngất ngưỡng như vậy, người làm vườn, tức là nghệ nhân hoa kiểng phải dày công chăm sóc tưới bón, và hằng ngày quan tâm đến việc phòng trị các loài sâu rầy và bệnh hại cho cây. Cuốn sách giới thiệu về kỹ thuật trồng, cách chăm sóc, tưới nước, phòng trừ côn trùng - bệnh hại cho cây mai. 
" "
				    119				" "Sách tiếng Việt" "Khoa học kỹ thuật" "Nông, lâm, ngư nghiệp" "null" "31.500 đ" "35.000 đ"
https://www.fahasa.com/ky-thuat-trong-va-cham-soc-cay-lay-hoa-cu.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_191236.jpg "

					Kỹ Thuật Trồng Và Chăm Sóc Cây Lấy Hoa, Củ				" "" "(0 đánh giá)" "
Cty Văn Hóa Minh Lâm " "
				    Thanh Huyền				" "
				    NXB Hồng Đức				" "
				    2016				" "
				    13 x 19				" "
				    Bìa Mềm				" "
Sách hướng dẫn chi tiết, cụ thể về cách chọn giống, làm đất, gieo trồng, bón phân, tưới nước, phòng trừ sâu bệnh, từ đó giúp bà con nông dân canh tác hợp lý, thành phẩm đạt chất lượng tốt, năng suất cao. 
" "null" "Sách tiếng Việt" "Khoa học kỹ thuật" "Nông, lâm, ngư nghiệp" "null" "27.900 đ" "31.000 đ"
https://www.fahasa.com/nuoi-ong-mat-bon-mua-hieu-qua.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_191255.jpg "

					Nuôi Ong Mật Bốn Mùa Hiệu Quả				" "" "(0 đánh giá)" "
Cty Văn Hóa Minh Lâm " "
				    Thanh Huyền				" "
				    NXB Hồng Đức				" "
				    2016				" "
				    13 x 19				" "
				    Bìa Mềm				" "
Ngày nay, nuôi ong lấy mật đã trở thành một nghề với những người nuôi ong chuyên nghiệp. Người nuôi ong sẽ thu được mật ong và các sản phẩm khác như phấn hoa, keo ong, sáp ong, sữa ong chúa... phục vụ nhu cầu thị trường hoặc tạo ra đàn ong mới. 
" "null" "Sách tiếng Việt" "Khoa học kỹ thuật" "Nông, lâm, ngư nghiệp" "null" "27.000 đ" "30.000 đ"
https://www.fahasa.com/tri-tue-cua-rung-kham-pha-tri-thong-minh-va-ngon-ngu-cua-loai-cay.html https://cdn0.fahasa.com/media/catalog/product/8/9/8938539539369.jpg "

					Trí Tuệ Của Rừng - Khám Phá Trí Thông Minh Và Ngôn Ngữ Của Loài Cây				" "" "(0 đánh giá)" "
				    CÔNG TY TNHH XUẤT BẢN THIỆN TRI THỨC				" "
				    Suzzanne Simard				" "
				    Dân Trí				" "
				    2024				" "
				    24 x 16 x 2.3 cm				" "
				    Bìa Mềm				" "
Trí Tuệ Của Rừng - Khám Phá Trí Thông Minh Và Ngôn Ngữ Của Loài Cây
Bắt đầu từ nỗi lo lắng từ sâu thẳm về tương lai của rừng trên Trái Đất, Suzanne Simard – lúc bấy giờ chỉ là nhân viên của một công ty khai thác gỗ – đã dấn bước vào một hành trình nghiên cứu, tìm tòi cách cứu lấy những cánh rừng. Hành trình ấy hóa ra lại là khởi đầu cho một công trình cả đời của bà, khai mở những bí mật của rừng, đặc biệt là hệ thống mạng lưới thông tin phức tạp dưới lòng đất giữa các cây. Chuyến phiêu lưu ấy được liên tục tiếp năng lượng từ tính cách tò mò đã có từ tuổi thơ của Simard.
Trí tuệ của rừng như một cuốn phim ghi lại những động lực, trăn trở, thành công, gục ngã, tình yêu và nước mắt của Giáo sư – Nhà khoa học Suzanne Simard. Những trang viết gần gũi và đong đầy tình cảm đã trở thành lời vẫy gọi độc giả vào thế giới đầy mê hoặc dưới tán cây rừng. Một cách dịu dàng, Simard đã làm sáng tỏ sự tinh vi của mạng lưới nấm rễ cộng sinh, nơi vòng tay nuôi dưỡng của cá thể cây được gọi là Cây Mẹ hòa hợp với cả một vạt rừng. Bà như chàng Odysseus phiêu dạt trong những cánh rừng British Columbia, mang về những câu chuyện đầy rung cảm xoay quanh những phát hiện khai phóng bên cạnh tình thân gia đình và bè bạn. Sự chân thành của Simard thì thầm trên các trang giấy, bà đã nâng niu những khu rừng của mình bằng lòng trắc ẩn.
Cây không thể sống một mình trong rừng, cũng như người, không thể sống một mình trong xã hội. Phải chăng con người nên học cách “cộng sinh” giống như loài cây? 
" "
				    472				" "Sách tiếng Việt" "Khoa học kỹ thuật" "Nông, lâm, ngư nghiệp" "null" "259.200 đ" "288.000 đ"
https://www.fahasa.com/ky-thuat-trong-va-cham-soc-rau-lay-la.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_191234.jpg "

					Kỹ Thuật Trồng Và Chăm Sóc Rau Lấy Lá				" "" "(0 đánh giá)" "
Cty Văn Hóa Minh Lâm " "
				    Thanh Huyền				" "
				    NXB Hồng Đức				" "
				    2016				" "
				    13 x 19				" "
				    Bìa Mềm				" "
Sách hướng dẫn chi tiết, cụ thể về cách chọn giống, làm đất, gieo trồng, bón phân, tưới nước, phòng trừ sâu bệnh, từ đó giúp bà con nông dân canh tác hợp lý, thành phẩm đạt chất lượng tốt, năng suất cao. 
" "null" "Sách tiếng Việt" "Khoa học kỹ thuật" "Nông, lâm, ngư nghiệp" "null" "35.100 đ" "39.000 đ"
https://www.fahasa.com/ky-thuat-trong-cay-canh-thuy-bon.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935088526420_1.jpg "

					Kỹ Thuật Trồng Cây Cảnh Thủy Bồn				" "" "(0 đánh giá)" "
Cty Văn Hóa Minh Lâm " "
				    Thanh Huyền				" "
				    Văn Hóa Thông Tin				" "
				    2011				" "
				    19x13				" "
				    Bìa Mềm				" "
Kỹ Thuật Trồng Cây Cảnh Thủy Bồn
Lời nói đầu
Cây cảnh thủy bồn là chỉ những loại cây chủ yếu lấy nước làm chất sống.
Đây là một phương thác trồng cây mới mẻ để trưng bày và làm xanh hóa không gian sống.
Có thể đem cây trồng trực tiếp trong những vật dụng chứa nước có sự cố định của mâm trồng, kết hợp chăm sóc bạn đã có ngây một bình cảnh như ý  
Trồng thủy bồn được lựa chọn áp dụng các biện pháp kỹ thuật hiện đại tổng hợp, tiến hành sinh hóa, biến đổi gen từ hệ rễ của thực vật sống cạn khiến cho hệ rễ của chúng thích ứng với môi trường nước và sinh trưởng bình tường
Cây cảnh thủy bồn ngoài chức năng làm cảnh và làm sạch môi trường sống như cây cảnh thông thường chúng còn có những ửu điểm lớn như cây có giá thị 
" "
				    295				" "Sách tiếng Việt" "Khoa học kỹ thuật" "Nông, lâm, ngư nghiệp" "null" "48.600 đ" "54.000 đ"
https://www.fahasa.com/ky-thuat-trong-va-cham-soc-mot-so-loai-rau.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_191243.jpg "

					Kỹ Thuật Trồng Và Chăm Sóc Một Số Loại Rau				" "" "(0 đánh giá)" "
Cty Văn Hóa Minh Lâm " "
				    Thanh Huyền				" "
				    NXB Hồng Đức				" "
				    2016				" "
				    13 x 19				" "
				    Bìa Mềm				" "
Sách hướng dẫn chi tiết, cụ thể về cách chọn giống, làm đất, gieo trồng, bón phân, tưới nước, phòng trừ sâu bệnh, từ đó giúp bà con nông dân canh tác hợp lý, thành phẩm đạt chất lượng tốt, năng suất cao. 
" "null" "Sách tiếng Việt" "Khoa học kỹ thuật" "Nông, lâm, ngư nghiệp" "null" "21.600 đ" "24.000 đ"
https://www.fahasa.com/ban-cua-nha-nong-ky-thuat-trong-va-cham-soc-khoai-tay-249024.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_191246.jpg "

					Bạn Của Nhà Nông - Kỹ Thuật Trồng Và Chăm Sóc Khoai Tây				" "" "(0 đánh giá)" "
Cty Văn Hóa Minh Lâm " "
				    Thanh Huyền				" "
				    NXB Hồng Đức				" "
				    2016				" "
				    13 x 19				" "
				    Bìa Mềm				" "
Bộ sách Bạn Của Nhà Nông bao gồm 15 tập, mang những nội dung về các giống vật nuôi, cây trồng, khả năng sản xuất và kỹ thuật chăm sóc nuôi dưỡng cũng như các biện pháp phòng trị bệnh cho chúng. Bộ sách là người bạn đồng hành hữu ích với những người làm nông nghiệp. Áp dụng những phương pháp, kỹ thuật này vào thực tế trồng trọt chăn nuôi, bà con sẽ có những vụ mùa bội thu, đạt năng suất và hiệu quả kinh tế cao. 
" "null" "Sách tiếng Việt" "Khoa học kỹ thuật" "Nông, lâm, ngư nghiệp" "null" "17.100 đ" "19.000 đ"
https://www.fahasa.com/ky-thuat-trong-dau-tay.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_191247.jpg "

					Kỹ Thuật Trồng Dâu Tây				" "" "(0 đánh giá)" "
Cty Văn Hóa Minh Lâm " "
				    Thanh Huyền				" "
				    NXB Hồng Đức				" "
				    2016				" "
				    19 x 13 x 0.5 cm				" "
				    Bìa Mềm				" "
Cuốn sách Kỹ thuật trồng dâu tây là những kỹ thuật trồng và chăm sóc dâu tây. Nó bao gồm hướng dẫn chi tiết, cụ thể về cách chọn giống, làm đất, gieo trồng, bón phân, tưới nước, phòng trừ sâu bệnh, từ đó giúp bà con nông dân canh tác hợp lý, thành phẩm đạt chất lượng tốt, năng suất cao 
" "
				    103				" "Sách tiếng Việt" "Khoa học kỹ thuật" "Nông, lâm, ngư nghiệp" "null" "19.800 đ" "22.000 đ"
https://www.fahasa.com/ky-thuat-trong-va-cham-soc-cam-sanh.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_191248.jpg "

					Kỹ Thuật Trồng Và Chăm Sóc Cam Sành				" "" "(0 đánh giá)" "
Cty Văn Hóa Minh Lâm " "
				    Thanh Huyền				" "
				    NXB Hồng Đức				" "
				    2016				" "
				    13 x 19				" "
				    Bìa Mềm				" "
Nông nghiệp là ngành sản xuất vật chất cơ bản của xã hội, sử dụng đất đai để trồng trọt, chăn nuôi, khai thác cây trồng và vật nuôi làm tư liệu và nguyên liệu lao động chủ yếu để tạo ra lương thực, thực phẩm và một số nguyên liệu trong công nghiệp. Nông nghiệp là một ngành sản xuất lớn, bao gồm nhiều chuyên ngành: Trồng trọt, chăn nuôi, sơ chế nông sản. Theo nghĩa rộng, nó còn bao gồm cả nông nghiệp, thủy sản.
Trong những năm gần đây, tỷ trọng của nông nghiệp trong nền kinh tế đang có xu hướng sụt giảm so với các lĩnh vực kinh tế khác. Tuy nhiên, số lao động trong ngành nông nghiệp vẫn chiếm phần lớn tổng số lao động cả nước. 
" "null" "Sách tiếng Việt" "Khoa học kỹ thuật" "Nông, lâm, ngư nghiệp" "null" "27.900 đ" "31.000 đ"
https://www.fahasa.com/phong-va-tri-benh-cho-ong-mat.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_191256.jpg "

					Phòng Và Trị Bệnh Cho Ong Mật				" "" "(0 đánh giá)" "
Cty Văn Hóa Minh Lâm " "
				    Thanh Huyền				" "
				    NXB Hồng Đức				" "
				    2016				" "
				    13 x 19				" "
				    Bìa Mềm				" "
