Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/tuyet-chieu-phong-chong-rac-roi-tren-mang-cho-doanh-nghiep.html https://cdn0.fahasa.com/media/catalog/product/t/u/tuyet-chieu-phong-chong-rac-roi-tren-mang-cho-doanh-nghiep.x.b_1.jpg "

					Tuyệt Chiêu Phòng Chống Rắc Rối Trên Mạng Cho Doanh Nghiệp				" "" "(0 đánh giá)" "
MCBooks " "
				    John P David				" "
				    NXB Hồng Đức				" "
				    2018				" "
				    20.5 x 13 x 0.5 cm				" "
				    Bìa Mềm				" "
Tuyệt Chiêu Phòng Chống Rắc Rối Trên Mạng Cho Doanh Nghiệp
Tôi bắt đầu hứng thú với lĩnh vực quản trị danh tiếng trực tuyến do một sự kiện xảy ra vào năm 2013. Lúc đó, tôi đang đi nghỉ, anh trai Chris của tôi vốn là một luật sư đã gọi điện và hỏi liệu tôi có muốn hỗ trợ một trong những khách hàng doanh nghiệp của công ty anh ấy hay không (họ đang gặp khủng hoảng truyền thông). Sau khi Chris nói sơ qua, tôi đã đồng ý thảo luận vấn đề này với một trong số những cộng sự của anh.
Ngày hôm sau, khi gia đình tôi bắt đầu đi ngược về phía những dãy núi Bắc Carolina, tôi nói chuyện với đồng nghiệp của Chris và biết rằng khách hàng này đang bị một kẻ, có thể miêu tả chuẩn xác nhất bằng cái tên blogger nổi loạn, tấn công. Qua một
chuỗi những bài viết kích động, blogger này đang cố gắng hạ uy tín toàn bộ ngành. Vài bài đăng của hắn về các công ty khác đã thu hút được cộng đồng mạng và khách hàng này sợ rằng nếu cứ để gã hoành hành thì danh tiếng của công ty và có thể là toàn bộ việc kinh doanh sẽ bị tổn hại vô phương cứu chữa.
Chúng tôi đã phải nhanh chóng dựng lên một phương án phòng vệ. Trong khi vẫn ở trên núi, tôi đã được thuê làm việc và bắt đầu hỗ trợ các luật sư cũng như vị khách hàng này tìm cách tối thiểu hóa và cuối cùng ngăn chặn tổn hại cho danh tiếng của
công ty. Khi lục lại kinh nghiệm 20 năm làm cố vấn quan hệ công chúng của mình để đương đầu với vụ này, tôi nhận ra là chẳng ai có thể miễn nhiễm với các cuộc tấn công trên mạng. Bất cứ ai đều có thể nói bất cứ điều gì trên mạng và đôi khi người ta có rất ít khả năng tác động đến tình trạng ấy. Vụ việc với gã blogger tinh quái này đã nảy ra trong tôi rất nhiều ý tưởng và trong thời gian còn lại của tuần lên núi ấy, tôi đã phác ra một mô hình kinh doanh giúp mọi người đối mặt với các vấn đề quản trị danh tiếng trực tuyến. 
" "
				    387				" "Sách tiếng Việt" "Khoa học kỹ thuật" "Tin học" "null" "109.200 đ" "140.000 đ"
https://www.fahasa.com/microsoft-office-excel-2016-377680.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_50169_1.jpg "

					Microsoft Office Excel 2016				" "" "(0 đánh giá)" "null" "
				    IIG Việt Nam				" "
				    NXB Tổng Hợp TPHCM				" "
				    2020				" "
				    27.5 x 20.5 x 1.5 cm				" "
				    Bìa Mềm				" "
IIG Việt Nam - Đại diện chính thức & duy nhất của tổ chức Khảo thí Certiport và Viện Khảo thí Giáo dục Hoa Kỳ ( ETS) tại Việt Nam chuyên cung cấp các bài thi:
- Tin học quốc tế: MOS (Microsoft Office Specialist), IC3 (Internet and Computing Core Certification), ACA (Adove Certified Associate) , MTA (Microsoft Techonology Associate).
- Tiếng Anh quốc tế: TOEIC Speaking & Writing, TOEIC Listening & Reading, TOEIC Bridge, TOEFL ITP, TOEFL iBT, TOEFL Junior, TOEFL Primary, SAT, GRE... tại Việt Nam. 
" "
				    289				" "Sách tiếng Việt" "Khoa học kỹ thuật" "Tin học" "null" "87.300 đ" "97.000 đ"
https://www.fahasa.com/khai-thac-ung-dung-adobe-flash-vba-trong-day-hoc-so-va-truyen-thong.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_191537.jpg "

					Khai Thác, Ứng Dụng Adobe Flash & Vba Trong Dạy Học Số Và Truyền Thông				" "" "(0 đánh giá)" "null" "
				    Phạm Quang Huy				" "
				    NXB Thanh Niên				" "
				    2018				" "
				    16 x 24				" "
				    Bìa Mềm				" "
Đây là tập 3 trong họ sách hướng dẫn các giáo viên, học sinh khai thác và sử dụng các phần mềm điện toán làm công cụ hỗ trợ góp phần đổi mới việc dạy và học.
Ứng dụng tin học triển khai hiệu quả chương trình CDIO và HEAP - thiết kế hệ thống quản lý học tập với Moodle.
Soạn bài giảng tương tác với Powerpoint, VBA, Quizbilder và Adobe Flash.
Khai thác, ứng dụng Adobe Flash và VBA trong dạy học số và truyền thông.
Ứng dụng công thông tin trong kiểm tra đánh giá.
Ứng dụng công nghê thông tin trong soạn trắc nghiệm tương tác. 
" "
				    360				" "Sách tiếng Việt" "Khoa học kỹ thuật" "Tin học" "null" "94.500 đ" "105.000 đ"
https://www.fahasa.com/ic3-spark-may-tinh-that-don-gian-tap-1-can-ban-ve-he-dieu-hanh-tai-ban-378029.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_244718_1_1487.jpg "

					IC3 Spark - Máy Tính Thật Đơn Giản - Tập 1: Căn Bản Về Hệ Điều Hành (Tái Bản)				" "" "(0 đánh giá)" "null" "
				    IIG Việt Nam				" "
				    Tổng Hợp TPHCM				" "
				    2021				" "
				    26 x 19.5 x 0.5 cm				" "
				    Bìa Mềm				" "
IC3 Spark - Máy tính thật đơn giản - Tập 1: Căn bản về hệ điều hành
Máy tính thật đơn giản
Cung cấp các kiến thức cơ bản về máy tính: phần cứng, phần mềm, Hệ điều hành.
Các ứng dụng chủ chốt
Cung cấp các kiến thức và kỹ năng cơ bản trong việc sử dụng các chương trình ứng dụng Microsoft Word, Microsoft Excel và Microsoft Powerpoint.
Cuộc sống trực tuyến
Cung cấp các kỹ năng làm việc khi trực tuyến trong môi trường Internet. 
" "
				    67				" "Sách tiếng Việt" "Khoa học kỹ thuật" "Tin học" "null" "35.100 đ" "39.000 đ"
https://www.fahasa.com/giao-trinh-thiet-ke-co-khi-voi-solidworks-dung-cho-phien-ban-2019-2014.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_191563.jpg "

					Giáo Trình Thiết Kế Cơ Khí Với Solidworks - Dùng Cho Phiên Bản 2019 - 2014				" "" "(0 đánh giá)" "null" "
				    Phạm Quang Huy				" "
				    NXB Thanh Niên				" "
				    2019				" "
				    24 x 16 x 1 cm				" "
				    Bìa Mềm				" "
Giáo Trình Thiết Kế Cơ Khí Với Solidworks - Dùng Cho Phiên Bản 2019 - 2014
