Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/co-so-cua-hinh-hoc-tai-ban-2020.html https://cdn0.fahasa.com/media/catalog/product/3/4/34_5.jpg "

					Cơ Sở Của Hình Học (Tái Bản 2020)				" "" "(0 đánh giá)" "
ZenBooks " "
				    Richard Fitzpatrick				" "
				    NXB Tri Thức				" "
				    2020				" "
				    20.5 x 14.5 cm				" "
				    Bìa Mềm				" "
Euclid viết sách Cơ Sở Của Hình Học ở Alexandria khoảng 300 năm trước Công nguyên.
(...) Trải qua 2400 năm, các mệnh đề phát biểu và chứng minh trong Cơ Sở Của Hình Học vẫn còn tươi tắn một cách đáng ngạc nhiên. Từ hình học tam giác mà chúng ta học những năm cấp hai, cho đến chứng minh tuyệt đẹp bằng phản chứng cho sự tồn tại vô hạn những số nguyên tố, từ thuật toán Euclid tìm ước số chung lớn nhất mà chúng ta vẫn phải học trong giáo trình cơ sở toán học trong tin học, cho đến chứng minh không tồn tại khối đều nào khác ngoài năm khối đều của Platon, đều là những nội dung đã được triển khai một cách đầy đủ trong Cơ Sở Của Hình Học.
Đấy có lẽ là những lý do tại sao Cơ Sở Của Hình Học được coi là một trong những quyển sách có tầm ảnh hưởng nhất tới sự phát triển của văn minh nhân loại. Sách đã được tái bản hàng ngàn lần, số lần tài bản có lẽ chỉ thua Kinh Thánh. Từ thời kỳ Phục hưng cho đến đầu thế kỷ hai mươi, sách của Euclid được coi là một trong những quyển sách mà người học phải đọc.
(GS. Ngô BẢo Châu) 
" "
				    376				" "Sách tiếng Việt" "Khoa học kỹ thuật" "Toán Học" "null" "68.400 đ" "120.000 đ"
https://www.fahasa.com/danh-thuc-tai-nang-toan-hoc-unleash-the-maths-olympian-in-you-tap-1-7-8-tuoi-tai-ban-2023.html https://cdn0.fahasa.com/media/catalog/product/4/-/4-001.u4939.d20171011.t112715.jpg "

					Đánh Thức Tài Năng Toán Học - Unleash The Maths Olympian In You! Tập 1 (7-8 Tuổi) (Tái Bản 2023)				" "" "(0 đánh giá)" "null" "
				    Terry Chew				" "
				    Thế Giới				" "
				    2023				" "
				    24 x 16 x 1.7 cm				" "
				    Bìa Mềm				" "
Đánh Thức Tài Năng Toán Học - Unleash The Maths Olympian In You! Tập 1 (7-8 Tuổi)
Điều gì đã khiến Singapore hơn 50 năm trước còn là một làng chài nhỏ, nghèo khổ mà nay đã vươn mình trở thành một trong những trung tâm tài chính - kinh tế quan trọng hàng đầu thế giới? Chìa khóa cho sự thành công đó chính là giáo dục.
