Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/so-tay-y-hoc-nhung-bai-thuoc-hay-83.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_9307.jpg "

					Sổ Tay Y Học - Những Bài Thuốc Hay 83				" "" "(0 đánh giá)" "null" "
				    Nhiều Tác Giả				" "
				    Thanh Niên				" "
				    2016				" "
				    19 x 13.5 x 0.2 cm				" "
				    Bìa Mềm				" "
		    Sổ Tay Y Học - Những Bài Thuốc Hay 83		    
" "
				    30				" "Sách tiếng Việt" "Khoa học kỹ thuật" "Y học" "null" "6.300 đ" "7.000 đ"
https://www.fahasa.com/cham-cuu-doi-huyet.html https://cdn0.fahasa.com/media/catalog/product/5/1/51dd116682764e281767.jpg "

					Châm Cứu Đối Huyệt				" "" "(0 đánh giá)" "
Nhà Sách Minh Thắng " "
				    Lữ Cảnh Sơn				" "
				    NXB Dân Trí				" "
				    2022				" "
				    24 x 16 x 1.3 cm				" "
				    Bìa Mềm				" "
Châm Cứu Đối Huyệt
Theo dòng lịch sử thì ngày xưa người ta thường nói “ Vạn bệnh nhất châm , có thể do lúc đau , họ vô tình ấn vào một huyệt nào đó và thấy bớt đau , hết đau , từ đó hình thành việc dùng một huyệt để chữa trị . Sau đó , dần dần người ta phát hiện thêm một huyệt khác để chữa trị tốt hơn , điều này có thể thấy rõ trong sách Châm cứu đại thành của Dương Kế Châu đời nhà Minh , đầu thế kỷ XVII . Tác giả nêu rõ là ông thu thập được rất nhiều bài phú , bài ca của những người đi trước ( không biết là đã có từ bao giờ ) . Các bài phú như Bách chứng phủ , Ngọc long ca ... đã có từ rất lâu trong dân gian , khi trị bệnh , đa số chỉ dùng hai huyệt . Đến đời Lữ Cảnh Sơn ( thế kỷ XX ) , ông cũng đã tiếp thu lại những kinh nghiệm của người xưa qua việc dùng hai huyệt để trị bệnh . Lữ Cảnh Sơn sưu tầm , chọn lọc một số “ cặp huyệt ” , dùng y lý Y học cổ truyền để lý giải sự thành công của việc kết hợp hai huyệt , đồng thời nêu lên một số kinh nghiệm của ông trong việc ứng dụng các “ cặp huyệt ” để trị bệnh.
Chúng tôi cũng giới thiệu đầy đủ các bài phú , bài ca trong sách Châm cứu đại thành mà tác giả đã trích dẫn chứng khi đề cập đến các cặp huyệt liên hệ , để người đọc có điều kiện tham khảo và nghiên cứu sâu hơn về các “ cặp huyệt - đối huyệt ”. 
" "
				    782				" "Sách tiếng Việt" "Khoa học kỹ thuật" "Y học" "null" "304.500 đ" "350.000 đ"
https://www.fahasa.com/tai-sao-chung-ta-lai-gia-di-hieu-dung-ve-lao-hoa.html https://cdn0.fahasa.com/media/catalog/product/8/9/8934974187820.jpg "

