Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/thanh-nien-khoi-nghiep.html https://cdn0.fahasa.com/media/catalog/product/t/h/thanhnienkhoinghiep.jpg "

					Thanh Niên Khởi Nghiệp				" "" "(0 đánh giá)" "
Thái Hà " "
				    David S. Kidder				" "
				    NXB Lao Động Xã Hội				" "
				    08-2017				" "
				    15.5 x 24 x 1.1				" "
				    Bìa Mềm				" "
Thanh Niên Khởi Nghiệp
Thanh niên khởi nghiệp của David Kidder là một cuốn sách về 34 doanh nhân khởi nghiệp thành công với vô vàn bài học khác nhau, họ đều là những người khởi nghiệp từ lúc còn rất trẻ gần như chỉ với hai bàn tay trắng, và họ đã gặp rất nhiều thất bại trước khi đạt được thành công trên con đường kinh doanh. Mỗi thất bại hay thành công ấy của họ đều là kinh nghiệm cần có cho bất kỳ ai đang khởi nghiệp hay có ý định khởi nghiệp. Họ theo đuổi những lĩnh vực riêng, từ thời trang, tiêu dùng cho đến công nghệ, kỹ thuật ,… họ có những ý tưởng mà ban đầu còn bị người khác cho là điên rồ và bất khả thi. Thế nhưng mỗi người đều có cách riêng để thực hiện bằng được giấc mơ, và điểm chung giữa họ chính là bất chấp mọi thất bại, khó khăn , họ đều kiên trì theo đuổi đam mê đến cùng .
Với những con người đầy nhiệt huyết này, kinh doanh với họ không chỉ có một mục tiêu duy nhất là lợi nhuận mà họ còn quan tâm đến nhiều khía cạnh khác như sức khỏe của người tiêu dùng, xây dựng và phát triển cộng đồng tốt đẹp hơn. Như Scott Harrison, từ một người có hoàn cảnh gia đình bất hạnh làm việc cho các hộp đêm ở New York, nhưng sau đó qua nhiều biến cố trong cuộc sống, ông đã thay đổi rất nhiều và lập ra dự án cung cấp nước sạch, hiện tổ chức của ông đã cung cấp được nước sạch cho hàng triệu người tại nhiều quốc gia khác nhau trên thế giới.
Trong Thanh niên khởi nghiệp, bạn sẽ gặp rất nhiều những doanh nhân thành đạt, như Jim McCann với chuỗi cửa hàng hoa có doanh thu hàng trăm triệu đô la, Reid Hoffman – người sáng lập mạng xã hội LinkedIn, Sara Blakely – người sáng lập hãng đồ lót Spanx danh tiếng, Hosain Rahman với công ty Jawbone có sản phẩm tai nghe bluetooth không dây đầu tiên,… Họ sẽ kể cho bạn nghe câu chuyện của họ, từ khi những ý tưởng vừa nhen khởi cho đến quá trình họ bắt tay thực hiện chúng, những khó khăn trên chặng đường họ đã và đang đi, những thời điểm quan trọng mà họ buộc phải đưa ra quyết định, những may mắn và rủi ro, những thành công và thất bại, quan trọng hơn cả, họ sẽ tặng bạn những bài học kinh nghiệm vô giá mà họ đã rút ra từ quá trình khởi nghiệp để đạt đến thành công ngày hôm nay. 
" "
				    234				" "Sách tiếng Việt" "Kinh Tế" "Khởi Nghiệp - Làm Giàu" "null" "71.100 đ" "79.000 đ"
https://www.fahasa.com/10-loi-khuyen-khoi-nghiep-tai-ban-2019.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935251412727.jpg "

