Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/tra-phi-mua-su-chu-y-quang-cao-sang-tao-trong-the-gioi-ky-thuat-so.html https://cdn0.fahasa.com/media/catalog/product/8/9/8934974187332.jpg "

					Trả Phí Mua Sự Chú Ý - Quảng Cáo Sáng Tạo Trong Thế Giới Kỹ Thuật Số				" "" "(0 đánh giá)" "
NXB Trẻ " "
				    Faris Yakob				" "
				    Trẻ				" "
				    2023				" "
				    20.5 x 13 x 1.5 cm				" "
				    Bìa Mềm				" "
Trả Phí Mua Sự Chú Ý - Quảng Cáo Sáng Tạo Trong Thế Giới Kỹ Thuật Số
Những thay đổi chóng mặt trong công nghệ đã khiến bối cảnh truyền thông trở nên sôi động hơn bao giờ hết. Các nhà quảng cáo ngày càng đổ nhiều tiền hơn nhưng đổi lại là lượt tiếp cận khách hàng ngày càng thấp, còn khách hàng bị bao vây bởi dòng chảy nội dung bất tận trên nhiều nền tảng khác nhau. Khi không còn có thể dùng tiền để mua sự chú ý cần thiết cho quảng cáo - các thương hiệu phải phản ứng như thế nào?
Trả phí mua sự chú ý khám phá cách những ý tưởng làm lay động tâm can con người, cũng như những thay đổi cần thiết trong quảng cáo để có thể theo kịp bối cảnh truyền thông hiện đại. Cuốn sách cũng bao gồm nhiều ví dụ thực tế từ các chiến dịch lớn của những công ty như Sony, Redbull và HP, cùng những công cụ và biểu mẫu marketing có tính ứng dụng cao. 
" "
				    304				" "Sách tiếng Việt" "Kinh Tế" "Marketing - Bán Hàng" "null" "121.500 đ" "135.000 đ"
https://www.fahasa.com/content-marketing-trong-ky-nguyen-trai-nghiem-khach-hang.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_10703.jpg "

					Content Marketing Trong Kỷ Nguyên Trải Nghiệm Khách Hàng				" "" "(0 đánh giá)" "
1980 Books " "
				    Randy Frisch				" "
				    NXB Lao Động				" "
				    2019				" "null" "
				    Bìa Mềm				" "
Đúng như những gì được nêu trong phần lời dẫn, đây không phải cuốn sách dành cho những chuyên viên content marketing, cũng không hướng dẫn cách để tạo ra nội dung hấp dẫn. Cuốn sách chứa đựng NHIỀU hơn thế. Nó dành cho tất cả mọi người trong tổ chức, những người cần thấu hiểu bối cảnh để đưa ra định hướng tốt hơn về cách thúc đẩy nhu cầu, doanh thu và phối hợp hiệu quả với bộ phận tiếp thị nội dung.
Trong Content marketing trong kỷ nguyên trải nghiệm khách hàng, tác giả Randy Frisch sẽ thúc đẩy bạn tư duy lại toàn bộ cách tiếp cận nội dung tới quá trình khách hàng ra quyết định. Lối tư duy cũ cho rằng sáng tạo ra càng nhiều nội dung càng tốt. Nhưng thực tế là có hơn 70% nội dung  tiếp thị hiện nay không bao giờ tiếp cận được tới khách hàng, đồng nghĩa với việc phần lớn công sức của chúng ta đổ vào sáng tạo nội dung là vô ích.
Vậy lời giải cho vấn đề này là gì? Content marketing trong kỷ nguyên trải nghiệm khách hàng hé lộ cách để cá nhân hóa nội dung, nhằm tạo ra trải nghiệm thực sự có giá trị với từng khách hàng. Cốt lõi của cuốn sách là Khung trải nghiệm nội dung, hỗ trợ cách cá nhân hóa trải nghiệm nội dung theo từng quy mô. Năm phần của khung là tập trung nội dung, tổ chức nội dung, cá nhân hóa trải nghiệm, phân phối nội dung và tạo ra kết quả. Mỗi yếu tố đều được trình bày cụ thể trong các chương riêng biệt.  
 
Dù là viết email, xây dựng video đào tạo nhân viên mới hay thậm chí là lập hóa đơn, chúng ta đều cần có nội dung hay. 
 
Và bất cứ nơi nào có nội dung, nơi đó có trải nghiệm. Bạn càng có chủ đích khi tạo trải nghiệm đó, bạn sẽ càng kết nối tốt hơn với khán giả của mình. Nếu quan tâm tìm hiểu về trải nghiệm nội dung và ích lợi của nó trong marketing, đây là cuốn sách mà bạn cần phải đọc. 
" "null" "Sách tiếng Việt" "Kinh Tế" "Marketing - Bán Hàng" "null" "108.770 đ" "149.000 đ"
https://www.fahasa.com/10-buoc-thuc-hanh-tro-thanh-chuyen-gia-ban-hang-thanh-cong.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935074127051_1.jpg "

					10 Bước Thực Hành Trở Thành Chuyên Gia Bán Hàng Thành Công - 10 Steps to Successful Sales				" "" "(0 đánh giá)" "
Cty Văn Hóa Văn Lang " "
				    Brian Lambert				" "
				    NXB Hồng Đức				" "
				    2023				" "
				    21 x 13.5 x 1.5 cm				" "
				    Bìa Mềm				" "
10 Bước Thực Hành Trở Thành Chuyên Gia Bán Hàng Thành Công - 10 Steps to Successful Sales
“Chỉ với mười hiểu lầm phổ biến nhất về bán hàng, danh sách việc cần làm và hướng dẫn cụ thể, TRỞ THÀNH CHUYÊN GIA BÁN HÀNG THÀNH CÔNG đã xứng đáng với số tiền bạn bỏ ra. Song, tác động lớn hơn giúp bạn thành công trong sự nghiệp bán hàng sau khi đọc tác phẩm của Lambert là hiểu và áp dụng ý tưởng rằng, các chuyên gia bán hàng giỏi luôn biết cách “nắm bắt tư duy bán hàng”. Điều này không được đề cập trong các chương trình đào tạo bán hàng, mà bạn phải tự biết vận dụng khôn ngoan vào cuộc chơi – và việc còn lại là chứng kiến sự khác biệt nó mang lại trong hiệu suất bán hàng của bạn.”
Dan Seidman – Nhà sáng lập và tư vấn đào tạo bán hàng, SalesA.
“Đây là cuốn sách tuyệt vời về nghệ thuật bán hàng. Hành động theo những chỉ dẫn trong sách, bạn sẽ xây dựng được các mối quan hệ lâu dài và tăng nhanh hiệu suất doanh thu! Đây là tác phẩm mà các nhân viên bán hàng, dù mới bước chân vào nghề hay đã có nhiều năm kinh nghiệm đều nên đọc.”
Aaron Steeves - Giám đốc chi nhánh, Ricoh Business Solutions. 
" "
				    374				" "Sách tiếng Việt" "Kinh Tế" "Marketing - Bán Hàng" "null" "117.450 đ" "135.000 đ"
https://www.fahasa.com/ky-nang-dam-phan-bac-thay.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_44679.jpg "

					Kỹ Năng Đàm Phán Bậc Thầy				" "" "(0 đánh giá)" "
Nhà Sách Minh Thắng " "
				    Lý Khôn Hằng				" "
				    NXB Dân Trí				" "
				    2020				" "
				    20.5 x 14.5 cm x 1.4				" "
				    Bìa Mềm				" "
- Kỹ năng đàm phán là một trong những kỹ năng quan trọng nhất của một người thành đạt . Cuốn sách sẽ hướng dẫn bạn kỹ năng đàm phán với khách hàng :  
Bí quyết mở đầu cuộc đàm phán  
Xây dựng mối quan hệ thân thiết với khách hàng 
Giao tiếp thông minh để khách hàng tin bạn  
Làm cách nào để đọc được tâm lý khách hàng  
Cách kiểm soát tình hình đàm phán 
Phương pháp đột phá tư duy ngôn ngữ 
Phương án giải quyết đôi bên cùng có lợi 
Sơ đồ quá trình đàm phán bán hàng  
" "
				    272				" "Sách tiếng Việt" "Kinh Tế" "Marketing - Bán Hàng" "null" "81.000 đ" "90.000 đ"
https://www.fahasa.com/quantum-marketing.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935251418903.jpg "

					Quantum Marketing				" "" "(0 đánh giá)" "
Alpha Books " "
				    Raja Raiamannar				" "
				    Công Thương				" "
				    2022				" "
				    25 x 19 cm x 1.1				" "
				    Bìa Mềm				" "
Raja Rajamannar, Giám đốc Tiếp thị của Mastercard, chia sẻ các chiến lược biên giới, đột phá để vượt qua những thách thức là kết quả của sự gián đoạn chưa từng có ngày nay.
