Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/nguyen-tac-cu-ca-rot.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_17316.jpg "

					Nguyên Tắc Củ Cà Rốt				" "" "(0 đánh giá)" "
MCBooks " "
				    Adrian Gostick, Chester Elton				" "
				    Hồng Đức				" "
				    2019				" "
				    20.5 x 13 x 1.9 cm				" "
				    Bìa Mềm				" "
Cà-rốt là loại củ hầu như không thể thiếu trong bữa ăn của các gia đình Âu - Mỹ. Sở dĩ cà-rốt chiếm vị trí quan trọng như thế nào trên bàn ăn của họ là vì, như đa số chúng ta đều biết, nó là loại thức ăn vừa bổ dưỡng vừa chứa nhiều loại vitamin thiết yếu có thể giúp cơ thể duy trì sức khoẻ và sự thông minh.
Nếu cà-rốt cần thiết cho mọi người, mọi giới, mọi lúc, mọi nơi thì tuyên dương - khen thưởng, theo 2 tác giả Gostick và Elton, cũng thế. Thật vậy, một lời khen chân thành, đúng lúc có thể biến một người bình thường thành bậc kỳ tài. Một phần thưởng thoả đáng, đúng người không những giúp bạn giữ được nhân viên giỏi mà còn là một đòn bẩy hữu hiệu để tăng năng suất lao động và duy trì sự phát triển bền vững của công ty, tổ chức bạn. Điểm mấu chốt đối với một nhà quản lý là: Quản lý chỉ thực sự đem lại hiệu quả tốt khi sự ghi nhận được thêm vào cùng các phẩm chất lãnh đạo khác. Đây chính là Nguyên tắc củ cà rốt - một khái niệm đơn giản nhưng lúc nào cũng hiệu quả.
Bằng những diễn dịch hết sức gần gũi, sinh động Gostick và Elton sẽ cho chúng ta thấy tầm quan trọng thực sự của cà-rốt trong việc khơi dậy những tiềm năng to lớn đang ngủ yên trong đội ngũ nhân viên của mình. Một trong các mục tiêu của cuốn sách Nguyên tắc củ cà rốt chính là cung cấp cho bạn các con số mà bạn cần để bạn có thể kết hợp chúng hoặc tăng cường sự ghi nhận trong phong cách quản lý tại công ty bạn. Dựa trên kết quả nghiên cứu hơn 200.000 người tham gia khảo sát, Nguyên tắc củ cà rốt đã miêu tả mối liên hệ không thể phù nhận giữa sự ghi nhận với thành công của công ty nói chung và của cá nhân nhà quản lý nói riêng.
Quyển sách này không những trang bị cho các nhà quản lý ngày nay những chiến lược và giải pháp kinh doanh hữu hiệu, mà còn củng cố lòng trung thành và tăng cường hiệu năng lực làm việc của nhân viên bằng cách ghi nhận thành tích của họ thông qua một phương pháp khen thưởng khá đơn giản gọi là Nguyên tắc củ cà-rốt 
Hy vọng rằng, cuốn sách này sẽ đem đến cho bạn một cái nhìn mới mẻ và thật sự đột phá trong công tác hoạch định chiến lược phát triển trước xu thế toàn cầu hoá hiện nay.
  
" "
				    415				" "Sách tiếng Việt" "Kinh Tế" "Quản Trị - Lãnh Đạo" "null" "151.200 đ" "168.000 đ"
https://www.fahasa.com/con-loc-quan-tri-ba-tru-cot-cua-van-hoa-doanh-nghiep.html https://cdn0.fahasa.com/media/catalog/product/8/9/8934974189220.jpg "

					Cơn Lốc Quản Trị - Ba Trụ Cột Của Văn Hóa Doanh Nghiệp				" "" "(0 đánh giá)" "
NXB Trẻ " "
				    Phan Văn Trường				" "
				    Trẻ				" "
				    2023				" "
				    23 x 15.5 x 1.2 cm				" "
				    Bìa Mềm				" "
Cơn Lốc Quản Trị - Ba Trụ Cột Của Văn Hóa Doanh Nghiệp
Doanh nghiệp nào cũng có lúc gặp phải những vấn đề không nhất thiết mang tính kỹ thuật, như sự thiếu vắng động lực, hoặc tinh thần tương tác và làm việc nhóm thấp, thậm chí là mâu thuẫn giữa các thành viên, trong đó có cả các lãnh đạo cấp trung và cấp cao. Chẳng công cụ quản lý nào cho phép giải quyết được những vấn đề bắt nguồn từ sự ganh tị, đố kị, thiên vị, hoặc tệ hơn nữa là nạn bè đảng hay tham nhũng nội bộ.
Các mô hình quản lý chỉ mang lý luận kỹ thuật cục bộ hạn hẹp và những giải pháp cấu trúc có sẵn cho doanh nghiệp. Chỉ văn hóa mới có khả năng vào sâu một cách uyển chuyển các vấn đề trong mối quan hệ giữa người với người. Và đây chính là những vấn đề mà các doanh nghiệp Việt Nam thường gặp phải.
Trong tác phẩm mới nhất về văn hóa doanh nghiệp, tác giả Phan Văn Trường phát triển và đi sâu hơn nữa về chủ đề khá trừu tượng này. Vẫn giữ nguyên phong cách tiếp cận dựa trên những câu chuyện từ thực tế trải nghiệm của mình, ông dẫn dắt độc giả trên con đường tìm hiểu vai trò của văn hóa doanh nghiệp, đồng thời đi sâu giải thích ba phong cách văn hóa mà chính ông đã tiên phong áp dụng cho những doanh nghiệp mình từng tham gia quản trị. 
" "
				    248				" "Sách tiếng Việt" "Kinh Tế" "Quản Trị - Lãnh Đạo" "null" "100.800 đ" "140.000 đ"
https://www.fahasa.com/nguyen-ly-quan-tri-chuoi-cung-ung.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935251400182.jpg "

					Nguyên Lý Quản Trị Chuỗi Cung Ứng				" "4.0" "(1 đánh giá)" "
