Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/su-ta-chuyen-xua-ke-lai-3-tai-ban-2019.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935244825442.jpg "

					Sử Ta - Chuyện Xưa Kể Lại - Tập 3 (Tái Bản 2019)				" "" "(0 đánh giá)" "
Nhà Xuất Bản Kim Đồng " "
				    Nguyễn Như Mai, Nguyễn Quốc Tín, Nguyễn Huy Thắng				" "
				    Kim Đồng				" "
				    2022				" "
				    20.5 x 14.5 x 1.5 cm				" "
				    Bìa Mềm				" "
Bộ sách kể lại lịch sử theo một cách riêng, với mong muốn gây hứng thú cho học sinh, phục dựng lại lịch sử qua những câu chuyện từ thời Hùng Vương dựng nước đến thời điểm khai sinh nước Việt Nam dân chủ cộng hòa.
Bộ sách gồm 4 tập, nhằm đem đến  cho bạn đọc một bộ sử gần gũi, dễ đọc, thông qua những câu chuyện hay, thú vị. Đắm mình với những câu chuyện ấy, bạn sẽ sẵn sàng tiếp nhận, tìm tòi, khám phá tiếp những điều khiến chính bạn cũng muốn tham gia... 
" "
				    300				" "Sách tiếng Việt" "Lịch Sử - Địa Lý - Tôn..." "Lịch Sử" "null" "63.000 đ" "70.000 đ"
https://www.fahasa.com/nguyen-thi-dinh-vi-nu-tuong-dau-tien-cua-thoi-dai-ho-chi-minh-381909.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_244718_1_4553.jpg "

					Nguyễn Thị Định - Vị Nữ Tướng Đầu Tiên Của Thời Đại Hồ Chí Minh				" "" "(0 đánh giá)" "
Phụ Nữ " "
				    Nguyễn Thị Thanh Thúy				" "
				    NXB Phụ Nữ Việt Nam				" "
				    2021				" "
				    25 x 23 x 1.2 cm				" "
				    Bìa Cứng				" "
Nguyễn Thị Định - Vị Nữ Tướng Đầu Tiên Của Thời Đại Hồ Chí Minh
Bà Nguyễn Thị Định sinh năm 1920 trong một gia đình nghèo giàu truyền thống cách mạng ở làng Lương Hòa, huyện Giồng Trôm, tỉnh Bến Tre. Các chiến sĩ quân đội và phụ nữ Việt Nam thường trìu mến gọi bà là Chị Ba Định.
Tham gia hoạt động cách mạng từ năm mười sáu tuổi, người phụ nữ giản dị có vẻ đẹp đôn hậu, giàu nghị lực và kiên trung luôn biết cách vượt qua mọi khó khăn, hiểm nguy, và cả những bi kịch riêng để hoàn thành xuất sắc mọi nhiệm vụ mà Đảng và nhân dân giao cho.
Bà đã góp phần lãnh đạo cuộc khởi nghĩa Cách mạng tháng Tám năm 1945 thành công ở tỉnh Bến Tre.
Tháng 3 năm 1946, được Hồ Chủ tịch và Chính phủ giao nhiệm vụ, bà đã vượt qua nhiều đồn bót của địch, vận chuyển vũ khí từ miền Bắc vào chiến trường Nam Bộ thành công.
Trong những năm tháng đen tối nhất của cách mạng miền Nam, cùng nhiều đồng chí khác, bà vẫn kiên trung bám dân bám đất, quyết giữ vững phong trào, không kể gì đến hiểm nguy sống chết. Đầu năm 1960, bà đã cùng Tỉnh ủy Bến Tre lãnh đạo nhân dân nổi dậy phá thế kìm kẹp của địch thành công. Cuộc Đồng khởi của đồng bào Bến Tre mở màn cho cuộc Đồng khởi vang trời dậy đất của toàn miền Nam, trong lúc Mỹ ngụy lê máy chém khắp nơi, đã góp phần chuyển biến cục diện đấu tranh của miền Nam lúc đó. Ngay sau cuộc Đồng khởi, bà trở thành Bí thư Tỉnh ủy Bến Tre.
Năm 1965, bà được bầu làm Hội trưởng Hội Liên hiệp Phụ nữ giải phóng miền Nam, đã có công lớn trong việc xây dựng và phát huy tác dụng “Đội quân tóc dài”, làm cho quân thù vô cùng run sợ. Cũng trong khoảng thời gian này, bà Nguyễn Thị Định được giao nhiệm vụ Phó Tư lệnh Các lực lượng vũ trang giải phóng miền Nam. Thượng tướng Trần Văn Trà nói bà là người “Có tài thao lược, ý chí cao, nghệ thuật điều hành của người chỉ huy đội quân tóc dài, vừa hình thành tổ chức, vừa tác chiến ngay tại chiến trường vô cùng phức tạp và đã đem lại chiến thắng vẻ vang”.
Đầu năm 1974, bà Nguyễn Thị Định đã được phong quân hàm Thiếu tướng Quân đội nhân dân Việt Nam.
Sau ngày giải phóng miền Nam, thống nhất đất nước, bà được bầu là Phó Chủ tịch Hội Liên hiệp Phụ nữ Việt Nam, rồi Chủ tịch Hội Liên hiệp Phụ nữ Việt Nam, Phó Chủ tịch Liên đoàn Phụ nữ Dân chủ Quốc tế, Phó Chủ tịch Hội đồng Nhà nước. Ở bất cứ cương vị nào, bà cũng làm việc với tinh thần trách nhiệm cao nhất.
Nhân kỷ niệm 75 năm thành lập nước Cộng hòa xã hội chủ nghĩa Việt Nam, 90 năm thành lập Hội Liên hiệp Phụ nữ Việt Nam, 45 năm giải phóng miền Nam, Nhà xuất bản Phụ nữ Việt Nam trân trọng giới thiệu cùng bạn đọc cuốn sách ảnh “Nguyễn Thị Định – Vị nữ tướng đầu tiên của thời đại Hồ Chí Minh”.
Qua các hình ảnh còn lưu giữ, cuốn sách góp phần giúp bạn đọc hiểu hơn một người phụ nữ xuất sắc, một nữ tướng tài ba đã cống hiến cả cuộc đời cho Tổ quốc, được nhân dân, đồng đội và người thân vô cùng yêu mến, quý trọng. 
" "
				    105				" "Sách tiếng Việt" "Lịch Sử - Địa Lý - Tôn..." "Lịch Sử" "null" "189.000 đ" "210.000 đ"
https://www.fahasa.com/su-ta-chuyen-xua-ke-lai-4-tai-ban-2019.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935244825459.jpg "

					Sử Ta - Chuyện Xưa Kể Lại - Tập 4 (Tái Bản 2019)				" "" "(0 đánh giá)" "
Nhà Xuất Bản Kim Đồng " "
				    Nguyễn Như Mai, Nguyễn Quốc Tín, Nguyễn Huy Thắng				" "
				    NXB Kim Đồng				" "
