Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/tri-tue-duc-phat-tb2023.html https://cdn0.fahasa.com/media/catalog/product/9/7/9786046194705.jpg "

					Trí Tuệ Đức Phật (Tái Bản 2023)				" "" "(0 đánh giá)" "
CÔNG TY CỔ PHẦN VĂN HOÁ & CÔNG NGHỆ TUỆ TRI " "
				    TÔN SƯ LAMA THAMTHOG RINPOCHE				" "
				    Tôn Giáo				" "
				    2023				" "
				    20.5 x 14.5 x 2 cm				" "
				    Bìa Mềm				" "
Trí Tuệ Đức Phật
Cuốn sách này giới thiệu tập hợp các bài giảng của Tôn sư Lama Thamthog Rinpoche trong một số buổi thuyết Pháp và nhập thất tổ chức tại Viện Nghiên cứu Phật giáo Tây Tạng Ghe Pel Ling ở Milan, Ý. Cuốn sách này là kết quả từ các bài học bao gồm những chủ đề được dạy theo truyền thống trong tác phẩm Lam rim (Đèn soi nẻo giác), do học giả, hành giả người Ấn Độ Atisha viết ở Tây Tạng vào thế kỉ 11 và được Lama Tsong Khapa- một trong số nhiều đạo sư Tây Tạng – luận giải vào nữa sau thế kỉ 14. Lam rim bao gồm toàn bộ phần thuyết Pháp nguyên thuỷ của Đức Phật Thích Ca Mâu Ni, được tổ chức theo một trình tự nhằm dẫn dắt thiền giả từng bước tinh luyện tâm mình, vượt qua các cảm xúc phiền não và quan điểm sai lầm, đạt được thành tựu giác ngộ.
Những điều chúng ta nghe được từ Tôn sư Lama Thamthog Rinpoche trong các buổi thuyết Pháp quý giá đó và có may mắn đọc ở đây, đến với chúng ta qua dòng truyền thừa thanh tịnh và trọn vẹn của thầy. Cuốn sách này bao hàm toàn bộ con đường từng bước đi đến giác ngộ được giải thích theo kinh nghiệm dày dặn và kiến thức uyên thâm của Tôn sư Lama Thamthog Rinpoche với sự thanh thoát mà chỉ có tiếp xúc trực tiếp với thính giả mới mang lại được. Những hướng dẫn này cho chúng ta thấy rằng, mặc dù đã xuất hiện từ hai nghìn năm trăm năm trước, đạo Phật vẫn đầy ý nghĩa thích hợp với tất cả chúng ta trong cuộc sống và trong xã hội ngày nay. 
" "
				    415				" "Sách tiếng Việt" "Lịch Sử - Địa Lý - Tôn..." "Tôn Giáo" "null" "126.000 đ" "140.000 đ"
https://www.fahasa.com/tu-thuoc-toi-thien.html https://cdn0.fahasa.com/media/catalog/product/9/7/9786044008639.jpg "

					Từ Thuốc Tới Thiền				" "" "(0 đánh giá)" "
CÔNG TY CỔ PHẦN VĂN HOÁ & CÔNG NGHỆ TUỆ TRI " "
				    Osho				" "
				    Dân Trí				" "
				    2024				" "
				    21 x 15  1.6 cm				" "
				    Bìa Mềm				" "
Từ Thuốc Tới Thiền
“Những hiểu biết sâu sắc này đặc biệt hữu ích cho những ai đang khao khát học hỏi qua trải nghiệm thực tế để khám phá tiềm năng thuần khiết vốn có bên trong mỗi người. Cuốn sách này nên hiện diện trong mọi thư viện và dành cho những ai mong muốn nhận thức rõ hơn về bản thể nội tâm của mình”. – Deepak Chopra, tác giả của Ageless Body, Timeless Mind (tạm dịch Cơ thể không già, Tâm trí phi thời gian).
Có hai phương pháp đã được áp dụng để hiểu và chữa căn bệnh mang tên con người này. Một là thuốc, hai là thiền. Cần hiểu rằng thuốc phân tích từng bộ phận của con người, còn thiền xem xét con người như là một căn bệnh tổng thể. Thiền xem tính cách của con người là căn bệnh. Căn bệnh chẳng qua chỉ là lối sống của người bệnh.
Thuốc cố gắng mang lại sức khỏe thể chất, còn thiền cố gắng duy trì sức khỏe tinh thần cho con người. Thiền không thể hoàn thiện nếu không có thuốc và thuốc cũng không thể hoàn thiện nếu không có thiền, vì con người vừa là thể xác vừa là linh hồn. 
" "
				    320				" "Sách tiếng Việt" "Lịch Sử - Địa Lý - Tôn..." "Tôn Giáo" "null" "160.000 đ" "0"
https://www.fahasa.com/ohsawa-tay-du.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_139860.jpg "

					Ohsawa Tây Du				" "" "(0 đánh giá)" "null" "
				    Georges Ohsawa				" "
				    NXB Đà Nẵng				" "
				    2017				" "
				    13 x 19				" "
				    Bìa Mềm				" "
“Nếu các bạn muốn tự cứu khỏi cõi đời đâu khổ, thì hãy thử ngay pháp độ này trong vài tuần, nó rất dễ chịu, không gây trừ ngại gì cho ai cả.
Ngay khi bạn bước vào cử Trường sinh, xin nhớ sống theo phong cách hòa bình thanh thản chớ công kích ai – thì tự nhiên bạn trở nên “con người không chống bang, không tự vệ”– phù hợp với lối sống của người Thiên - quốc.
Ngược lại, nếu bạn còn muốn tranh chấp, cãi cọ, là lý trí phán đoán của bạn còn bị che lấp. Tệ hơn nữa, nếu bạn còn giết người đồng loại (trực tiếp hay gián tiếp) là bạn còn nô lệ cho quỷ Sa – Tan thì hãy mau sửa đổi bản thân cho hoàn thiện.
Nếu trước kia phán đoán cao siêu của bạn được khai sang hòan toàn, là bạn trở thành người mạnh, người giải thoát thong dong, như thể bạn không cần tranh đấu với ai.
Bạn muốn có trí phán đoán tối cao, hãy trầm tư mặc tưởng về sự cấu tạo vũ trụ ở mọi cấp bậc và từng bước một.
Vì đó là vô song nguyên lý Âm Dương. Bạn hãy mặc tưởng bằng nhịn ăn và xa lánh thoát ly tạm thời mọi cái làm cảm giác bạn ưa thích và tuyệt đối không cần trong một thời gian, như cách nhịn ăn để tìm cầu chân lý mà Phật và Chúa là tấm gương còn đó, đã làm và đạt tới “ trí phán đoán tối cao”.
Nay xin bạn hãy theo sự chỉ dẫn của tôi làm khởi điểm.” 
" "
				    258				" "Sách tiếng Việt" "Lịch Sử - Địa Lý - Tôn..." "Tôn Giáo" "null" "44.000 đ" "68.000 đ"
https://www.fahasa.com/so-tay-hoc-phat-tap-5.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_51116.jpg "

					Sổ Tay Học Phật - Tập 5				" "" "(0 đánh giá)" "null" "
				    Minh Huệ				" "
				    NXB Tôn Giáo				" "
				    2020				" "
				    20.5 x 14.5 cm				" "
				    Bìa Mềm				" "
Bộ sách chép những lời dạy của Đức Phật trích dẫn từ nhiều kinh điển; về tiền kiếp của Phật, những cơ duyên tu học đến thành chánh quả của nhiều vị Bồ Tát, A La Hán. Sách cũng giảng nghĩa những danh từ Phật học thường gặp trong kinh và cả trong đời thường; sưu tầm nhiều giai thoại về các Thiền sư, Cư sĩ xưa nay, cùng các công án, những bài chú, kệ và những áng thơ văn của các cao tăng nhắc nhở, hướng dẫn con đường học Phật … 
" "
				    94				" "Sách tiếng Việt" "Lịch Sử - Địa Lý - Tôn..." "Tôn Giáo" "null" "18.630 đ" "27.000 đ"
https://www.fahasa.com/tri-tue-duc-phat-cach-dat-duoc-an-binh-that-su.html https://cdn0.fahasa.com/media/catalog/product/9/7/9786046182221.jpg "

					Trí Tuệ Đức Phật - Cách Đạt Được An Bình Thật Sự				" "" "(0 đánh giá)" "
CÔNG TY CỔ PHẦN VĂN HOÁ & CÔNG NGHỆ TUỆ TRI " "
				    Tôn Sư Lama Thamthog Rinpoche				" "
				    Tôn Giáo				" "
				    2022				" "
				    20.5 x 14.5 cm x 1.4				" "
				    Bìa Mềm				" "
Cuốn sách này giới thiệu tập hợp các bài giảng của Tôn sư Lama Thamthog Rinpoche trong một số buổi thuyết Pháp và nhập thất tổ chức tại Viện Nghiên cứu Phật giáo Tây Tạng Ghe Pel Ling ở Milan, Ý. Cuốn sách này là kết quả từ các bài học bao gồm những chủ đề được dạy theo truyền thống trong tác phẩm Lam rim (Đèn soi nẻo giác), do học giả, hành giả người Ấn Độ Atisha viết ở Tây Tạng vào thế kỉ 11 và được Lama Tsong Khapa- một trong số nhiều đạo sư Tây Tạng – luận giải vào nữa sau thế kỉ 14. Lam rim bao gồm toàn bộ phần thuyết Pháp nguyên thuỷ của Đức Phật Thích Ca Mâu Ni, được tổ chức theo một trình tự nhằm dẫn dắt thiền giả từng bước tinh luyện tâm mình, vượt qua các cảm xúc phiền não và quan điểm sai lầm, đạt được thành tựu giác ngộ.
Những điều chúng ta nghe được từ Tôn sư Lama Thamthog Rinpoche trong các buổi thuyết Pháp quý giá đó và có may mắn đọc ở đây, đến với chúng ta qua dòng truyền thừa thanh tịnh và trọn vẹn của thầy. Cuốn sách này bao hàm toàn bộ con đường từng bước đi đến giác ngộ được giải thích theo kinh nghiệm dày dặn và kiến thức uyên thâm của Tôn sư  Lama Thamthog Rinpoche với sự thanh thoát mà chỉ có tiếp xúc trực tiếp với thính giả mới mang lại được. Những hướng dẫn này cho chúng ta thấy rằng, mặc dù đã xuất hiện từ hai nghìn năm trăm năm trước, đạo Phật vẫn đầy ý nghĩa thích hợp với tất cả chúng ta trong cuộc sống và trong xã hội ngày nay. 
" "
				    284				" "Sách tiếng Việt" "Lịch Sử - Địa Lý - Tôn..." "Tôn Giáo" "null" "126.000 đ" "140.000 đ"
https://www.fahasa.com/duc-phat-ke-con-nghe-tap-1-tai-ban-2022.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935280910010.jpg "

					Đức Phật Kể Con Nghe - Tập 1 (Tái Bản 2022)				" "" "(0 đánh giá)" "
Thái Hà " "
				    Dharmachari Nagaraja				" "
				    NXB Lao Động				" "
				    2022				" "
				    24 x 19 x 0.5 cm				" "
				    Bìa Mềm				" "
Đức Phật Kể Con Nghe - Tập 1 (Tái Bản 2022)
Qua công việc phát thanh của mình, tác giả khám phá ra rằng không có gì thu hút được sự chú ý và hưởng ứng của người nghe bằng một câu chuyện hay. Từ nhận xét này, tác giả đã nghĩ đến việc kể lại vài câu chuyện ngắn về tiền thân của Đức Phật – những câu chuyện cổ xưa được tin là do chính Đức Phật đã kể ra. Mục đích của tác giả là viết lại những truyện ngắn dễ tiếp cận không chỉ với Phật tử mà còn với mọi người – cụ thể là trẻ em. Kết quả là cuốn sách với 20 truyện ngắn này ra đời và tác giả hy vọng các bạn sẽ thích thú chia sẻ với con em của mình.
“Trong thế giới ngày nay, hầu hết mọi người đã quen với việc trải nghiệm mọi chuyện qua những phương tiện truyền thông như radio, phim ảnh và ti vi. Trái lại, với những truyện ngắn trong cuốn sách này, tôi hy vọng sẽ đem đến cho bạn cơ hội bước vào vai trò chủ động của người kể chuyện. Bằng cách phối hợp với những truyện ngắn, cùng đọc với con hoặc đọc cho con nghe, bạn có thể tạo ra mối quan hệ thân mật mạnh mẽ giữa bạn và con, rồi cùng nhau dong buồm vào một thế giới của huyền diệu và tưởng tượng – chia sẻ những hình ảnh, âm thanh và ngay cả những cảm xúc trong suốt cuộc hành trình. Những truyện trong cuốn sách này đã được chọn lựa kỹ lưỡng để giúp bạn và con có cái nhìn giá trị và thấu đáo về trí tuệ của Đức Phật. Chúng được kể bằng những hình thức làm cho trí tuệ đó vừa dễ hiểu, vừa vui, vừa dễ thấm nhập với con bạn.
Những truyện ngắn này được viết cho trẻ em khoảng từ 6 đến 10 tuổi. Tuy nhiên, bạn sẽ là người biết rõ khi nào chúng có lợi ích cho con bạn, bởi sự phát triển của trẻ em không đồng nhất. Mỗi truyện ngắn bắt đầu với một tranh minh họa nguyên trang, sống động và đầy màu sắc diễn tả khung cảnh chính yếu của câu chuyện. Điều này giúp cho bé dễ liên tưởng đến những khung cảnh, nhân vật và diễn tiến của những sự kiện trong truyện. Các câu chuyện đều bắt đầu một cách giống nhau: Con bạn được yêu cầu hãy thư giãn, giữ yên lặng và chú ý lắng nghe. Điều này cốt để giúp các em dễ tập trung tinh thần trong trạng thái yên tĩnh; từ đó các em sẽ chăm chú lắng nghe, dễ hấp thụ cốt truyện, thâu nhận thông tin, có suy nghĩ sáng tạo và dễ hòa mình vào những câu chuyện. Trạng thái này cũng sẽ giúp các em sớm đi vào giấc ngủ ngon sau khi được nghe đọc truyện.
