Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/bay-tinh-yeu-tap-2.html https://cdn0.fahasa.com/media/catalog/product/8/9/8936186547515.jpg "

					Bẫy Tình Yêu - Tập 2				" "" "(0 đánh giá)" "
Skybooks " "
				    Soonkki				" "
				    NXB Dân Trí				" "
				    2020				" "
				    20.5 x 14.5 x 0.5 cm				" "
				    Bìa Mềm				" "
Bẫy tình yêu 2 – Lớp vỏ bọc hoàn mĩ
“Bẫy tình yêu” xoay quanh một mối quan hệ kì lạ. Hong Seol là một cô gái bình thường như bao con người bình thường khác. Vốn tưởng rằng đời sinh viên chỉ xoay quanh việc học hành, Hong Seol bỗng vướng vào tiền bối nổi tiếng Yoo Jung – chàng trai hoàn hảo “vạn người mê”: đẹp trai, giàu có, tài giỏi, lại còn vô cùng thân thiện dễ mến.
Trong quá khứ, tại một buổi gặp mặt sinh viên, Seol đã vô tình phát hiện một mặt khác của Yoo Jung ẩn giấu phía sau nụ cười thân thiện. Từ đó cô luôn tìm cách tránh mặt tiền bối, đồng thời cũng âm thầm để mắt tới anh.
Nhưng sau khi Seol quay trở lại trường đại học thì thái độ của anh ta hoàn toàn thay đổi. Vị tiền bối đáng ngờ ấy đột nhiên thân thiết với cô một cách khác thường, nhưng cũng chính sự thân thiết ấy đã khiến cô gặp không ít rắc rối, đôi khi là “đen đủi”. Nhiều biến động liên tiếp xảy ra làm cho Seol nhớ tới những khổ sở mà Nam Juyeon và Oh Young Gon đã gây ra cho cuộc sống của cô vào thời gian trước.
Chuyện Seol nghỉ học có liên quan gì tới hai người này? Hay nguyên do chính là vị tiền bối Yoo Jung kia? Hãy cùng tìm câu trả lời trong “Bẫy tình yêu 2”  với những rắc rối quen thuộc về tình yêu, tình bạn và những chuyện trường lớp tưởng chừng vụn vặt nhưng lại gây ra những phiền toái không ngờ nhé! 
" "
				    240				" "Sách tiếng Việt" "Manga - Comic" "Comic - Truyện Tranh" "Truyện Tranh Nước Ngoài" "88.290 đ" "109.000 đ"
https://www.fahasa.com/em-trai-hang-xom-buong-binh-qua-tap-4-ban-dac-biet-tang-kem-bookmark-be-postcard-hai-mat-boi-cung-ticket-phu-nhu-popsocket-dien-thoai.html https://cdn0.fahasa.com/media/catalog/product/0/2/021123-10.jpg "

					Em Trai Hàng Xóm Bướng Bỉnh Quá - Tập 4 - Bản Đặc Biệt - Tặng Kèm Bookmark Bế + Postcard Hai Mặt Bồi Cứng + Ticket Phủ Nhũ + Popsocket Điện Thoại				" "" "(0 đánh giá)" "
AZ Việt Nam " "
				    S-Monkey				" "
				    Dân Trí				" "
				    2023				" "
				    20.5 x 14.5 x 1 cm				" "
				    Bìa Mềm				" "
Em Trai Hàng Xóm Bướng Bỉnh Quá - Tập 4
Để bảo vệ Bạch Quân khỏi gã em kế đáng ghét, Lam Thiên và Bạch Quân đã vượt qua mối quan hệ hàng xóm, tiến tới bước thuê nhà sống chung với nhau. Khoảng cách kéo gần, chưa đến thời hạn của lời hứa đặc biệt lúc trước, Lam Thiên đã nhận thấy mình càng lúc càng nảy sinh nhiều cảm xúc khác lạ dành cho người “em trai” kia.
“Hình như mình ngày càng thích hơn…”
“Dù không muốn thừa nhận, mình và Bạch Quân…”
