Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/hanako-thieu-nu-mang-mat-na-kich-noh-tap-2.html https://cdn0.fahasa.com/media/catalog/product/h/a/hanako-thieu-nu-mang-mat-na-kich-noh_bia_tap-2.jpg "

					Hanako - Thiếu Nữ Mang Mặt Nạ Kịch Noh - Tập 2				" "" "(0 đánh giá)" "
Nhà Xuất Bản Kim Đồng " "
				    Ryo Oda				" "
				    Kim Đồng				" "
				    2023				" "
				    18 x 13 x 0.8 cm				" "
				    Bìa Mềm				" "
Hanako - Thiếu Nữ Mang Mặt Nạ Kịch Noh - Tập 2
Tập 2 của câu chuyện thanh xuân hài hước về thiếu nữ mặt nạ.
Cô nàng mang mặt nạ kịch Noh Hanako hiện đang trải qua cuộc sống cấp ba vô cùng vui vẻ, dẫu có không ít lời bàn tán xung quanh, nhưng thêm vào đó còn là những cảm xúc nồng cháy của tình yêu! Dường như một khía cạnh khác của Hanako đang dần bộc lộ…!? 
" "
				    160				" "Sách tiếng Việt" "Manga - Comic" "Manga" "Manga Khác" "36.100 đ" "38.000 đ"
https://www.fahasa.com/bi-mat-cua-soi-ca-tap-3.html https://cdn0.fahasa.com/media/catalog/product/b/_/b_a-b_-m_t-c_a-s_i-ca-3.jpg "

					Bí Mật Của Sói Ca - Tập 3				" "" "(0 đánh giá)" "
Skybooks " "
				    Eon				" "
				    Hà Nội				" "
				    2023				" "
				    20.5 x 14.5 x 0.9 cm				" "
				    Bìa Mềm				" "
Bí mật của Sói Ca 3 – Tình bạn hay tình yêu?
Sau khi Eun Ho chia tay với tiền bối Seung Woo, tưởng chừng mối quan hệ giữa cô và Kyun Woo sẽ trở lại như xưa nhưng rất nhiều chuyện rắc rối bất ngờ ập đến. Người anh trai đang chữa bệnh ở nước ngoài của Eun Ho đột ngột về nước, còn anh chàng người sói Kyun Woo vẫn chưa hoàn toàn kiểm soát được khả năng biến hình của mình.
Sự xuất hiện của Eun Soo - anh trai Eun Ho đã gợi lại những ký ức không mấy vui vẻ của Eun Ho ngày bé và còn làm ảnh hưởng đến “tình bạn” của cô với Kyun Woo. Quá khứ giữa hai anh em nhà Eun Ho cũng dần được hé lộ.
Sau một loạt những rắc rối xảy ra, dường như Eun Ho vẫn chẳng hay biết gì về những sinh vật không phải là con người xung quanh mình. Cô vẫn chưa nhận ra được sự trùng hợp kỳ lạ giữa Kyun Woo và “chú cún bự” thường xuyên ghé thăm phòng mình. Nhưng anh trai Eun Ho có vẻ như đã biết gì đó về thân phận thật sự của gia đình Kyun Woo.
Trong lúc ấy, Kyun Woo cuối cùng cũng rõ ràng về tình cảm của mình dành cho Eun Ho và bắt đầu lên kế hoạch thổ lộ với cô. Tuy nhiên mọi chuyện lại không được suôn sẻ như cậu mong muốn, đã vậy còn khiến cả hai bỗng trở nên gượng gạo với nhau.
Eun Ho sẽ đáp lại tình cảm của Kyun Woo như thế nào đây? Liệu rằng Kyun Woo có muốn tiếp tục duy trì mối quan hệ chẳng phải bạn bè cũng chưa phải người yêu giữa mình và Eun Ho hay không? Cùng đón đọc trong tập thứ 3 của “Bí mật của Sói Ca” với nhiều tình tiết mới đầy bất ngờ và lôi cuốn! 
" "
				    184				" "Sách tiếng Việt" "Manga - Comic" "Manga" "Manga Khác" "102.090 đ" "123.000 đ"
https://www.fahasa.com/chu-gia-nuoi-meo-u-tap-2.html https://cdn0.fahasa.com/media/catalog/product/c/h/chu-gia-nuoi-meo-u-tap-2_1.jpg "

					Chú Già Nuôi Mèo Ú - Tập 2				" "5.0" "(9 đánh giá)" "
Nhà Xuất Bản Kim Đồng " "
				    Umi Sakurai				" "
				    NXB Kim Đồng				" "
				    2020				" "
				    14.5 x 20.5 cm				" "
				    Bìa Mềm				" "
“Tôi đã nghĩ mình muốn ôm ngay lấy nó.”
Ngày nọ, một người đàn ông đã gặp một chú mèo. Đối với người đàn ông chưa bao giờ nuôi bất cứ sinh vật nào như mèo… ấy, mỗi ngày sống cùng chú mèo mang tên “Fukumaru” đều là một ngày có vô vàn những điều ngạc nhiên và hạnh phúc.
Với Fukumaru cũng vậy. Và cũng chính nhờ cuộc sống hằng ngày đầy mới mẻ, cần cả người cả mèo đều đi lần mò để hoà hợp lẫn nhau ấy, dòng thời gian đang dừng lại của người đàn ông đó lại bắt đầu chậm rãi chuyển động…
Đây là câu chuyện đồng thoại kể về những tháng ngày hạnh phúc ấm êm giữa một chú mèo từng chẳng được ai yêu và ông chú già của nó.
Tác phẩm Manga ấm áp của Umi Sakurai đã đạt giải Nhì hạng mục Webmanga của Tsugi Manga Awards. Phát hành mỗi tháng 1 tập.
Một ấn phẩm của WINGS BOOKS - Thương hiệu sách trẻ của NXB Kim Đồng. 
" "
				    148				" "Sách tiếng Việt" "Manga - Comic" "Manga" "Manga Khác" "40.000 đ" "0"
https://www.fahasa.com/xuong-phep-thuat-atelier-of-witch-hat-tap-3.html https://cdn0.fahasa.com/media/catalog/product/x/u/xuong-phep-thuat-3---bia-1.jpg "

					Xưởng Phép Thuật - Atelier Of Witch Hat - Tập 3				" "" "(0 đánh giá)" "
IPM " "
				    Kamome Shirahama				" "
				    NXB Hồng Đức				" "
				    2021				" "
				    18 x 13 cm				" "
				    Bìa Mềm				" "
Xưởng Phép Thuật - Atelier Of Witch Hat - Tập 3
Vừa thoát khỏi rắc rối ở Kalhn, Coco lại gặp phải rắc rối mới. Lần này, cô bé và Agott bị đội cảnh vệ phép thuật bắt giữ vì tình nghi sử dụng cấm thuật. Chỉ có duy nhất một hình phạt chờ đón những kẻ phá vỡ luật lệ, đó là xóa toàn bộ kí ức liên quan tới phép thuật. Liệu chuyện gì sẽ xảy ra với Coco? Hãy cùng đón đọc Xưởng phép thuật tập 3. 
" "
				    192				" "Sách tiếng Việt" "Manga - Comic" "Manga" "Manga Khác" "45.000 đ" "50.000 đ"
https://www.fahasa.com/loi-than-va-nhan-vien-van-phong-tap-2.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935325004230.jpg "

					Lôi Thần Và Nhân Viên Văn Phòng - Tập 2				" "" "(0 đánh giá)" "
AZ Việt Nam " "
				    Rena				" "
				    NXB Hà Nội				" "
				    2022				" "
				    18 x 13 cm x 1.1				" "
				    Bìa Mềm				" "
Nối tiếp câu chuyện là quá trình hòa nhập vào với cuộc sống con người của Lôi Thần khi gặp những người bạn của Omura, trải nghiệm thế giới loài người mà anh chưa từng biết tới. Từ những thứ nhỏ nhặt nhất như món cơm nắm siêu to siêu ngon do Omura làm mà anh cực kỳ khoái khẩu, cho đến việc làm quen với tàu điện ngầm, thư viện,… tất cả những điều tưởng chừng như nhàm chán, chẳng có gì lạ lẫm với người khác, thì đối với Raiyu đều mới mẻ vô cùng. 
" "
				    210				" "Sách tiếng Việt" "Manga - Comic" "Manga" "Manga Khác" "51.480 đ" "66.000 đ"
https://www.fahasa.com/vua-sang-che-tap-9.html https://cdn0.fahasa.com/media/catalog/product/v/u/vua-sang-che---tap-9.jpg "

					Vua Sáng Chế - Tập 9				" "" "(0 đánh giá)" "
Nhà Xuất Bản Kim Đồng " "
				    Tatsuki Nohda				" "
				    Kim Đồng				" "
				    2022				" "
				    17.6 x 11.3 x 1 cm				" "
				    Bìa Mềm				" "
