Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/hom-nay-con-the-nao-tre-khong-can-noi-cha-me-nhin-se-hieu.html https://cdn0.fahasa.com/media/catalog/product/3/d/3d-hom_nay_con_the_nao_master.jpg "

					Hôm Nay Con Thế Nào? (Trẻ Không Cần Nói, Cha Mẹ Nhìn Sẽ Hiểu)				" "" "(0 đánh giá)" "
Đinh Tị " "
				    Robert Zuili				" "
				    NXB Thanh Niên				" "
				    2018				" "
				    14.5 x 20.5				" "
				    Bìa Mềm				" "
Hôm Nay Con Thế Nào? (Trẻ Không Cần Nói, Cha Mẹ Nhìn Sẽ Hiểu)
Các nhà tâm lý học giáo dục hiện nay xem trí tuệ cảm xúc là một yếu tố rất quan trọng, đôi khi hơn cả khả năng nhận thức trong việc quyết định thành công của trẻ ở trường học và đời thường. Một số chuyên gia tâm lý học còn cho rằng EQ chiếm tới 80% tổng số các yếu tố đưa đến thành công sau này.
Hiểu được vai trò của cảm xúc trong quá trình xây dựng nhân cách cho trẻ, tác giả Robert Zuili - nhà tâm lý học lâm sàng, tác giả của nhiều cuốn sách viết về sự phát triển cá nhân - sẽ giải mã và giúp các bậc cha mẹ kiểm soát được cảm xúc của con em mình tốt hơn. Thông qua các trường hợp thực tiễn, ông làm rõ những cảm xúc của trẻ nhỏ đồng thời giúp cha mẹ tự điều chỉnh bản thân và học những phương pháp cụ thể để có thể giúp con xử lý những cảm xúc đó một cách tốt nhất.
Con đang tức giận, buồn bã, sợ hãi hay vui vẻ… không còn là nỗi bối rối khó xử hay cơn đau đầu của cha mẹ nữa. Hôm nay con thế nào? sẽ giúp các bậc cha mẹ có một con đường bớt gập ghềnh hơn để đi đến đích cuối cùng là thành công và hạnh phúc của con trẻ. 
" "
				    192				" "Sách tiếng Việt" "Nuôi Dạy Con" "Cẩm Nang Làm Cha Mẹ" "null" "78.300 đ" "87.000 đ"
https://www.fahasa.com/con-thu-luon-khac-biet.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_223592.jpg "

					Con Thứ Luôn Khác Biệt				" "" "(0 đánh giá)" "
Cty Văn Hóa Văn Lang " "
				    Young, Hoon Kim				" "
				    NXB Hồng Đức				" "
				    2020				" "
				    21 x 15 cm				" "
				    Bìa Mềm				" "
Phương pháp nuôi dạy để các con trở thành bạn bè thân thiết, chứ không phải đối thủ của nhau 
Nếu hiểu rõ về đặc tính não bộ của con  thứ, thì bố mẹ có thể tìm ra cách hay để hóa giải mâu thuẫn giữa các anh chị em trong gia đình.
 Sách cũng hướng dẫn phương pháp nuôi dạy và giáo dục trẻ, nhằm phát huy năng lực và cá tính riêng của mỗi bé.
“Khi nào thì nên sinh con thứ hai?”
Đây hẳn là câu hỏi khiến không ít phụ huynh phải đau đầu. Sau khi đã vất vả nuôi nấng đứa con đầu – cũng chính là kinh nghiệm lần đầu làm bố mẹ, nhiều cặp vợ chồng không biết có nên sinh thêm đứa nữa để con mình có thêm anh chị em cho vui nhà vui cửa hay không. Và nếu sinh thêm, thì liệu cuộc sống gia đình sẽ có những thay đổi như thế nào? Bố mẹ phải chuẩn bị gì? Phải đương đầu với những tình huống ra sao?
Thông qua quyển sách này, các bậc phụ huynh có thể hiểu được những đặc trưng trong não bộ của đứa con thứ hai, cũng như những điểm khác biệt giữa các con trong gia đình, từ đó, nắm bắt được phương pháp làm sao nuôi dạy để khi lớn lên, các con biết nhường nhịn yêu thương và không xảy ra xung đột với nhau.
 Tốt nghiệp khoa Y của trường Đại học Catholic, Young - Hoon Kim trở thành bác sĩ chuyên khoa Nhi và khoa Thần kinh nhi đồng, sau đó đạt được học vị tiến sĩ trong ngành Y khoa. Ông hiện đang là giáo sư giảng dạy tại khoa Nhi của trường Đại học Y khoa Catholic. 
Ông nhận được rất nhiều sự ủng hộ của các bậc phụ huynh, với những thông tin và phương thức giáo dục con trẻ được truyền tải thông qua hàng trăm bài báo, tạp chí lớn nhỏ khác nhau; hay những buổi thỉnh giảng về giáo dục tại Viện giáo dục Hàn Quốc hay các trung tâm thương mại. 
" "
				    392				" "Sách tiếng Việt" "Nuôi Dạy Con" "Cẩm Nang Làm Cha Mẹ" "null" "140.400 đ" "156.000 đ"
https://www.fahasa.com/cac-ly-thuyet-ve-tre-em-cua-dewey-montessori-erikson-piaget-va-vygotsky-tai-ban-2023.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935280913295.jpg "

					Các Lý Thuyết Về Trẻ Em Của Dewey, Montessori, Erikson, Piaget Và Vygotsky (Tái Bản 2023)				" "" "(0 đánh giá)" "
Thái Hà " "
				    Carol Garhart Mooney				" "
				    Lao Động				" "
				    2023				" "
				    24 x 15.5 x 1				" "
				    Bìa Mềm				" "
Các lý thuyết về trẻ em là cuốn cẩm nang dành cho những người thực hành, cũng như là một cuốn giáo trình cho các trường cao đẳng và chuyên nghiệp. Nó được xây dựng dành cho người làm việc với trẻ nhỏ, cho những ai muốn hiểu hơn về việc trẻ nghĩ và hành động như thế nào và làm thế nào để làm việc hiệu quả hơn với trẻ. Nó bắt đầu bằng một thảo luận về tính chất tương tác ảnh hưởng qua lại lẫn nhau giữa lý thuyết và thực hành, cần thiết để làm cho cả lý thuyết và thực hành có ý nghĩa hơn. Nó bao gồm thông tin và những suy nghiệm về công trình của năm trong số những người đóng góp chính cho kho kiến thức về trẻ em, là cơ sở cho những thực hành tốt nhất của chúng ta trong quá trình giáo dục trẻ mầm non. Nó là sách nhập môn cơ bản chứ không mang tính hàn lâm hay lý luận. Tôi hy vọng sẽ khơi gợi được lòng ham học hỏi của những người quan tâm đến mối liên hệ từ lý thuyết đến thực hành và tác động của nó tới những đứa trẻ, những giáo viên và những lớp học trong đời thực. Vì lý do này nên mỗi chương đều kết thúc bằng những câu hỏi thảo luận và những gợi ý đọc thêm.
Những câu chuyện chia sẻ ở đây được lấy từ các lớp học đời thực, nơi tôi trực tiếp làm việc hoặc quan sát những giáo viên khác làm việc. Mỗi chương sẽ cung cấp cho bạn đọc các thông tin cơ bản về cuộc đời và sự nghiệp của từng nhà lý thuyết. Những câu chuyện từ lớp học đời thực sẽ được dùng để minh họa cho quan điểm trong các tác phẩm của họ. Đây không phải một cuốn sách nhập môn toàn diện về lĩnh vực này, cũng không đề cập được trọn vẹn về mỗi lý thuyết gia. Tôi hy vọng cuốn sách nhập môn ngắn gọn cơ sở lý thuyết về trẻ mầm non này sẽ cung cấp cho bạn đọc nền tảng cơ bản để hiểu sự phát triển của trẻ ảnh hưởng tới cách thức chúng ta làm việc với trẻ em trong các chương trình giáo dục mầm non như thế nào và sẽ khích lệ chúng ta tiếp tục tìm hiểu các tài liệu chuyên sâu hơn.
Mục lục:
Lời cảm ơn
Lời giới thiệu cho lần xuất bản thứ nhất
Lời giới thiệu cho lần xuất bản thứ hai
Gắn kết lý thuyết với thực hành
Về cuốn sách này
Chương 1: John Dewey
Chương 2:Maria Montessori
Chương 3: Erik Erikson
Chương 4: Jean Piaget
Chương 5: Lev Vygotsky
Từ vựng
Về tác giả
Giới thiệu tác giả:
Carol Garhart Mooney có bằng cử nhân về giáo dục tiểu học và bằng thạc sĩ về giáo dục trẻ mầm non. Bà đã hoàn thành chương trình học dành cho bậc Tiến sĩ về lĩnh vực xã hội học gia đình. Carol bắt đầu sự nghiệp giảng dạy của mình trong nội thành Richmond, Virginia. Khi còn là sinh viên, bà đã tham gia tình nguyện trong các chương trình giúp đỡ trẻ em và các gia đình trong các cộng đồng của họ. Bà còn tham gia tình nguyện trong đợt thí điểm lần đầu chương trình Head Start tại Washington DC diễn ra năm 1965. 
" "
				    208				" "Sách tiếng Việt" "Nuôi Dạy Con" "Cẩm Nang Làm Cha Mẹ" "null" "80.100 đ" "89.000 đ"
https://www.fahasa.com/75-dieu-nhung-bac-cha-me-tuyet-voi-thuong-lam.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_189774.jpg "

					75 Điều Những Bậc Cha Mẹ Tuyệt Vời Thường Làm				" "" "(0 đánh giá)" "
Alpha Books " "
				    Erica Reischer				" "
				    NXB Thanh Niên				" "
				    2019				" "
				    13 x 20.5				" "
				    Bìa Mềm				" "
Các mối quan hệ giống như một điệu nhảy, nếu một người thay đổi bước nhảy thì người kia cũng phải thay đổi bước nhảy của mình. Điều này đặc biệt đúng trong mối quan hệ giữa cha mẹ và con cái. Do vậy, nếu như bạn mong muốn con mình sẽ bớt than vãn hơn, hãy lắng nghe nhiều hơn hoặc tương tự như vậy – hãy nhớ rằng để thay đổi cách hành xử của con cái, bạn phải bắt đầu bằng việc thay đổi cách hành xử của chính mình. 
" "
				    288				" "Sách tiếng Việt" "Nuôi Dạy Con" "Cẩm Nang Làm Cha Mẹ" "null" "72.270 đ" "99.000 đ"
https://www.fahasa.com/nhung-dua-tre-the-he-smart-phone.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_244718_1_4406.jpg "

					Những Đứa Trẻ Thế Hệ Smart[Phone]				" "" "(0 đánh giá)" "
Nhã Nam " "
				    Bác sĩ Louis Vera , Aux Lefief, Delcourt				" "
				    NXB Dân Trí				" "
