Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/de-con-duoc-om-tai-ban-2022.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935235235168.jpg "

					Để Con Được Ốm (Tái Bản 2022)				" "" "(0 đánh giá)" "
Nhã Nam " "
				    Nguyễn Trí Đoàn, Uyên Bùi				" "
				    Thế Giới				" "
				    2022				" "
				    20.5 x 14 x 1.6 cm				" "
				    Bìa Mềm				" "
“Để con được ốm cần có sự kiên nhẫn giải thích hay thuyết phục của bác sĩ cùng sự thông hiểu và hợp tác từ phía gia đình bé. Đôi khi, sự hợp tác và hiểu biết của phụ huynh còn quan trọng hơn nỗ lực (hay thời gian) của bác sĩ giải thích nữa. Quyết định không dùng kháng sinh hay ‘quay đầu lại’ hay không là tuỳ thuộc ở phụ huynh của các bé, tuỳ thuộc vào sự hiểu biết, kiên nhẫn và quan trọng nhất là sự hợp tác chặt chẽ với bác sĩ của con mình. Đã có nhiều trường hợp ‘quay đầu lại’ thành công, nhiều trường hợp không cần thuốc đắng vẫn dã tật thành công trong suốt 12 năm chúng tôi cùng nhau thực hành y khoa theo đúng chuẩn quốc tế: thực hành dựa trên chứng cứ y khoa tốt nhất cho bệnh nhi, dành thời gian để giải thích, tư vấn và theo dõi sát sao diễn tiến bệnh của bệnh nhi. Việc lo lắng là không thể tránh khỏi, tuy nhiên, sự lo lắng không giúp ích được gì cho bệnh của trẻ, chỉ có kiến thức chăm sóc bệnh đúng mới giúp ích cho trẻ. Và hẳn là các bé sẽ hạnh phúc biết bao khi được tôn trọng ‘quyền được bệnh’.   
- BS. Trí Đoàn 
" "
				    316				" "Sách tiếng Việt" "Nuôi Dạy Con" "Dinh Dưỡng  - Sức Khỏe..." "null" "84.000 đ" "120.000 đ"
https://www.fahasa.com/chao-con-ba-me-da-san-sang-tai-ban-2020.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_33297.jpg "

					Chào Con! Ba Mẹ Đã Sẵn Sàng (Tái Bản 2020)				" "" "(0 đánh giá)" "
NXB Trẻ " "
				    BS Trần Thị Huyên Thảo				" "
				    NXB Trẻ				" "
				    2020				" "
				    15.5 x 23 cm				" "
				    Bìa Mềm				" "
Chào con! Ba mẹ đã sẵn sàng! - Cuốn sách không chỉ được viết trên nền tảng khoa học của một bác sĩ mà còn chứa chan tình yêu của một người mẹ.
Chắc chắn bạn cũng sẽ cảm nhận được những điểm hay và thực tế trong quyển sách này, từ nền tảng khoa học vững chắc cho đến kiến thức chăm sóc trẻ mới nhất, và nhất là phù hợp với hoàn cảnh của Việt Nam. 
" "
				    224				" "Sách tiếng Việt" "Nuôi Dạy Con" "Dinh Dưỡng  - Sức Khỏe..." "null" "85.500 đ" "95.000 đ"
https://www.fahasa.com/an-dam-khong-phai-la-cuoc-chien-tai-ban.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_244718_1_5000.jpg "

					Ăn Dặm Không Phải Là Cuộc Chiến (Tái Bản)				" "" "(0 đánh giá)" "
Thái Hà " "
				    Mẹ Ong Bông, Hachun Lyonnet, Bubu Hương				" "
				    NXB Lao Động				" "
				    2021				" "
				    23.5 x 21 cm				" "
				    Bìa Mềm				" "
“Ăn dặm không phải là cuộc chiến” là cuốn sách được viết nối tiếp theo thành công của cuốn sách “Nuôi con không phải là cuộc chiến”. Như tựa đề  bộc lộ, cuốn sách này nhấn mạnh vào chủ đề ăn uống lành mạnh và chủ động cho trẻ em từ lứa tuổi bắt đầu tập ăn dặm, đồng thời cung cấp các thông tin dinh dưỡng cơ bản thiết yếu, các thực đơn gợi ý, các công thức nấu ăn và các mẹo nhỏ để bữa ăn cân bằng và hấp dẫn. Đây là cuốn sách giúp cha mẹ gợi mở và xây dựng mối quan hệ lành mạnh của trẻ em với ẩm thực - một hoạt động không thể thiếu hàng ngày.
Cuốn sách còn là tổng hợp những lời tâm sự của nhiều ông bố, bà mẹ trên khắp mọi miền đất nước Việt Nam đã áp dụng cách cho bé ăn uống chủ động và tích cực: những kinh nghiệm áp dụng và biến hoá theo từng gia đình, những khó khăn và thành công của quá trình kiên trì và tôn trọng nhu cầu của trẻ.
Hơn cả, sách viết nhiều về những lời khuyên an toàn cho các bé bắt đầu ăn dặm, về tầm quan trọng của dinh dưỡng lành mạnh (ăn ít muối, ít đường, cân bằng…) ngay từ bước đầu. Cuốn sách theo sát phương pháp ăn dặm bé tự chỉ huy, nhưng cũng gợi mở các giải pháp cho các gia đình không thực hiện phương pháp này từ đầu, hay thực hiện kết hợp với ăn dặm truyền thống và ăn dặm kiểu Nhật.Cuốn sách còn bao gồm rất nhiều thông tin khoa học, dinh dưỡng cũng như giải thích những hiểu nhầm thường gặp trong ăn uống và dinh dưỡng, dành cho cả người lớn lẫn trẻ em. Những nội dung này được trình bày bằng hình ảnh đẹp mắt, biểu đổ dễ hiểu – dễ nhớ và dễ áp dụng.
Các thực đơn trong sách đã được lựa chọn từ các nguyên liệu dễ kiếm ngay tại Việt Nam sau đó được  trực tiếp các tác giả nấu thử nghiệm. Trong mỗi món ăn có những gợi mở mới để làm thay đổi và đa dạng từng món ăn.Trong cuốn sách, cha mẹ sẽ có thông tin về con ăn bao nhiêu là đủ, lịch ăn uống thế nào là khoa học và hơn cả, làm thế nào để con biết cảm giác đói và sự thích thú khi thưởng thức các món ăn. Hơn thế, cuốn sách con đưa đến những gợi ý cách gắn bó tình cảm gia đình thông qua bữa ăn, các hoạt động cùng con nấu nướng hay cách chuẩn bị bữa tiệc sinh nhật của con. Cuốn sách nhấn mạnh đến tôn trọng nhu cầu dinh dưỡng tự nhiên của trẻ: ăn dặm mà không phải ép con ăn.
Với cuốn sách này, nhóm tác giả mong muốn cha mẹ có thái độ đúng đắn và thông tin phù hợp để có thể tạo dựng tình yêu với ẩm thực cho bé thơ: một nền tảng lành mạnh về dinh dưỡng, mối quan hệ tích cực với việc ăn uống, giảm tình trạng trẻ em bị ăn uống thụ động, hay bị cưỡng ép ăn không theo nhu cầu. Sách dành cho ông bà, cha mẹ và những người trực tiếp trông trẻ em từ 6 tháng tuổi.
Mục lục:
Chương 1: Tổng quan về  ăn dặm Baby Led Weaning 
Chương 2: Giai đoạn bắt đầu ăn dặm Baby Led Weaning 
Chương 3: Giai đoạn phát triển kĩ năng - Bốc nhón và tập dùng thìa 
Chương 4: Giai đoạn hoàn thiện 
Chương 5: Baby Led Weaning không hoàn toàn 
PHỤ LỤC 
Giới thiệu tác giả:
1. Hachun Lyonnet
Hachun Lyonnet tên thật là Thu Hà, hiện đang sống cùng chồng và hai con tại Malaysia. Hachun đã từ bỏ việc tư vấn đầu tư tài chính, chỉ làm bán thời gian để ở nhà chuyên tâm chăm sóc và nuôi dạy con cái.
2. Mẹ Ong Bông
