Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/cam-nang-con-gai-tai-ban-2021.html https://cdn0.fahasa.com/media/catalog/product/z/3/z3201911566454_951a32cff4e1a7e99d1d6b12fd341292.jpg "

					Cẩm Nang Con Gái (Tái Bản 2021)				" "" "(0 đánh giá)" "
FIRST NEWS " "
				    Violeta Basic				" "
				    NXB Tổng Hợp TPHCM				" "
				    2021				" "
				    20.5 x 15 x 0.3 cm				" "
				    Bìa Mềm				" "
Cẩm Nang Con Gái (Tái Bản 2021)
Tuổi dậy thì như một thế giới lung linh sắc màu nhưng cũng thật lắm “ngóc ngách” khó hiểu. Những ai đã đi qua tuổi dậy thì có lẽ chẳng bao giờ quên sự ngạc nhiên tột bậc khi một sáng đứng trước gương, thấy cơ thể mình… khang khác. Và những điều mới mẻ cứ “dắt díu” nhau đến mỗi ngày.
Khi người lớn đôi khi còn ngần ngại “bật mí” những thắc mắc dài dằng dặc về giới tính, sinh lý… của bạn trẻ thì “Cẩm nang con gái” của nữ tác giả Violeta BaBíc sẽ là người bạn dễ thương đồng hành cùng các em gái trong tuổi dậy thì.
Với Cẩm nang con gái, các bé gái từ 9 - 19 tuổi sẽ được trang bị kiến thức về những vấn đề gần gũi trong cuộc sống của mình. Các em sẽ hiểu hơn về những thay đổi tâm sinh lý trong giai đoạn dậy thì, những điều mà các em không biết thổ lộ cùng ai.
Bên cạnh đó, trong cuốn sách, tác giả Violeta BaBíc chia sẻ tỉ mỉ về bí quyết cho làn da khỏe mạnh, bí quyết chăm sóc đôi chân, chăm sóc tóc, tập thể dục thể thao, giữ gìn vóc dáng… Tám nguyên tắc để sống khỏe mạnh được liệt kê ngắn gọn: ăn uống điều độ, không bỏ bữa; ăn chậm nhai kỹ; uống nước lọc, không dùng thức uống có cồn, hoạt động thể chất nhiều, nói không với thuốc lá, luôn lạc quan, ngủ ít nhất 8 tiếng mỗi ngày.
Các em còn học được cách vệ sinh cá nhân đúng cách như rửa tay, tắm gội... để có được sức khỏe như ý. Nhờ thế, các em sẽ tự tin và dần trở thành những cô nàng duyên dáng, đáng yêu
Ngôn ngữ của Cẩm nang con gái súc tích, ân cần, như một người bạn thủ thỉ với bạn đọc những chia sẻ cần thiết. 
" "
				    152				" "Sách tiếng Việt" "Nuôi Dạy Con" "Giáo Dục Trẻ Tuổi Teen" "null" "44.200 đ" "68.000 đ"
https://www.fahasa.com/giao-duc-gioi-tinh-tuoi-day-thi-bi-mat-cua-con-trai-2022.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935069922135.jpg "

					Giáo Dục Giới Tính Tuổi Dậy Thì - Bí Mật Của Con Trai (Tái Bản 2022)				" "" "(0 đánh giá)" "
Phụ Nữ " "
				    Rose Stewart, Fay Angelo, Heather Anderson, Jeff Taylor				" "
				    Phụ Nữ Việt Nam				" "
				    2022				" "
				    21 x 15 x 0.3 cm				" "
				    Bìa Mềm				" "
Giáo Dục Giới Tính Tuổi Dậy Thì - Bí Mật Của Con Trai
“Set” quà tặng tuyệt vời về dậy thì từ A-Z dành cho con trai và con gái. Bộ sách được mua bản quyền của Úc sẽ giúp các em thích ứng tốt nhất trong giai đoạn biến đổi tâm sinh lý tuổi dậy thì đầy phức tạp.
Với ngôn ngữ diễn đạt đơn giản, dễ hiểu, minh họa đẹp, Bí mật của con trai; Bí mật của con gái; Con gái biết tuốt chắc chắn sẽ khiến các cậu bé, cô bé vô cùng thích thú khi khám phá chính bản thân mình. 
" "
				    64				" "Sách tiếng Việt" "Nuôi Dạy Con" "Giáo Dục Trẻ Tuổi Teen" "null" "39.200 đ" "56.000 đ"
https://www.fahasa.com/cam-nang-con-trai-tuoi-day-thi-quyen-2-nhung-khuc-mac-tam-li-tai-ban-2019.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_187337.jpg "

					Cẩm Nang Con Trai Tuổi Dậy Thì - Quyển 2 - Những Khúc Mắc Tâm Lí (Tái Bản 2019)				" "" "(0 đánh giá)" "
Nhà Xuất Bản Kim Đồng " "
				    Thương Lãng				" "
				    NXB Kim Đồng				" "
				    2019				" "
				    17 x 24				" "
				    Bìa Mềm				" "
“Bài thơ “Children learn what they live” (Trẻ học cách hành xử theo môi trường sống) của tác giả Dorothi Law Notle viết năm 1954 có những dòng như sau:
Lớn lên trong chỉ trích, trẻ thường hay oán trách
Lớn lên trong thù địch, trẻ thường hay gây gổ
Lớn lên trong khiếp sợ, trẻ thường hay nhát gan
Lớn lên…
Còn tôi, tôi mong các độc giả của cuốn sách này sẽ lớn lên trong tâm thế thoải mái tự tin và đàng hoàng tiến bước.”
