Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/giao-duc-som-phat-trien-tri-nao-800-cau-do-boi-duong-kha-nang-tap-trung.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_49949.jpg "

					Giáo Dục Sớm Phát Triển Trí Não - 800 Câu Đố - Bồi Dưỡng Khả Năng Tập Trung				" "" "(0 đánh giá)" "
Nhà Sách Minh Thắng " "
				    Vương Lệ Na				" "
				    NXB Dân Trí				" "
				    2020				" "
				    28.5 x 20.5 cm				" "
				    Bìa Mềm				" "
Bộ sách 800 câu hỏi phát triển não bộ thông qua hình thức trò chơi và câu đố vui nhộn bồi dưỡng khả năng tư duy tổng hợp và tính chủ động học tập , kích thích sự nhiệt tình vốn có , để trẻ học tập trong trạng thái vui vẻ và cảm nhận được thành quả sau mỗi câu hỏi . Nào chúng ta còn chờ gì nữa ? Hãy cùng con mình chia sẻ những điều thú vị trong cuốn sách này 
" "
				    62				" "Sách tiếng Việt" "Nuôi Dạy Con" "Phát Triển Kỹ Năng - T..." "null" "58.500 đ" "65.000 đ"
https://www.fahasa.com/huong-dan-thuc-hanh-tinh-thuc-cho-tre-nho-va-tre-vi-thanh-nien.html https://cdn0.fahasa.com/media/catalog/product/b/_/b_a-1_5_16.jpg "

					Hướng Dẫn Thực Hành Tỉnh Thức Cho Trẻ Nhỏ Và Trẻ Vị Thành Niên				" "" "(0 đánh giá)" "
				    Công ty Cổ Phần sách và Thiết bị Giáo dục Muki Việt Nam				" "
				    Debra E.Burdick				" "
				    Lao Động				" "
				    2023				" "
				    20.5 x 14.5 x 2.3 cm				" "
				    Bìa Mềm				" "
Hướng Dẫn Thực Hành Tỉnh Thức Cho Trẻ Nhỏ Và Trẻ Vị Thành Niên
“Quản lý cảm xúc”, “áp lực học tập”, “trầm cảm”, “rối loạn tăng động giảm chú ý”, “rối loạn ám ảnh cưỡng chế”…là những từ khóa được nhắc đến rất nhiều trong các diễn đàn của giáo viên, phụ huynh học sinh tại Việt Nam trong thời gian gần đây. Áp lực trong xã hội hiện đại giờ đây không chỉ đè nặng lên người lớn, mà cả con trẻ cũng phải oằn mình gánh chịu những trách nhiệm, những kỳ vọng, những căng thẳng trong quá trình trưởng thành. Khủng hoảng tâm lý có thể xảy ra bất cứ lúc nào trong cuộc đời mỗi người, đặc biệt khó khăn với trẻ nhỏ và trẻ vị thành niên. Rèn luyện ý chí và bản lĩnh tâm lý cho trẻ em không còn là một lựa chọn, mà đã trở thành yêu cầu cấp bách của nhà trường và gia đình. Bài toán đặt ra là làm thế nào để các can thiệp không bị quá muộn, làm thế nào để các em có thể tìm được nguồn lực và sự hỗ trợ khi các em cần?
Sau hơn 25 năm cùng các cộng sự nghiên cứu và thực hành, tác giả Debra Burdick đã cung cấp phương pháp vô giá mà mọi bác sĩ lâm sàng, giáo viên và phụ huynh đều có thể áp dụng để chăm sóc những trẻ có vấn đề về sức khỏe tâm thần, cũng như giúp trẻ nhỏ và trẻ vị thành niên vượt qua những thách thức trong quá trình trưởng thành – Đó là Tỉnh thức và các phương pháp hoạt động Tỉnh thức.
TẠI SAO CUỐN SÁCH NÀY LẠI CẦN THIẾT?
Trạng thái tỉnh thức có thể tác động tích cực đến chất lượng cuộc sống của trẻ nhỏ và trẻ vị thành niên theo nhiều cách. Các nghiên cứu mới nhất đưa ra một số lợi ích của tỉnh thức như sau:
- Tăng khả năng điều tiết cảm xúc;
- Nâng cao kỹ năng xã hội;
- Tăng khả năng tập trung;
- Tăng cường trí nhớ, khả năng lập kế hoạch và tổ chức;
- Nâng cao lòng tự trọng;
- Tăng cảm giác bình tĩnh, thư giãn và chấp nhận bản thân;
- Nâng cao chất lượng giấc ngủ;
- Giảm lo lắng trước kỳ thi;
- Giảm các hành vi ADHD - hiếu động thái quá và bốc đồng;
- Giảm xúc động, cảm xúc tiêu cực;
- Giảm lo âu, trầm cảm;
- Ít vấn đề rối loạn hành vi và quản lý cơn giận.
Cuốn sách trình bày nền tảng lý thuyết trước mỗi bài thực hành, hướng dẫn từng bước quá trình xây dựng kỹ năng và phương pháp thực hành. Các bài thực hành tỉnh thức đều dựa trên cơ sở sinh lý học thần kinh và được trình bày dễ hiểu với mọi lứa tuổi, ngay cả với trẻ nhỏ. Toàn bộ phần phương pháp thực hành được tác giả hướng dẫn chi tiết giúp người đọc dễ dàng áp dụng vào cuộc sống hàng ngày.
Có thể nói hiện nay trên thị trường có rất nhiều đầu sách xuất sắc về tỉnh thức, tuy nhiên 95% trong số đó dành cho người lớn, các bậc cha mẹ mà lại quên đi nhóm đối tượng dễ bị tổn thương tâm lý nhất hiện nay là trẻ em và trẻ vị thành niên. Hi vọng cuốn sách bổ ích này sẽ đồng hành cùng các gia đình trong việc nâng cao chất lượng học tập và cuộc sống của trẻ em giúp các em quản lý cảm xúc, hình thành tâm lý và lối sống tích cực, lành mạnh. 
" "
