Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/dong-hanh-cung-con-quan-ly-cam-xuc.html https://cdn0.fahasa.com/media/catalog/product/_/n/_ng-h_nh-c_ng-con-qu_n-l_-c_m-x_c_out.jpg "

					Đồng Hành Cùng Con Quản Lý Cảm Xúc				" "" "(0 đánh giá)" "
Phụ Nữ " "
				    Allison Edwards				" "
				    Phụ Nữ Việt Nam				" "
				    2023				" "
				    20.5 x 14	x 0.6 cm				" "
				    Bìa Mềm				" "
Đồng Hành Cùng Con Quản Lý Cảm Xúc
Khi não bộ nhận ra mối nguy hiểm, ngay lập tức cơ thể và tâm trí sẽ khởi động một trong ba chế độ — lẩn tránh, chống trả hoặc bất động. Tim đập nhanh, cơ thể căng thẳng, tay run lên và cảm xúc lấn át suy nghĩ lý trí.
Và bạn rơi vào trạng thái hỗn loạn cảm xúc.
Khi trẻ em gặp phải tình trạng “ùn ứ” cảm xúc, cách chúng hành xử sẽ thay đổi. Chúng la hét, cắn nghiến hoặc bỏ chạy. Chúng bỏ cuộc và mất tập trung. Chúng đổ lỗi và nói dối. Lúc này, bọn trẻ cư xử vô lý, bướng bỉnh và thiếu kiểm soát. Thậm chí cả trẻ em và người lớn được trang bị cách đối phó tốt nhất cũng không thể xác định hoặc quản lý cảm xúc trong tình trạng cảm xúc chi phối.
Allison Edwards, sẽ hướng dẫn chúng ta cách xác định thời điểm trẻ bị cảm xúc thao túng từ đó gợi ý cho trẻ (và cả người lớn) cách giành lại quyền kiểm soát cảm xúc cá nhân.
Cuốn sách này sẽ giúp bạn hiểu rõ:
- Cách não bộ tương tác với cảm xúc
- Vai trò của sang chấn tâm lý đối với sức khỏe cảm xúc
- Lý do vì sao trẻ em hành xử vô lý trong những tình huống căng thẳng
- Phương pháp dạy trẻ cách điều tiết cảm xúc
- Cách sắp xếp không gian để nâng cao nhận thức về cảm xúc
- Các chiến lược cải thiện sự tương tác giữa trẻ với trường học và gia đình
Các bậc cha mẹ, những nhà giáo dục và cả các chuyên gia cần dạy trẻ cách xác định cảm xúc, tìm hiểu nguyên nhân và gợi ý các phương pháp quản lý cảm xúc hiệu quả. Và cuốn sách này sẽ giải mã điều đó. 
" "
				    134				" "Sách tiếng Việt" "Nuôi Dạy Con" "Phương Pháp Giáo Dục T..." "null" "33.600 đ" "48.000"
https://www.fahasa.com/me-nhat-day-con-xuat-sac-nhat-nuoc-my.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_45082.jpg "

					Mẹ Nhật Dạy Con Xuất Sắc Nhất Nước Mỹ				" "" "(0 đánh giá)" "null" "
				    Shigeko Bork				" "
				    NXB Phụ Nữ Việt Nam				" "
				    2020				" "
				    19 x 13 cm				" "
				    Bìa Mềm				" "
Những người có thể trở thành những ông bố bà mẹ tốt nhất đối với bản thân mình chính là những bậc cha mẹ tốt nhất của những đứa trẻ.
Mục đích của việc nuôi dạy con cái đó là hình thành cho con mình tính tự lập. Việc nuôi dạy các con cũng là việc hỗ trợ để chúng có thể tự lập một cách tối đa. Vì vậy, nếu bạn cảm thấy buồn khi con mình không cần nhờ cậy gì ở mình tức là chúng hoàn toàn có khả năng tự lập. Tôi nghĩ đó là món quà lớn nhất mà cha mẹ nhận được.
Việc nuôi dạy con cái là một hành trình có điểm dừng. Tuy cảm thấy buồn và có cả những điều còn nuối tiếc vì chưa làm được nhưng hành trình này đã có kết quả tốt, khi cuối cùng con chúng ta đã có thể tự lập và sống cuộc sống của chính mình. 
" "
				    260				" "Sách tiếng Việt" "Nuôi Dạy Con" "Phương Pháp Giáo Dục T..." "null" "107.100 đ" "119.000 đ"
https://www.fahasa.com/me-tu-ton-con-tu-tin.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_244718_1_3721.jpg "

					Mẹ Tự Tôn - Con Tự Tin				" "" "(0 đánh giá)" "
Thái Hà " "
				    Kim Mi Kyung				" "
				    NXB Lao Động				" "
				    2021				" "
				    23 x 15 cm				" "
				    Bìa Mềm				" "
Cuốn sách Mẹ tự tôn – Con tự tin chứa đựng nhiều quan điểm tiến bộ bởi đã nêu ra câu hỏi mang tính thách thức đối với quan niệm cố hữu của số đông về “bổn phận làm mẹ”.
