Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/mastering-listening-skills-kem-cd.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_178914.jpg "

					Mastering Listening Skills (Kèm CD)				" "" "(0 đánh giá)" "
ZenBooks " "
				    MIchael A.Putlack				" "
				    NXB Đà Nẵng				" "
				    2018				" "
				    21 x 28				" "
				    Bìa Mềm				" "
Bộ sách Mastering Listening Skills giúp người học cải thiện khả năng tiếng Anh, đặc biệt là kỹ năng đọc/nghe. Người học sẽ được biết đến nhiều kiến thức hữu ích thuộc nhiều chủ đề học thuật, đồng thời có được sự chuẩn bị đối với các kì thi mang tính chuẩn hóa. Chẳng hạn, nhiều câu hỏi trong các bài nghe có tính chất tương tự như câu hỏi trong đề thi TOEFL iBT và IELLTS. Do đó, bằng cách sử dụng quyển sách này, người học sẽ có khả năng đạt được điểm số cao hơn ở các bài thi trong tương lai.
Sách gồm 20 bài đọc/nghe thuộc nhiều dạng chủ đề học thuật;
Các câu hỏi đọc/nghe hiểu và câu hỏi ôn tập từ vựng Cho phép người học tự kiểm tra khả năng;
Hướng dẫn người nghe các kỹ năng quan trọng để cải thiện khả năng đọc/nghe;
Đưa ra định nghĩa và câu ví dụ cho những từ vựng khó;
Gồm các câu hỏi, bài tập từ vựng và bài tập kỹ năng đọc/nghe bổ sung. 
" "
				    192				" "Sách tiếng Việt" "Sách học ngoại ngữ" "Tiếng Anh" "Luyện Nghe" "214.200 đ" "238.000 đ"
https://www.fahasa.com/giao-trinh-luyen-ky-nang-nghe-noi-tieng-anh-trinh-do-so-cap-cd.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935072890520.jpg "

					Giáo Trình Luyện Kỹ Năng Nghe - Nói Tiếng Anh_Trình Độ Sơ Cấp (+CD)				" "5.0" "(1 đánh giá)" "null" "
				    Ths Tuyết Anh				" "
				    NXB Đại Học Sư Phạm				" "
				    2013				" "
				    24 x 16 cm				" "
				    Bìa Mềm				" "
Học tiếng Anh, Nghe - Nói là hai kỹ năng khó. Cuốn sách Giáo Trình Luyện Kỹ Năng Nghe - Nói Tiếng Anh - Trình Độ Sơ Cấp tổng hợp những bài học và luyện tập giúp các bạn cải thiện hai kỹ năng này. Cuốn sách sẽ giúp các luyện Nghe - Nói về đơn giản như chào hỏi, làm quen...,những vấn đề khác thường gặp trong cuộc sống hằng ngày như về thời tiết, về sức khỏe, về gia đình, công việc... Cấu trúc cuốn sách Giáo Trình Luyện Kỹ Năng Nghe - Nói Tiếng Anh - Trình Độ Sơ Cấp bao gồm 8 nội dung:
1 - Meetings and Greetings - Gặp gỡ và Chào hỏi 
2 - Finding your way - Tìm đường 
3 - Weather around the world - Khí hậu trên biển thế giới
4 - To your health - Về sức khỏe của bạn 
5 - A human rainbow - Cầu vồng về con người 
6 - Get a job! - Tìm được việc làm!
7 - All in the family - Tất cả về gia đình 
8 - The future is now - Tương lai là bây giờ. 
" "
				    234				" "Sách tiếng Việt" "Sách học ngoại ngữ" "Tiếng Anh" "Luyện Nghe" "56.700 đ" "63.000 đ"
https://www.fahasa.com/listen-up-upper-intermediate-kem-cd.html https://cdn0.fahasa.com/media/catalog/product/9/7/9786045846858.jpg "

					Listen Up Upper Intermediate (Kèm CD)				" "" "(0 đánh giá)" "null" "
				    Louis Lemieux				" "
				    NXB Tổng hợp TP.HCM				" "
				    2016				" "
				    27 x 19.5 x 0.8 cm				" "
				    Bìa Mềm				" "
Listen Up Upper Intermediate Listen Up! 
Listen Up! is designed to help intermediate level ESL students build their English listening comprehension. This series is divided into two parts, each consisting of one student book and one CD. Each part includes 12 units, each taking the form of an 18 to 20-minute audio program.
