Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/the-alphabet-i-found-in-mom-s-kitchen-tieng-anh.html https://cdn0.fahasa.com/media/catalog/product/9/7/9786042086455_1.jpg "

					The Alphabet I Found In Mom's Kitchen (Tiếng Anh)				" "4.5" "(2 đánh giá)" "
Nhà Xuất Bản Kim Đồng " "
				    Tiên Võ , Nguyễn H. Vũ , Trúc Võ				" "
				    NXB Kim Đồng				" "
				    03-2017				" "
				    20 x 25				" "
				    Bìa Mềm				" "
The Alphabet I Found In Mom's Kitchen (Tiếng Anh)
Một cuốn sách viết bằng tiếng Anh kể về hành trình cậu bé Will khám phá căn bếp nhỏ của Mẹ. Dưới con mắt cậu, một thế giới kì diệu và sống động hiện ra và đang chờ cậu khám phá. Những chuyến phiêu lưu của Will sẽ được dẫn dắt bởi… những chữ cái!
Một cuốn artbook độc đáo.
Ngôn ngữ tiếng Anh chuẩn dành cho mọi đối tượng, bao gồm cả những độc giả bản ngữ.
Giới thiệu về nhóm tác giả:
Tiên Võ là cái tên đằng sau những tác phẩm đẹp mắt, bao gồm cả bé Will con trai cô – “chàng thơ” của tác phẩm. “The Alphabet I Found in Mom’s Kitchen” được cô thai nghén trong khi mang thai Will. Tiên là một “tắc kè hoa sáng tạo” đúng nghĩa, kiêm đồng thời 3 vai trò: giám đốc nghệ thuât/ sáng tác/ vẽ minh hoạ. Ngoài việc trở thành nghệ sĩ Việt Nam đầu tiên có tác phẩm được trưng bày tại Milan trong dự án Good 50x70, Tiên cùng các tác phẩm gần đây của cô còn xuất hiện trên tạp chí Elle, Elle Decoration, AnyArena, Designboom… Tiên đã 2 lần chinh phục nửa chặng marathon, tính thêm “chặng” sáng tạo quyển sách này nữa là 3 lần.
