Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/tu-hoc-tieng-duc-cho-nguoi-moi-bat-dau-nxb-hd-download-cd-tb.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935072956547.jpg "

					Tự Học Tiếng Đức Cho Người Mới Bắt Đầu				" "" "(0 đánh giá)" "null" "
				    Nguyễn Hoàng Vĩnh Lộc, Nguyễn Lưu Bảo Đoan				" "
				    NXB Hồng Đức				" "
				    2022				" "
				    20.5 x 14.5 x 1.4 cm				" "
				    Bìa Mềm				" "
Tự Học Tiếng Đức Cho Người Mới Bắt Đầu
Đây là giáo trình tự học tiếng Đức hoàn chỉnh nhất và được biên soạn công phu nhàm giúp người học phát triển cả 4 kỹ năng: Nghe, Nói, Đọc, Viết. Ngoài ra phần chú thích giải ngữ pháp và bài tập áp dung giúp cho các học viên tự phát triển, xây dựng các mẫu câu căn bản và từ đó nâng dàn thành các mẫu câu phức tạp hơn đủ để diễn giải các tình huống thường gặp. Paul Coggle & Heiner Schenke, tác giả của giáo trình tự học này đồng thời cũng là giảng viên tiếng Đức tại viện đại học Luân Đôn Anh Quốc, đã đúc kết nhiều năm kinh nghiệm dạy tiếng Đức cho người nước ngoài.
Cấu trúc của giáo rình rất rõ ràng:
- Bài học với các bài hội thoại sinh động, chú giải ngữ pháp, bài tập ứng dụng. Ngoài ra còn có phần thông tin về đất nước và con người Đức qua các lễ hội truyền thống và lối sống đặc thù của họ.
- Hướng dẫn cách phát âm.
- Cách chia động từ.
Kết thúc quá trình tự học này, người học có thể giao tiếp bằng tiếng Đức tương đối lưu loát và tự tin. Đây cũng là nền tảng nếu bạn muốn đi sâu và tì hiểu ngôn ngữ Đức. 
" "
				    318				" "Sách tiếng Việt" "Sách học ngoại ngữ" "Tiếng Đức" "null" "74.750 đ" "115.000 đ"
https://www.fahasa.com/pons-tu-hoc-tieng-duc-qua-hinh.html https://cdn0.fahasa.com/media/catalog/product/t/u/tuhoctiengducquahinh.jpg "

					Pons Tự Học Tiếng Đức Qua Hình				" "" "(0 đánh giá)" "null" "
				    PONS				" "
				    NXB Tổng Hợp TPHCM				" "
				    2019				" "
				    13.8 x 16.6 cm				" "
				    Bìa Mềm				" "
