Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/viet-nam-vo-dich.html https://cdn0.fahasa.com/media/catalog/product/v/i/viet-nam-vo-dich--bia1.jpg "

					Việt Nam Vô Địch 				" "5.0" "(1 đánh giá)" "
Cty Văn Hóa & Truyền Thông Trí Việt. " "
				    Nhiều Tác Giả				" "
				    NXB Thể Thao và Du Lịch				" "
				    2018				" "
				    16 x 24				" "
				    Bìa Mềm				" "
“10” có lẽ là con số được nhắc đến nhiều nhất trong những ngày này khi Đội tuyển Việt Nam nâng cao chiếc cúp AFF trên sân vận động Mỹ Đình ngày 15/12/2018. Mười năm chờ đợi, đau đáu hướng tới ngôi vương Đông Nam Á của người hâm mộ bóng đá Việt nay có lẽ họ đã nức lòng bởi thế hệ cầu thủ “vàng mười” chín muồi về tài năng lẫn nhân cách.
Quyển sách Việt Nam vô địch do TRIVIETBOOKS và Nhà xuất bản Thể thao và Du lịch thực hiện nhằm tri ân các cán bộ, ban huấn luyện cũng như các trợ lý, các bác sĩ và đặc biệt là HLV Park Hang-seo cùng 23 cầu thủ Đội tuyển Việt Nam tham dự giải AFF Cup 2018.
Trân trọng cảm ơn các tác giả, nhà báo thể thao Hà Quang Minh, Phan Đăng, Trần Minh, Du Đãng, Phong Miêu, Nguyễn Thế Đại Dương, Diệu Hằng, Phúc Vũ, Đăng Khoa, Nam Phong, Nguyên Hải, Đăng Văn, Cẩm Chi, Nam Nguyễn; phóng viên ảnh Đức Đồng; các báo Kênh 14, Soha, VnExpress, Bóngđá&Cuộcsống cùng các đồng nghiệp đã giúp chúng tôi hoàn thành quyển sách này.
Đồng thời xin cảm ơn các cổ động viên trên khắp cả nước nói chung cũng như Fandom Owker (Hội những người hâm mộ đội tuyển bóng đá Việt Nam) nói riêng đã cho chúng tôi niềm cảm hứng để bắt tay thực hiện quyển sách Việt Nam vô địch. Cuốn sách này là để dành tặng các bạn đã cổ vũ và đồng hành cùng Đội tuyển Việt Nam trong năm 2018.
Ban dự án sách của TRIVIETBOOKS đã cố gắng hết sức nhưng cuốn sách sẽ không thể tránh sự thiếu sót, mong nhận được những góp ý tích cực của bạn đọc, người hâm mộ bóng đá để chúng tôi kịp thời bổ sung khi tái bản.
Xin chân thành cảm ơn! 
" "
				    264				" "Sách tiếng Việt" "Thể Dục Thể thao - Giả..." "null" "null" "121.500 đ" "135.000 đ"
https://www.fahasa.com/chuan-bi-san-sang-doat-huy-chuong-vang-cam-nang-li-thu-ve-cac-mon-the-thao-olympic.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935244868968.jpg "

					Chuẩn Bị, Sẵn Sàng, Đoạt Huy Chương Vàng - Cẩm Nang Lí Thú Về Các Môn Thể Thao Olympic				" "" "(0 đánh giá)" "
Nhà Xuất Bản Kim Đồng " "
				    Scott Allen, Antoine Corbineau				" "
				    NXB Kim Đồng				" "
				    2022				" "
				    29 x 25 x 0.6 cm				" "
				    Bìa Mềm				" "
Chuẩn Bị, Sẵn Sàng, Đoạt Huy Chương Vàng - Cẩm Nang Lí Thú Về Các Môn Thể Thao Olympic
