Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/nhung-cau-chuyen-truyen-cam-hung-thomas-alva-edison-quyet-tam.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_41927.jpg "

					Những Câu Chuyện Truyền Cảm Hứng - Thomas Alva Edison - Quyết Tâm				" "" "(0 đánh giá)" "null" "
				    Shambhavi, Shad Afzal				" "
				    NXB Giáo Dục Việt Nam				" "
				    2018				" "
				    20 x 18 cm				" "
				    Bìa Mềm				" "
Không gì có thể truyền đạt giá trị đạo đức và khích lệ con trẻ tốt hơn những câu chuyện cuộc đời chân thực, nhiều chông gai nhưng tràn đầy hoài bão của những người nổi tiếng đã được cả thế giới ngưỡng vọng. Trẻ sẽ được truyền cảm hứng mạnh mẽ, biết ước mơ và khao khát để vươn tới những điều lớn lao! Bộ sách Những câu chuyện truyền cảm hứng dành cho trẻ từ 6 – 12 tuổi, viết về 10 danh nhân nổi tiếng, thành tựu của họ trên nhiều lĩnh vực, đặc biệt là cách họ thay đổi cả thế giới!
Cuốn Thomas Alva Edison – Quyết tâm nằm trong bộ sách kỳ diệu trên, “bật mí” nhiều bí mật thú vị và những câu chuyện truyền cảm hứng QUYẾT TÂM về THOMAS ALVA EDISON – từ học sinh “yếu kém và cá biệt”, “không có tương lai”, nhờ ý chí quyết tâm và niềm tin mãnh liệt mà trở thành nhà phát minh đại tài với 1.500 sáng chế, trong đó có bóng đèn điện thắp sáng cả văn minh nhân loại.
Các cuốn sách thuộc bộ sách Những câu chuyện truyền cảm hứng:
1. Alexander Graham Bell – Ham học hỏi
2. Marie Curie – Kiên trì
3. Leonardo da Vinci – Sáng tạo
4. Thomas Alva Edison – Quyết tâm
5. Mẹ Teresa – Đồng cảm
6. Stephen Hawking – Tận tâm
7. Martin Luther King – Dũng cảm
8. Ludwig van Beethoven – Tự trọng
9. Benjamin Franklin – Chăm chỉ
10.  Louis Pasteur – Tự tin 
" "
				    16				" "Sách tiếng Việt" "Thiếu nhi" "Kiến thức bách khoa" "Câu Chuyện Danh Nhân N..." "16.200 đ" "18.000 đ"
https://www.fahasa.com/100-tam-guong-hieu-hoc-cua-cac-danh-nhan-noi-tieng.html https://cdn0.fahasa.com/media/catalog/product/9/7/9786048898588.jpg "

					100 Tấm Gương Hiếu Học Của Các Danh Nhân Nổi Tiếng				" "" "(0 đánh giá)" "
Cty Văn Hóa & Truyền Thông Trí Việt. " "
				    Nhiều Tác Giả				" "
				    Hồng Đức				" "
				    2023				" "
				    20.5 x 13 x 1.4 cm				" "
				    Bìa Mềm				" "
100 Tấm Gương Hiếu Học Của Các Danh Nhân Nổi Tiếng
“99% là nỗ lực 1% là thiên tài” có lẽ là câu nói minh chứng cho sự cố gắng trong học tập và làm việc. Chúng ta thường ngưỡng mộ nhưng thiên tài, chúng ta thường nghĩ rằng do trời phú mà họ có được thành công và sự nghiệp như vây. Nhưng thật ra, nhiều danh nhân, bác học đều có sự nỗ lực và cố gắng hơn người, như câu nói của nhà hóa học Heyrovsky, người đoạt giải Nobel năm 1959: Tất cả các phát minh vĩ đại đều phải qua một thời gian dài lao động cực nhọc mà thành.
Điều đó thật sự là một chân lý được đúc kết. Cuốn sách giúp độc giả có thể tìm hiểu thêm về quá trình xuất hiện của những thành tựu khoa học kỳ diệu làm thay đổi cuộc sống con người. 
" "
				    296				" "Sách tiếng Việt" "Thiếu nhi" "Kiến thức bách khoa" "Câu Chuyện Danh Nhân N..." "62.100 đ" "69.000 đ"
https://www.fahasa.com/bo-sach-chan-dung-isaac-newton-la-ai-tai-ban-2021.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_236979.jpg "

					Bộ Sách Chân Dung - Isaac Newton Là Ai? (Tái Bản 2021)				" "" "(0 đánh giá)" "
Alpha Books " "
				    Janet B Pascal, Tim Foley				" "
