Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/dong-dao-ve-cac-tro-choi-van-dong-223273.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_178411.jpg "

					Đồng Dao Về Các Trò Chơi Vận Động				" "" "(0 đánh giá)" "
Panda Books " "
				    Pandabooks				" "
				    NXB Dân Trí				" "
				    2018				" "
				    16 x 24				" "
				    Bìa Mềm				" "
Vui chơi, giải trí là nhu cầu cần thiết, không thể thiếu trong cuộc sống của con người ở mọi thời đại, mọi lứa tuổi. Chính vì vậy, từ xa xưa, cha ông ta đã sáng tạo ra những hình thức sinh hoạt văn hóa dân gian đầy bổ ích.
Nếu như ca dao là nguồn sống, tâm tư tình cảm của người lớn thì đồng dao là những bài ca của nhi đồng hay những lời ca dân gian của trẻ em. Và trò chơi từ những bài đồng dao cũng là phương thức để trẻ em tiếp xúc với thế giới bên ngoài, giao lưu với bạn bè.
Đồng dao có nhiều loại: các bài hát; câu hát trẻ em; lời hát trong các trò chơi; bài hát ru em… Kho tàng đồng dao phong phú, đa dạng của Việt Nam được coi là phương tiện giáo dục trí, đức, thể, mỹ cho các em.
Với mong muốn giúp trẻ tiếp cận với thế giới xung quanh, nuôi dưỡng tâm hồn trẻ thơ, đồng thời rèn luyện thể chất cho trẻ khi được kết hợp với các trò chơi dân gian thú vị.
Trẻ không thuộc bài hát thụ động mà thuộc với tất cả sự hứng thú. Trẻ vui chơi một cách tự nguyện trong môi trường tập thể, tiếp xúc với các bạn cùng trang lứa. 
" "
				    16				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Hỏi Đáp - Câu Đố - Trò..." "16.200 đ" "18.000 đ"
https://www.fahasa.com/thong-minh-tai-tri-cau-do-ve-nhanh-tri-va-nhay-ben.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935072956356.jpg "

					Thông Minh - Tài Trí: Câu Đố Về Nhanh Trí Và Nhạy Bén				" "" "(0 đánh giá)" "
				    Cty Văn Hóa Nhân Văn				" "
				    Lê Hùng				" "
				    Thanh Hóa				" "
				    2022				" "
				    20.5 x 14.5 cm				" "
				    Bìa Mềm				" "
Bộ sách Thông minh – Tài trí mà các bạn cầm trên tay là tập hợp những câu đố hack não, đôi lúc có những câu hỏi khiến bạn khó hiểu, khó giải quyết... nhưng giải được nó rồi thì bạn sẽ phấn chấn tinh thần ngay. Và như thế bạn sẽ có những phút giải trí thú vị và bổ ích. 
" "
				    108				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Hỏi Đáp - Câu Đố - Trò..." "54.000 đ" "60.000 đ"
https://www.fahasa.com/nhung-cau-do-toan-hoc-kieu-nhat-cau-do-logic-1.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_701.jpg "

					Những Câu Đố Toán Học Kiểu Nhật - Câu Đố Logic 1				" "" "(0 đánh giá)" "
Đinh Tị " "
				    Nhiều Tác Giả				" "
				    NXB Thanh Niên				" "
				    2019				" "
				    17 x 24.5 x 0.7 cm 				" "
				    Bìa Mềm				" "
Ở Nhật Bản, môn Toán được coi như một trò chơi trí tuệ hơn là một môn học. Các em học sinh sẽ được dạy cách tư duy thực thụ, nâng cao cảm quan Toán học một cách tự nhiên nhất. Điều này giúp học sinh Nhật dễ dàng học tốt môn Toán hơn những đứa trẻ khác trên thế giới.
Từ việc quan sát phương pháp học trên, nhóm phát triển câu đố Toán học đã cho ra đời bộ sách Những câu đố Toán học kiểu Nhậtgồm 6 cuốn với những chủ đề khác nhau: Hình học, Số học, Lập luận, Mê cung, Câu đó logic (1), Câu đố logic (2) nhằm giúp các em học sinh có thể nuôi dưỡng năng lực Toán học toàn diện bao gồm: 
- Khả năng tiếp cận vấn đề một cách logic
- Kỹ năng phân tích và giải quyết vấn đề
- Năng lực hình thành các ý tưởng
- Năng lực đọc hiểu
- Cảm quan hình học
và còn nhiều kỹ năng tư duy khác nữa.
Với những kỹ năng tư duy có được này, các em sẽ không chỉ học tốt môn Toán mà còn có thể dễ dàng tiếp thu các môn học khác cũng như áp dụng vào nhiều lĩnh vực trong cuộc sống. 
" "
				    112				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Hỏi Đáp - Câu Đố - Trò..." "49.500 đ" "55.000 đ"
https://www.fahasa.com/668-cau-hoi-phat-trien-tri-thong-minh-cho-tre-tap-6.html https://cdn0.fahasa.com/media/catalog/product/9/7/9786043758993.jpg "

					668 Câu Hỏi Phát Triển Trí Thông Minh Cho Trẻ - Tập 6				" "" "(0 đánh giá)" "
Cty Văn Hóa Việt Thư " "
				    An Nhiên				" "
				    Phụ Nữ Việt Nam				" "
				    2022				" "
				    29 x 21 x 0.4 cm				" "
				    Bìa Mềm				" "
Bộ sách 668 CÂU HỎI PHÁT TRIỂN TRÍ THÔNG MINH CHO TRẺ giúp phát triển IQ, EQ thông qua những trò chơi toán học logic, phát huy tối đa khả năng nhận thức, tư duy phân kỳ, trí tưởng tượng, tri giác về không gian, phán đoán suy luận một cách khoa học về những sự vật, sự việc trong tự nhiên. Bộ sách sẽ là nhũng bài học đầy thú vị để bố mẹ và con cái có sự tương tác với nhau. Đồng thời nâng cao năng lực tư duy, tính chính xác và rèn luyện độ kiên trì cho trẻ. 
" "
				    31				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Hỏi Đáp - Câu Đố - Trò..." "52.200 đ" "58.000 đ"
https://www.fahasa.com/phat-trien-iq-boi-duong-tu-duy-toan-dien-cho-tre-tap-1.html https://cdn0.fahasa.com/media/catalog/product/9/7/9786044770574.jpg "

					Phát Triển IQ - Bồi Dưỡng Tư Duy Toàn Diện Cho Trẻ - Tập 1				" "" "(0 đánh giá)" "
Cty Văn Hóa Việt Thư " "
				    Bích Ngọc				" "
				    Phụ Nữ Việt Nam				" "
				    2023				" "
				    20 x 20 x 0.2 cm				" "
				    Bìa Mềm				" "
Phát Triển IQ - Bồi Dưỡng Tư Duy Toàn Diện Cho Trẻ - Tập 1
Cuôn sách Bồi dưỡng tư suy toàn diện cho trẻ bổ sung cho bé những kiến thức sau:
- Khả năng nhận thức: sự vật khách quan trong cuộc sống
- Khả năng quan sát: tìm ra sự khác nhau hoặc mối liên hệ giữa các sự vật
- Khả năng toán học: tư duy toán học, năm được sự tương ứng giữa số và lượng
- Khả năng ngôn ngữ: phong phú lượng từ vựng của trẻ, tăng khả năng diễn đạt bằng ngôn từ
- Khả năng ghi nhớ: quan sát, ghi nhớ sự vật trong thời gian ngắn
- Khả năng so sánh: so sánh 2 hoặc nhiều hơn 2 đối tượng
- Cảm nhận không gian: sự thay đổi về trạng thái của không gian và vị trí không gian của vật thể
- Khả năng tập trung: bồi đắp khả năng tập trung có ý thức
- Phân tích, phán đoán: quan sát, phân tích, nghiên cứu về sự vật từ đó rút ra kết quả
- Khả năng cầm bút: rèn luyện tính linh hoạt cho các cơ ở tay, phối hợp nhịp nhàng giữa tay và mắt
- Tưởng tượng, sáng tạo: phát huy trí tưởng tượng theo hình ảnh hoặc tình huống đã có
- Khả năng tổ hợp: hiểu về bộ phận và tổng thể
- Tư duy logic: học cách suy nghĩ, phân tích và đưa ra suy luận chính xác 
" "
				    48				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Hỏi Đáp - Câu Đố - Trò..." "28.560 đ" "42.000 đ"
https://www.fahasa.com/nhung-cau-do-toan-hoc-kieu-nhat-cau-do-logic-2-402887.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935212356381.jpg "

					Những Câu Đố Toán Học Kiểu Nhật - Câu Đố Logic 2				" "" "(0 đánh giá)" "
Đinh Tị " "
				    Nhiều Tác Giả				" "
				    Thanh Niên				" "
				    2021				" "
				    24.5 x 17 cm				" "
				    Bìa Mềm				" "
Ở Nhật Bản, môn Toán được coi như một trò chơi trí tuệ hơn là một môn học. Các em học sinh sẽ được dạy cách tư duy thực thụ, nâng cao cảm quan Toán học một cách tự nhiên nhất. Điều này giúp học sinh Nhật dễ dàng học tốt môn Toán hơn những đứa trẻ khác trên thế giới.
Từ việc quan sát phương pháp học trên, nhóm phát triển câu đố Toán học đã cho ra đời bộ sách Những câu đố Toán học kiểu Nhật gồm 6 cuốn với những chủ đề khác nhau: Hình học, Số học, Lập luận, Mê cung, Câu đó logic (1), Câu đố logic (2) nhằm giúp các em học sinh có thể nuôi dưỡng năng lực Toán học toàn diện bao gồm: 
- Khả năng tiếp cận vấn đề một cách logic
- Kỹ năng phân tích và giải quyết vấn đề
- Năng lực hình thành các ý tưởng
- Năng lực đọc hiểu
- Cảm quan hình học và còn nhiều kỹ năng tư duy khác nữa.
Với những kỹ năng tư duy có được này, các em sẽ không chỉ học tốt môn Toán mà còn có thể dễ dàng tiếp thu các môn học khác cũng như áp dụng vào nhiều lĩnh vực trong cuộc sống. 
" "
				    112				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Hỏi Đáp - Câu Đố - Trò..." "51.330 đ" "59.000 đ"
https://www.fahasa.com/romeo-di-tim-cong-chua-100-cau-do-vui-hoc-bua-2018.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_178712.jpg "

					Romeo Đi Tìm Công Chúa - 100 Câu Đố Vui Hóc Búa(2018)				" "" "(0 đánh giá)" "null" "
				    Nguyễn Tiến Dũng, Lê Thị Bích Phượng				" "
				    NXB Thông Tin và Truyền Thông				" "
				    2018				" "null" "
				    Bìa Mềm				" "
Sách đố vui là một thể loại sách không thể thiếu, việc tò mò tìm lời giải là một cách vừa học vừa chơi rất hiệu quả.
Các câu đố trong cuốn sách này được chia thành 5 thể loại:
Số học (Con số nhảy múa)
Hình học (Hình học hóc búa)
Tìm quy luật (Quy luật toán học)
Thuật toán (Chiến thuật tối ưu)
Logic (Đi tìm công chúa)
Các câu đố đều có phần lời giải và được sắp xếp một cách khoa học, hệ thống. 
" "
				    147				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Hỏi Đáp - Câu Đố - Trò..." "61.200 đ" "68.000 đ"
https://www.fahasa.com/thong-minh-tai-tri-cau-do-ve-tu-duy-logic.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935072956363.jpg "

					Thông Minh - Tài Trí: Câu Đố Về Tư Duy Logic				" "" "(0 đánh giá)" "
				    Cty Văn Hóa Nhân Văn				" "
				    Lê Hùng				" "
				    Thanh Hóa				" "
				    2022				" "
				    20.5 x 14.5 cm				" "
				    Bìa Mềm				" "
Bộ sách Thông minh – Tài trí mà các bạn cầm trên tay là tập hợp những câu đố hack não, đôi lúc có những câu hỏi khiến bạn khó hiểu, khó giải quyết... nhưng giải được nó rồi thì bạn sẽ phấn chấn tinh thần ngay. Và như thế bạn sẽ có những phút giải trí thú vị và bổ ích. 
" "
				    132				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Hỏi Đáp - Câu Đố - Trò..." "59.400 đ" "66.000 đ"
https://www.fahasa.com/hoi-dap-khoa-hoc-vui-nhon-ong-gia-noel-co-that-khong.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_1521.jpg "

					Hỏi Đáp Khoa Học Vui Nhộn - Ông Gia Noel Có Thật Không				" "" "(0 đánh giá)" "
Huy Hoang Bookstore " "
				    Mijia				" "
				    NXB Phụ Nữ				" "
				    2019				" "
				    24 x 17 x 1.1				" "
				    Bìa Mềm				" "
Nếu bạn là một bạn nhỏ tò mò và ham học hỏi, chắc chắn bạn sẽ thích bộ sách này.
TẠI SAO Ư?
Vì bộ sách sẽ giúp bạn giải đáp những câu hỏi “vì sao” tưởng chừng vô lý nhất.
Vì bộ sách sẽ đem lại cho bạn những tiếng cười vui vẻ nhất.
Vì bộ sách sẽ đưa bạn chu du trong một mê cung kiến thức rộng lớn nhất, khám phá bí mật của côn trùng cây cỏ, cho đến vũ trụ bao la.
Vì bộ sách sẽ tiếp thêm động lực để bạn khám phá những câu đố còn bỏ bỏ.
Trí tò mò của hôm nay, chính là phát minh và sáng tạo của ngày mai.
Bộ sách HỎI ĐÁP KHOA HỌC VUI NHỘN sẽ giải đáp, mời các bạn đón đọc! 
" "
