Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/doc-la-phi-thuong-giac-ngu-muon-hinh.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_184030.jpg "

					Độc, Lạ, Phi Thường - Giấc Ngủ Muôn Hình				" "" "(0 đánh giá)" "
NXB Trẻ " "
				    Gary, Shelly Underwood				" "
				    NXB Trẻ				" "
				    2019				" "
				    21.5 x 19				" "
				    Bìa Mềm				" "
Bộ sách Độc, lạ, phi thường gồm 12 tập về các loài động vật muôn hình vạn trạng, từ những loài hiền lành chỉ ăn cỏ qua ngày đến những loài săn mồi hung bạo, những mối quan hệ và tập quán sinh hoạt bí ẩn của các loài động vật hoang dã. Thế giới tự nhiên với những thông tin thú vị, đơn giản và dễ hiểu thêm phần sống động với hình ảnh chân thực, mang đến những kiến thức mới bổ ích và hấp dẫn về thế giới động vật trong tự nhiên, cũng mang đến những thông điệp báo động cho thấy con người đang gây tác động rất lớn đến môi trường sinh thái xung quanh.
Bộ sách gồm các tựa:
Bên bờ tuyệt chủng
Động vật có vú dưới biển
Giấc ngủ muôn hình
Kỹ năng tuyệt đỉnh
Loài ăn chay
Loài thú có túi
Lữ khách thường niên
Những kẻ khổng lồ trong vương quốc Động vật
Quan hệ sống còn
Thợ săn lành nghề
Thú con bé bỏng
Vị khách không mời 
" "
				    24				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Sách Tranh Kiến Thức S..." "19.800 đ" "22.000 đ"
https://www.fahasa.com/tuyen-bo-quyen-cua-bo.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_16172.jpg "

					Tuyên Bố Quyền Của Bố				" "" "(0 đánh giá)" "
Nhà Xuất Bản Kim Đồng " "
				    Élisabeth Brami, Estelle Billon Spagnol				" "
				    NXB Kim Đồng				" "
				    2019				" "
				    15 x 21 cm				" "
				    Bìa Mềm				" "
Bố, giống như mẹ, có quyền không hoàn hảo, hay lầm bầm khi con tè dầm, quyền làm “gà trống nuôi con”, quyền hưởng chế độ thai sản (khi vợ sinh con), quyền không thích thể thao, không biết sửa chữa và cũng chẳng cần cơ bắp. Bố có quyền sống hạnh phúc như trong câu chuyện tình yêu mà mình hằng mong ước...
Đây là bộ sách làm thay đổi suy nghĩ và những định kiến vốn có về quyền của mỗi người trong cuộc sống. Bộ sách sẽ mang đến cho độc giả hàng loạt quyền rất kì lạ mới được phát minh, nhằm nhắc nhở rằng việc tôn trọng sự bình đẳng giữa tất cả mọi người là vô cùng cấp thiết. 
" "
				    36				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Sách Tranh Kiến Thức S..." "23.400 đ" "26.000 đ"
