Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/be-tinh-y-thanh-pho-hinh-cua-chung-minh.html https://cdn0.fahasa.com/media/catalog/product/8/9/8934974179627.jpg "

					Bé Tinh Ý - Thành Phố Hình Của Chúng Mình				" "" "(0 đánh giá)" "
NXB Trẻ " "
				    Đào Trung Uyên, Đinh Ngọc Duy minh họa				" "
				    Trẻ				" "
				    2022				" "
				    26 x 19 cm				" "
				    Bìa Mềm				" "
Thành phố hình của chúng mình! Cuốn sách tương tác độc đáo dành cho bé từ 0+, lứa tuổi mà bé bắt đầu ghi nhớ sự vật, sự việc thông qua hình dạng, màu sắc, số đếm...
Thành phố hình của chúng mình! là cuộc phiêu lưu qua thành phố hình, bé quan sát những hình dạng cơ bản: vuông, tròn, tam giác, trái tim, ngôi sao, lưỡi liềm... qua những đồ vật, quang cảnh khắp xung quanh mình. Chẳng những vậy, sách còn có gợi ý hấp dẫn cho bé cách ghép các hình dạng lại với nhau thành một đồ vật mới vô cùng thông minh. Ba mẹ có thể áp dụng bằng cách tìm các mảnh gỗ nhiều hình dạng và cùng bé chơi ghép hình nhé.
Và hãy nhớ vỗ tay khen ngợi bé tìm đúng hình, và ghép hình sáng tạo nha! 
" "
				    24				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Vừa Học Vừa Chơi Với Trẻ" "21.750 đ" "25.000 đ"
https://www.fahasa.com/sach-chuyen-dong-thong-minh-da-ngu-viet-anh-phap-cac-mua-trong-nam-seasons-les-saisons-416687.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935212360524.jpg "

					Sách Chuyển Động Thông Minh Đa Ngữ Việt - Anh - Pháp: Các Mùa Trong Năm - Seasons - Les Saisons				" "" "(0 đánh giá)" "
Đinh Tị " "
				    Nathalie Choux				" "
				    Thanh Niên				" "
				    2022				" "
				    17 x 17 cm				" "
				    Bìa Mềm				" "
Xuất bản lần đầu tại Pháp với tên gọi Kididoc, bộ sách chuyển động thông minh đã nhanh chóng được phổ biến tại 22 quốc gia khắp thế giới và trở thành một trong những bộ sách bestseller dành cho trẻ trong độ tuổi 0-6.
Vì sao bộ sách tương tác dành cho trẻ 0-6 tuổi này lại có sức hấp dẫn độc giả nhí đến vậy?
Đúng như tên gọi lạ lẫm của mình, bộ sách chuyển động gồm những trang sách có thể tái hiện những chuyển động như hình ảnh quả trứng tách vỏ, cầu thủ đá bóng, chiếc máy xúc nâng lên, hạ xuống, cá voi phun nước hay hình em bé chơi đua ngựa,…
Mỗi trang sách có độ dày khoảng 0,4cm với 3 lớp giấy dày được sắp xếp theo khuôn chuyển động có độ chính xác cao. Chính bởi quá trình in ấn, gia công cực khó và đòi hỏi đầu tư rất lớn như vậy mà bộ Sách chuyển động thông minh đa ngữ Việt – Anh – Pháp do Dinhtibooks phát hành là bộ sách tương tác chuyển động đầu tiên xuất bản ở Việt Nam.
Bộ sách gồm 31 cuốn tương ứng với 31 chủ đề từ vựng: màu sắc, phương tiện giao thông, các loài vật, các món ăn của bé,… Các hình ảnh chuyển động của bộ sách không chỉ giúp bé ghi nhớ từ nhanh chóng, phát triển tư duy logic về vận động của các sự vật mà còn giúp bé luyện các hoạt động bằng tay khi tự mình điều khiển các khuôn hình. 
" "
				    12				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Vừa Học Vừa Chơi Với Trẻ" "107.100 đ" "119.000 đ"
https://www.fahasa.com/hop-hao-huc-giang-sinh-am-ap-0-3-tuoi.html https://cdn0.fahasa.com/media/catalog/product/3/3/3300000036182.jpg "

					Hộp Háo Hức Giáng Sinh Ấm Áp (0-3 Tuổi)				" "" "(0 đánh giá)" "null" "
				    Mầm Nhỏ				" "
				    Dân Trí				" "
				    2023				" "
				    30.5 x 24.5 x 6 cm				" "
				    Bộ Hộp				" "
Hộp Háo Hức Giáng Sinh Ấm Áp (0-3 Tuổi)
HỘP HÁO HỨC LÀ GÌ?
Hộp Háo Hức là một dự án giáo dục do bà mẹ 4 con - MC Minh Trang sáng lập, với mong muốn giúp các bố mẹ bận rộn tiết kiệm thời gian và chi phí với những chiếc hộp quà hình cầu vồng đầy HÁO HỨC, bên trong có những cuốn SÁCH siêu thú vị, được lựa chọn kỹ lưỡng để phù hợp với từng nhóm tuổi, cùng 1 set TRÒ CHƠI SÁNG TẠO, kích thích tư duy và gắn kết gia đình.
Giáng sinh năm nay, bố mẹ hãy tặng các bạn nhỏ những món quà thú vị, mang nhiều ý nghĩa giáo dục và nuôi dưỡng cho con sự háo hức nhé!
Toàn bộ những cuốn sách và trò chơi của Hộp Háo Hức được phát triển dựa trên việc nghiên cứu tâm lý, năng lực của từng lứa tuổi và thông qua vui chơi để giúp con rèn luyện đa dạng các kỹ năng, giải trí lành mạnh và thêm gắn kết gia đình. 
" "null" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Vừa Học Vừa Chơi Với Trẻ" "220.500 đ" "245.000 đ"
https://www.fahasa.com/tu-sach-giao-duc-som-600-de-vui-hoc-phat-trien-toan-dien-1.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935095627431_1.jpg "

					Tủ Sách Giáo Dục Sớm - 600 Đề Vui Học Phát Triển Toàn Diện - 1				" "" "(0 đánh giá)" "
Huy Hoang Bookstore " "
				    Woye Books				" "
				    NXB Phụ nữ				" "
				    2019				" "
				    22.5 x 21 x 0.3 cm				" "
				    Bìa Mềm				" "
Những con số vui nhộn trong phép tính hình như đang nóng lòng chờ bé giải rồi kìa. Làm cách nào để các bé nhận biết nguyên âm, phụ âm, câu dài, câu ngắn, cách viết một đoạn văn hay hoặc nhận biết về thế giới xung quanh nhỉ? Nhưng đừng lo nhé, 600 Đề vui học phát triển toàn diện không những giúp các bé vừa chơi vừa học một cách thú vị mà còn rất hiệu quả đấy. 
" "
				    84				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Vừa Học Vừa Chơi Với Trẻ" "49.500 đ" "55.000 đ"
https://www.fahasa.com/doi-xe-thong-minh-tieu-doi-muong-thu.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_9494.jpg "

					Đội Xe Thông Minh - Tiểu Đội Muông Thú				" "" "(0 đánh giá)" "
Huy Hoang Bookstore " "
				    Hương Bình, Hải Yến				" "
				    NXB Mỹ Thuật				" "
				    2018				" "
				    17 x 9 cm				" "
				    Bìa Mềm				" "
Đội xe thông minh gồm có 5 tiểu đội: Tiểu đội chữ cái; Tiểu đội vận tải; Tiểu đội trái cây; Tiểu đội chữ số và Tiểu đội muông thú. Bộ sách in trên chất liệu xốp, có hình ảnh minh họa (hình vẽ). Mỗi trang có phần Từ tiếng Việt – Từ tiếng Anh – Phiên âm tiếng Anh và một đoạn thơ về sự vật/ con vật/ đồ vật trong tranh.
Mỗi cuốn sách là một chiếc ô tô nhỏ có bánh đà giúp các bé vừa học vừa chơi; đặc biệt các bạn nhỏ lứa tuổi mầm non (0-6 tuổi) có thể học hỏi, nhận biết về các chữ cái, chữ số, các loại trái cây, muông thú, phương tiện giao thông; cách đọc, viết các sự vật/ đồ vật/ con vật đó bằng tiếng Việt, tiếng Anh. 
" "
				    12				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Vừa Học Vừa Chơi Với Trẻ" "76.500 đ" "85.000 đ"
https://www.fahasa.com/puzzle-book-funny-time-mau-1-tri-an-cac-luc-luong-tuyen-dau-chong-covid-19.html https://cdn0.fahasa.com/media/catalog/product/i/m/img_183sssssssssssss1_1.jpg "

					Puzzle Book Funny Time - Mẩu 1: Tri Ân Các Lực Lượng Tuyến Đầu Chống Covid-19				" "" "(0 đánh giá)" "null" "
				    Phan Thị Ngọc Minh				" "
				    NXB Hồng Đức				" "
				    2020				" "
				    18.5 x 15 x 1.7 cm				" "
				    Xếp Hình				" "
Puzzle Book Funny Time - Mẩu 1: Tri Ân
Sách xếp hình
Thành phần: Giấy in , giấy bìa
Thông số kỷ thuật: 150x185x20 mm ( 4 tranh + 4 puzzle)
HDSD: Ghép các mảnh thành bức tranh như ban đầu 
" "null" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Vừa Học Vừa Chơi Với Trẻ" "67.500 đ" "75.000 đ"
https://www.fahasa.com/lift-the-flap-lat-mo-kham-pha-be-ngoan-ngoan-thich-lam-viec-tot.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_240162.jpg "

					Lift-The-Flap - Lật Mở Khám Phá - Bé Ngoan Ngoãn, Thích Làm Việc Tốt				" "" "(0 đánh giá)" "
Đinh Tị " "
				    Amber Lily, Kasia Dudziuk				" "
				    NXB Thanh Niên				" "
				    2021				" "
				    17.6 x 17.6 cm				" "
				    Bìa Mềm				" "
Lift-the-flap - Lật mở khám phá - bộ sách sẽ mang đến cho bé :
* Nâng cao khả năng sáng tạo và tư duy logic, giúp bé tạo ra những “tác phẩm” độc đáo mang cá tính riêng.
* Rèn luyện khả năng ngôn ngữ linh hoạt, biết vận dụng ngôn ngữ thích hợp trong mỗi tình huống.
* Rèn luyện thói quen sinh hoạt nề nếp và khoa học.
Bộ sách gồm các chủ đề :
* Lift-the-flap - Lật mở khám phá- Bé giỏi giang, vệ sinh đúng cách
* Lift-the-flap - Lật mở khám phá-Bé ngăn nắp, đi ngủ đúng giờ
* Lift-the-flap - Lật mở khám phá- Bé ngoan ngoãn, thích làm việc 
" "
				    10				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Vừa Học Vừa Chơi Với Trẻ" "113.400 đ" "126.000 đ"
https://www.fahasa.com/bo-suu-tap-1000-de-can-lap-lanh-kids-playing-quyen-1-nhanh-tay-tinh-mat.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935236426879.jpg "

					Bộ Sưu Tập 1000 Đề Can Lấp Lánh Kids Playing - Quyển 1: Nhanh Tay Tinh Mắt				" "" "(0 đánh giá)" "
Nhà Sách Minh Thắng " "
				    Đức Thành				" "
				    Dân Trí				" "
				    2022				" "
				    25 x 25 cm				" "
				    Bìa Mềm				" "
Gồm 4 cuốn sách thú vị , mỗi cuốn chứa 250 sticker dành cho trẻ từ 2 đến 8 tuổi với nội dung hấp dẫn , hình ảnh minh họa sinh động và đáng yêu . Thông qua những trò chơi sáng tạo bộ sách giúp trẻ phát huy tối đa khả năng nhận thức , tưởng tượng , phán đoán và suy luận - những yếu tố quan trọng trong quá trình hình thành tri thông minh . Bên cạnh đó , hình ảnh gần gũi sẽ mang lại cho trẻ cái nhìn quen thuộc trong cuộc sông , để trẻ thỏa sức học tập và vui chơi , góp phần rèn luyện kỹ năng sống lành mạnh từ khi còn nhỏ . 
" "
				    32				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Vừa Học Vừa Chơi Với Trẻ" "61.200 đ" "68.000 đ"
https://www.fahasa.com/kich-thich-tri-tuong-tuong-cho-be-tac-ke-doi-mau-cau-o-dau.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935244883428.jpg "

					Kích Thích Trí Tưởng Tượng Cho Bé - Tắc Kè Đổi Màu, Cậu Ở Đâu?				" "" "(0 đánh giá)" "
Nhà Xuất Bản Kim Đồng " "
				    Nhiều Tác Giả				" "
				    Kim Đồng				" "
				    2023				" "
				    20.5 x 20.5 x 0.7 cm				" "
				    Bìa Mềm				" "
Chú tắc kè nghịch ngợm vô cùng, chú ta thích nhất trò chơi trốn tìm. Em có tìm thấy tắc kè không?
Nhà bác học Albert Einstein từng nói: “Trí tưởng tượng quan trọng hơn kiến thức. Kiến thức chỉ giới hạn ở những gì chúng ta đã biết, trong khi trí tưởng tượng bao trùm toàn bộ thế giới, gồm cả những gì ta sẽ biết.”
Bộ sách Kích Thích Trí Tưởng Tượng Cho Bé  gồm 6 cuốn sẽ đưa trí tưởng tượng của bé bước vào hành trình “biến hoá” muôn hình vạn trạng của Huơu Cao Cổ, Sư Tử, Cá Voi, Tắc Kè, Cừu, Gấu. Với phần minh hoạ tươi sáng, cách dẫn dắt vui nhộn, cuốn sách sẽ giúp bố mẹ và bé có những giờ đọc sách đáng nhớ bên nhau!
Mời các em tìm đọc trọn bộ:

Kích thích trí tưởng tượng cho bé: Tắc Kè đổi màu, cậu ở đâu?
Kích thích trí tưởng tượng cho bé: Cá Voi trông như thế nào?
Kích thích trí tưởng tượng cho bé: Bờm của Sư Tử
Kích thích trí tưởng tượng cho bé: Huơu Cao Cổ cao bằng chừng nào?
Kích thích trí tưởng tượng cho bé: Cừu Con chẳng giống ai

Kích thích trí tưởng tượng cho bé: Tấm chăn thần kì 
" "
				    20				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Vừa Học Vừa Chơi Với Trẻ" "19.800 đ" "22.000 đ"
https://www.fahasa.com/nhung-nha-tham-hiem-nho-phat-trien-ki-nang-cho-be-chuyen-dong-vui-ve.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935210306999.jpg "

					Phát Triển Kĩ Năng Cho Bé - Chuyển Động Vui Vẻ - Những Nhà Thám Hiểm Nhỏ				" "" "(0 đánh giá)" "
Tân Việt " "
				    Natalie Marshall				" "
				    Mỹ Thuật				" "
				    2023				" "
				    18 x 18 x 0.2 cm				" "
				    Bìa Mềm				" "
Phát Triển Kĩ Năng Cho Bé - Chuyển Động Vui Vẻ - Những Nhà Thám Hiểm Nhỏ
Những chuyển động vui nhộn và đơn giản trên từng trang sách, kèm theo một chiếc gương bóng loáng hứa hẹn sẽ mang đến những giây phút vui vẻ cho bé cũng như giúp các bé phát triển khả năng vận động tay chân và phối hợp các giác quan.
Bộ sách “Chuyển động vui vẻ” có những hình vẽ rực rỡ, sinh động và câu chuyện đơn giản cho bé tập làm quen với sách và bồi đắp tình yêu đọc sách từ những năm tháng đầu đời. 
Chắc chắn các bé sẽ bị thu hút và muốn chơi đi chơi lại cùng bộ sách vui nhộn này! 
" "
				    10				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Vừa Học Vừa Chơi Với Trẻ" "73.500 đ" "105.000 đ"
https://www.fahasa.com/tro-choi-ren-luyen-tu-duy-nang-cao-3-5-7-tuoi.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_188612.jpg "

					Trò Chơi Rèn Luyện Tư Duy Nâng Cao 3 (5 -7 Tuổi)				" "" "(0 đánh giá)" "
Cty Văn Hóa Văn Lang " "
				    Hà Thu Quang				" "
				    Hồng Đức				" "
				    2019				" "
				    28.5 x 21 x 0.4 cm				" "
				    Bìa Mềm				" "
Bộ sách đặc biệt được biên soạn dành riêng cho các bé ở độ tuổi từ 3–7, giúp bồi dưỡng TƯ DUY TOÁN HỌC, xây dựng và phát triển khả năng QUAN SÁT, PHÁN ĐOÁN, PHÂN TÍCH, KHÁI QUÁT, SUY LUẬN, TƯỞNG TƯỢNG, SÁNG TẠO, GHI NHỚ,… Các kiến thức toán học khô khan đã được biến thành các trò chơi sinh động và thú vị. Vừa chơi vừa học, các bé sẽ càng thêm hứng thú và say mê toán học.
Để con trở thành thần đồng toán học, các bậc cha mẹ nhớ đừng bỏ qua bộ sách này! 
" "
				    47				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Vừa Học Vừa Chơi Với Trẻ" "49.500 đ" "55.000 đ"
https://www.fahasa.com/ghep-hinh-doi-giay-hong-272526.html https://cdn0.fahasa.com/media/catalog/product/g/h/gh_p-h_nh---_i-gi_y-h_ng.jpg "

					Ghép Hình - Đôi Giày Hồng				" "" "(0 đánh giá)" "
Tân Việt " "
				    Mattel				" "
				    Mỹ Thuật				" "
				    2022				" "
				    35 x 24.7 x 0.3 cm				" "
				    Bìa Cứng				" "
Ghép hình không chỉ mang lại niềm vui cho bé mà còn gián tiếp tăng cường khả năng tư duy logic và rèn luyện tính kiên nhẫn.
Trò chơi ghép hình là phương pháp hữu ích để khuyến khích niềm say mê học tập của trẻ, từ đó các em được cung cấp những kỹ năng cần thiết: bình tĩnh xem xét vấn đề, kiên nhẫn khi giải quyết tình huống, phản ứng nhanh nhạy trước những sự việc phức tạp, hình thành tư duy logic. Đây là những kỹ năng cần thiết giúp trẻ vượt qua những khó khăn khi bắt đầu tiếp xúc với môi trường trường học.
Hơn thế nữa, ghép hình là một loại trò chơi phát triển trí tuệ, qua trò chơi này các em có thể rèn luyện khả năng phối hợp giữa tay và mắt, rèn luyện óc tưởng tượng và năng lực nhận biết. Về hình thức là rèn luyện kĩ năng và trí tuệ, nhưng thực tế cũng rèn luyện khả năng tính toán ước lượng. Thực tế cho thấy em nhỏ thích ghép hình có khả năng bình tĩnh nhìn nhận vấn đề, có lòng dũng cảm và sự tự tin đối mặt với khó khăn gặp phải.
Ghép hình là bộ công cụ dạy học và trò chơi nhằm giáo dục vỡ lòng cho trẻ em. Không chỉ bao hàm thế giới của trò chơi, thế giới của tưởng tượng mà còn là một thế giới của học tập và tìm hiểu tri thức. Được thiết kế đẹp và làm từ nguyên liệu tốt, bộ trò chơi ghép hình phát triển trí tuệ sẽ giúp trẻ vừa chơi vừa học và phát triển nhận thức. 
" "null" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Vừa Học Vừa Chơi Với Trẻ" "15.400 đ" "22.000 đ"
https://www.fahasa.com/cham-va-truot-cung-to-xay-nha-nhe.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_226399.jpg "

					Chạm Và Trượt - Cùng Tớ Xây Nhà Nhé!				" "" "(0 đánh giá)" "
Đinh Tị " "
				    Patricia Hegarty, Thomas Elliott				" "
				    NXB Hà Nội				" "
				    2021				" "
				    18 x 18 cm				" "
				    Bìa Mềm				" "
Kỹ năng vận động tinh là một trong những kỹ năng quan trọng giúp bé hoạt động một cách khéo léo, linh hoạt. Bé hãy rèn luyện kỹ năng này bằng cách mở cuốn sách ra và dùng các đầu ngón tay di theo chiều mũi tên của các hình dạng cùng ký hiệu có trong mỗi trang sách nhé! Có rất nhiều điều thú vị đang chờ bé khám phá đấy! 
" "
				    14				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Vừa Học Vừa Chơi Với Trẻ" "124.200 đ" "138.000 đ"
https://www.fahasa.com/tro-choi-phat-trien-tu-duy-ban-do-bi-an.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_244718_1_5188.jpg "

					Trò Chơi Phát Triển Tư Duy - Bản Đồ Bí Ẩn				" "" "(0 đánh giá)" "null" "
				    Eddie Reynolds, Darran Stobbart và Jordan Akpojaro				" "
				    NXB Phụ Nữ Việt Nam				" "
				    2021				" "
				    26.5 x 21 cm				" "
				    Bìa Mềm				" "
Cuốn sách trò chơi đầy ắp các bản đồ màu sắc với nhiều hoạt động hấp dẫn. Các bạn nhỏ không chỉ tìm thấy vô vàn điều thú vị khi khám phá thế giới diệu kỳ trong những tấm bản đồ đầy bí ẩn này, mà còn học hỏi thêm nhiều kiến thức, phát triển tư duy, rèn luyện sự tập trung, tỉ mỉ và tính kiên nhẫn. 
" "
				    82				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Vừa Học Vừa Chơi Với Trẻ" "98.000 đ" "0"
https://www.fahasa.com/150-mieng-dan-hinh-thong-minh-trai-cay-rau-cu-tai-ban.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935236427654.jpg "

					150 Miếng Dán Hình Thông Minh - Trái Cây, Rau Củ (Tái Bản)				" "" "(0 đánh giá)" "
Nhà Sách Minh Thắng " "
				    Phan Minh Đạo				" "
				    Dân Trí				" "
				    2022				" "
				    28.5 x 20.5 cm				" "
				    Bìa Mềm				" "
Đây là một bộ sách bóc dán tranh vô cùng thú vị và bổ ích. Bộ sách này miêu tả cuộc sống thường nhật một cách vô cùng thú vị thông qua các hình dán. Từ việc nhận biết được hình dán phù hợp, những hiểu biết về cuộc sống của trẻ sẽ dần
