Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/to-mau-the-gioi-khung-long-tap-2-430680.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935210307194.jpg "

					Tô Màu Thế Giới Khủng Long - Tập 2				" "" "(0 đánh giá)" "
Tân Việt " "
				    Nhiều Tác Giả				" "
				    Mỹ Thuật				" "
				    2023				" "
				    28 x 20.5 x 0.2 cm				" "
				    Bìa Mềm				" "
Tô Màu Thế Giới Khủng Long - Tập 2
​Bộ tô màu với rất nhiều hình ảnh thú vị đang chờ đón các bạn nhỏ.
Với quyển sách này, các bé sẽ được trổ tài nghệ thuật của mình thông qua đó sẽ giúp các bé được giải trí và còn để các em rèn luyện khả năng nhận diện màu sắc của mình nữa.
Các cuốn sách trong cùng một bộ:
- Tô Màu Thế Giới Khủng Long - Tập 1
- Tô Màu Thế Giới Khủng Long - Tập 2
- Tô Màu Phương Tiện Giao Thông - Tập 1
- Tô Màu Phương Tiện Giao Thông - Tập 2
Cùng với màu sắc đa dạng, hình ảnh sinh động sắc nét, bộ sách sẽ gợi cho bé sự thích thú, trí tò mò muốn khám phá và sáng tạo dưới ngòi bút tô màu trong bàn tay nhỏ bé, xinh xắn của các bé. Để từ đó những khung hình sắc nét được tạo dựng thông qua bức tranh hoàn thành của các bạn nhỏ.
Cùng Tô Màu Và Tìm Hiểu Thế Giới Khủng Long Nhé 
" "
				    24				" "Sách tiếng Việt" "Thiếu nhi" "Tô màu, luyện chữ" "null" "17.500 đ" "25.000 đ"
https://www.fahasa.com/tap-5-to-mau-theo-so.html https://cdn0.fahasa.com/media/catalog/product/8/9/8936146302604_7.jpg "

					Color By Number - Tô Màu Theo Số -Tập 5				" "" "(0 đánh giá)" "null" "
				    KhoiBook				" "
				    Văn Học				" "
				    2022				" "
				    23 x 22 x 0.2 cm				" "
				    Bìa Mềm				" "
Color By Number - Tô Màu Theo Số
Chủ đề hấp dẫn, thú vị.
Phát triển khả năng nhận thức, tư duy và sáng tạo. 
" "
				    19				" "Sách tiếng Việt" "Thiếu nhi" "Tô màu, luyện chữ" "null" "19.800 đ" "22.000 đ"
https://www.fahasa.com/be-to-mau-ke-hoach-nghi-he.html https://cdn0.fahasa.com/media/catalog/product/8/9/8931805364498.jpg "

					Bé Tô Màu - Kế Hoạch Nghỉ Hè				" "" "(0 đánh giá)" "
Cty TNHH TM&DV VH GD Phía Nam " "
				    Quang Minh				" "
				    Đồng Nai				" "
				    2023				" "
				    27 x 19 x 0.3 cm				" "
				    Bìa Mềm				" "
Bé Tô Màu - Kế Hoạch Nghỉ Hè
