Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/ehon-nhat-ban-tho-don-ussa-bay-len-troi-danh-cho-tre-tu-3-tuoi-tro-len.html https://cdn0.fahasa.com/media/catalog/product/9/7/9786042274517.jpg "

					Ehon Nhật Bản - Thỏ Don Ussa Bay Lên Trời (Dành Cho Trẻ Từ 3 Tuổi Trở Lên)				" "" "(0 đánh giá)" "
				    Cty TNHH More Production Vietnam				" "
				    Q-rais				" "
				    Kim Đồng				" "
				    2022				" "
				    26.5 x 19.5 cm				" "
				    Bìa Mềm				" "
Tiếp tục một câu chuyên thú vị khác về chú Thỏ Don Ussa. Lần này chú Thỏ sẽ làm gì đây nhỉ?
Tóm tắt
Chú Thỏ Don Ussa đang dẫn bộ ba thỏ giúp việc thong dong đi dạo. Đột nhiên, Don Ussa dừng lại, nhìn đăm đăm vào đám hải âu trên trời và nói ”Ta cũng muốn được bay lượn tự do trên bầu trời rộng lớn giống như những chú hải âu kia”. Và thế là bộ ba thỏ giúp việc liền quyết tâm giúp ước muốn của ông chủ thành hiện thực… 
" "
				    40				" "Sách tiếng Việt" "Thiếu nhi" "Truyện Thiếu Nhi" "Truyện Tranh Ehon Nhật..." "38.350 đ" "59.000 đ"
https://www.fahasa.com/ehon-cuon-sach-tranh-dau-tien-ve-thoi-tiet.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_240053.jpg "

					Ehon Nhật Bản - Cuốn Sách Tranh Đầu Tiên Về Thời Tiết (Từ 5 - 10 Tuổi)				" "" "(0 đánh giá)" "
Quang Van Books " "
				    Tezuka Akemi, Murata Hiroko				" "
				    NXB Phụ Nữ Việt Nam				" "
				    2021				" "
				    27.7 x 20.5 cm				" "
				    Bìa Mềm				" "
Bộ sách tranh Khoa học đầu tiên của bé được Ehomebooks phát hành gồm 11 cuốn với các chủ đề về Toán học, Khoa học vũ trụ, Khoa học cơ thể người, Khoa học về văn hóa xã hội…Bộ ba Cuốn sách tranh đầu tiên về Vũ trụ, Con số và Thời tiết là ba cuốn đầu tiên nằm trong series này.
Bằng cách thức tiếp cận vô cùng thân thiện từ những thắc mắc giản đơn của trẻ nhỏ, với hình ảnh được vẽ tay hoàn toàn Bộ sách tranh Khoa học đầu tiên của bé chắc chắn sẽ khiến các em nhỏ vô cùng thích thú. Điều đặc biệt, mỗi cuốn sách thuộc mỗi chủ đề đều được hiệu đính bởi các cố vấn là các chuyên gia hàng đầu của từng lĩnh vực tại Nhật Bản giúp trẻ có những kiến thức chuẩn xác nhất.
Ehomebooks hi vọng rằng Bộ sách tranh Khoa học đầu tiên của bé sẽ đặt nền móng cho những ước mơ khám phá thế giới khoa học của mỗi bạn nhỏ.
Cuốn sách tranh đầu tiên về thời tiết – Hãy ngắm nhìn bầu trời nhé!
Các bạn nhỏ có bao giờ ngắm nhìn bầu trời và tự hỏi Mây là gì? Vì sao lại có mây đen và mây trắng? Vì sao khi bầu trời thay đổi ta lại biết được sự biến đổi của thời tiết? Cuốn sách tranh đầu tiên về thời tiết sẽ giúp các bạn nhỏ có những câu trời lời đầy đủ, chính xác, khoa học với rất nhiều điều bất ngờ, bổ ích. Qua cuốn sách này độc giả nhí cũng sẽ biết được cách “xem dự báo thời tiết” nhờ vào các hiện tượng tự nhiên, cách giải thích vì sao Trái Đất nóng lên, và đặc biệt các con sẽ biết được cách để bảo vệ thiên nhiên – môi trường sống của chúng ta trên trái đất. 
" "
				    52				" "Sách tiếng Việt" "Thiếu nhi" "Truyện Thiếu Nhi" "Truyện Tranh Ehon Nhật..." "99.000 đ" "0"
https://www.fahasa.com/ehon-nhan-biet-cai-gi-the-nhi-den-truong-cung-cac-ban.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_197575.jpg "

