Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/duong-nguoc-chieu-tu-ban-nguoi-dao-den-hoc-bong-erasmus.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_30721.jpg "

					Đường Ngược Chiều - Từ Bản Người Dao Đến Học Bổng Erasmus				" "4.9" "(18 đánh giá)" "
Alpha Books " "
				    Chảo Yến				" "
				    NXB Thế Giới				" "
				    2020				" "
				    20.5 x 13 x 1.3 cm				" "
				    Bìa Mềm				" "
Cuốn sách là tự truyện của một cô gái người Dao đã giành được học bổng ngành Quản lý tài nguyên rừng bền vững trị giá hơn 50.000 USD của Đại học Göttingen (Đức).
Tốt nghiệp lớp 9, cũng như bao gia đình miền núi khác, bố mẹ bắt Yến nghỉ học làm rẫy, chuẩn bị gả chồng. Suốt 3 năm trời ở nhà gần như không ngày nào Yến không nhắc đến việc đi học, cuối cùng mẹ Yến thương con gái nên gật đầu đồng ý. Học xong cấp 3, Yến thi vào trường Đại học
Lâm Nghiệp, vừa học vừa làm. Sau mọi nỗ lực phấn đấu và khát khao học tập, cô gái đã nhận được phần thưởng xứng đáng về mình.
Trích đoạn:
Thầy Thanh hỏi tôi: “Yến không đi học gì à?”. 
Tôi thưa: “Dạ không thầy, bố mẹ không cho em đi học”. 
Thầy lại nói tiếp: “Cứ mãi không đi học bao giờ mới thoát nghèo em? Bố mẹ cả đời vất vả rồi, em không đi học sau lại vất vả như bố mẹ”. 
Tôi giả vờ quay mặt đi để gạt nước mắt, tôi là đứa hay khóc, nhưng tôi tự thấy tôi kiên cường. 
Thầy Thanh lại hỏi: “Thế bây giờ em còn muốn đi học nữa không?”. 
Câu hỏi của thầy chạm vào đúng vết thương lâu năm đang chờ ngày bưng mủ. Tôi như ngậm nguyên một ngụm nước mắt trong miệng, ngập ngừng một lúc lâu, gắng kìm cảm xúc xuống, tôi mới dám trả lời thầy: “Dạ em có ạ, nhưng nhà em nghèo, bố mẹ không nuôi được em đi học nên thôi thầy ạ”. 
Thầy im lặng một lúc lâu rồi an ủi: “Ừ, thế cố gắng em nhé!”. 
" "
				    280				" "Sách tiếng Việt" "Tiểu Sử Hồi Ký" "Câu Chuyện Cuộc Đời" "null" "94.170 đ" "129.000 đ"
https://www.fahasa.com/nhung-loi-hua-phai-giu-cuoc-doi-va-su-nghiep-chinh-tri-cua-toi.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935235234888_1.jpg "

					Những Lời Hứa Phải Giữ - Cuộc Đời Và Sự Nghiệp Chính Trị Của Tôi				" "" "(0 đánh giá)" "
Nhã Nam " "
				    Joe Biden				" "
				    Thế Giới				" "
				    2022				" "
				    24 x 15.5 cm				" "
				    Bìa Mềm				" "
