Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/the-manager-514968.html https://cdn0.fahasa.com/media/catalog/product/9/7/9786045563182.jpg "

					The Manager				" "" "(0 đánh giá)" "
				    Công Ty Cổ Phần Đầu Tư và Phát Triển TTV Việt Nam				" "
				    Mike Carson				" "
				    Hà Nội				" "
				    2024				" "
				    24 x 16 x 1.4 cm				" "
				    Bìa Mềm				" "
The Manager
Trong cuốn sách này, bạn sẽ thấy những bài học từ quá khứ, nghe những câu chuyện hậu trường về công việc quản lý đầy màu sắc của Arsene Wenger và Sir AlexFerguson, những người đã cống hiến trọn vẹn tuổi thanh xuân cho Premier League. Ngoài ra, với tư cách là những huấn luyện viên ngoại có nhiều trải nghiệm ở giải đấu hàng đầu nước Anh, Carlo Ancelotti và JoseMourinho cũng sẽ bật mí về cách quản lý con người và cách “đắc nhân tâm” với những ngôi sao lớn. Tất cả sẽ giúp chúng ta hiểu hơn về thế giới của những nhà quản lý hàng đầu, những người đã tồn tại nhờ lòng đam mê và sự tận tụy với công việc. 
" "
				    288				" "Sách tiếng Việt" "Tiểu Sử Hồi Ký" "Thể Thao" "null" "179.100 đ" "199.000 đ"
https://www.fahasa.com/andres-iniesta-the-artist-khi-bong-da-la-nghe-thuat.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_180272.jpg "

					Andrés Iniesta The Artist - Khi Bóng Đá Là Nghệ Thuật				" "4.7" "(3 đánh giá)" "null" "
				    Peter Jenson, Sid Love				" "
				    NXB Hà Nội				" "
				    2018				" "
				    16 x 24				" "
				    Bìa Mềm				" "
Có một điều khá hoang đường trong thời đại truyền thông như bây giờ, đó là sự tồn tại của những cầu thủ không có antifan. Vậy mà Andrés Iniesta lại là một người nằm trong cõi hoang đường đó. Chàng trai ấy sở hữu tài năng xuất chúng, nhân cách hiền hậu, những phát ngôn chuẩn mực, và đặc biệt là những bàn thắng tuy không nhiều nhưng bùng nổ đất trời. Thế rồi, ta rời khỏi những dòng tìm kiếm trên Google, rời khỏi thảm cỏ xanh mướt, và thời khắc ta lật cuốn sách “Andrés Iniesta - Khi bóng đá là nghệ thuật”, thì điều đập vào mắt ta là một thế giới khác: thế giới nội tâm đầy những hỷ nộ ái ố, cắn rứt, đau khổ của con người ngỡ rằng có tất cả ấy. Đó là một thế giới nghệ thuật mang tên Andrés Iniesta mà như anh bảo “Tôi dành cho bạn những gì bạn chưa biết…”
(Dũng Phan) 
" "
				    388				" "Sách tiếng Việt" "Tiểu Sử Hồi Ký" "Thể Thao" "null" "143.100 đ" "159.000 đ"
