Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/tu-dien-triet-hoc-habermas.html https://cdn0.fahasa.com/media/catalog/product/t/u/tu-dien-triet-hoc-habermas15374246235ba33cef7b3d7.x.b.jpg "

					Từ Điển Triết Học Habermas				" "" "(0 đánh giá)" "
Viện Quản lý PACE " "
				    Andrew Edgar				" "
				    NXB Khoa học xã hội				" "
				    2018				" "
				    16 x 24 x 1				" "
				    Bìa Mềm				" "
Từ Điển Triết Học Habermas
Jürgen Habermas (1929-) là một trong những nhà tư tưởng ảnh hưởng nhất của thời đại chúng ta, người bảo vệ mang tư tưởng độc lập cho “dự án tính hiện đại” ở thời kỳ được cho là hậu hiện đại. “Habermas: The Key Concepts” là cuốn sách hướng dẫn từ A đến Z tiện dụng để đi vào nhiều công trình từ triết học, xã hội học, chính trị học, pháp luật đến lý thuyết văn hóa của ông. 
Cuốn sách khảo sát các trước tác của Habermas về:
Chủ nghĩa tư bản
Di truyền học
Pháp luật
Thuyết tân bảo thủ
Thuyết dụng hành phổ quát.
Với những tham khảo chéo đầy đủ cùng những gợi ý đọc thêm rất rộng, đây là cuốn sách tham khảo thiết yếu để tiếp cận một trong những lý thuyết gia xã hội học quan trọng nhất đương đại.
Tác giả Andrew Edgar là giảng viên cao cấp về triết học ở Đại học Cardiff. Ông là tác giả của Triết học Habermas/The Philosophy of Habermas (Acumen, 2005) và Lý thuyết văn hóa: Những khái niệm then chốt/Cultural Theory: The Key Concepts (đồng tác giả với Peter Sedgwick, Routledge, 1999). 
" "
				    236				" "Sách tiếng Việt" "Từ điển" "Từ điển chuyên ngành" "null" "87.750 đ" "135.000 đ"
https://www.fahasa.com/nguyen-trai-quoc-am-tu-dien.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_180044.jpg "

					Nguyễn Trãi Quốc Âm Từ Điển				" "" "(0 đánh giá)" "
CÔNG TY TNHH SÁCH & TRUYỀN THÔNG VIỆT NAM " "
				    Trần Trọng Dương				" "
				    NXB Văn Học				" "
				    2018				" "
				    16 x 24				" "
				    Bìa Mềm				" "
Đại thi hào dân tộc Nguyễn Trãi (1380-1442), nhà tư tưởng, nhà chính trị lỗi lạc, danh nhân văn hóa thế giới. Người mở đường cho sự điêu luyện trác tuyệt của nghệ thuật ngôn từ thơ ca Việt Nam, ông đã kết hợp một cách nhuần nhuyễn giữa tư tưởng uyên áo của triết học phương Đông và lời ăn tiếng nói, tục ngữ phong đao của tiếng mẹ đẻ. Quốc âm thi tập là tập thơ Nôm được ông viết vào đầu thế kỷ thứ XV, là tập thơ Nôm cổ nhất, có giá trị nhất và có bản sắc dân tộc nhất. Tập thơ gồm 250 bài thơ thuần Việt đã trải qua bao thăng trầm lịch sử mà vẫn được sự trong sáng, khúc chiết, thâm trầm mà tha thiết chính là mốc son chói lọi đánh dấu sự phát triển vượt bậ của tiếng Việt nói riêng cũng như nền văn hiến Việt Nam nói chung.
Để có thể thấu hiểu được toàn bộ những tinh hoa ngôn ngữ cũng như thẩm thấu được những cách dùng từ ngữ điêu luyện của Nguyễn Trãi. Công ty Sách và Truyền thông Việt Nam (Tri thức Trẻ Books) xin trân trọng giới thiệu tới các độc giả yêu quý cuốn Nguyễn Trãi Quốc âm từ điển – cuốn sách sưu tập toàn bộ các từ ngữ, thành ngữ, điển cố... được Nguyễn Trãi sử dụng.  Cuốn sách chính là thành quả  nghiên cứu lâu dài và tỉ mẩn của Tiến sĩ Ngữ văn Trần Trọng Dương – tác giả của các công trình lớn như: Tư tưởng nhân bản Nho học Tiên Tần (2005); Kiến trúc một cột thời Lý (20013)...
Đối với những người yêu tiếng Việt, đây chính là lựa chọn hàng đầu để độc giả có thể tìm thấy những từ ngữ cổ kính như phản hồi lại những quá khứ xa xăm mà ta không thể nào tìm lại được. Khi mở bất kỳ một trang sách nào, bạn chắc chắn sẽ bị đắm chìm vào thế giới ngôn từ biến đổi một cách kỳ diệu mà huyền ảo. 
" "
				    576				" "Sách tiếng Việt" "Từ điển" "Từ điển chuyên ngành" "null" "179.100 đ" "199.000 đ"
https://www.fahasa.com/tu-dien-thien-tong-tan-bien-tap-1.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_187372.jpg "

					Từ Điển Thiền Tông Tân Biên - Tập 1				" "" "(0 đánh giá)" "null" "
				    Hân Mẫn - Thông Thiền				" "
				    NXB Hồng Đức				" "
				    2019				" "
				    14.5 x 20.5				" "
				    Bìa Cứng				" "
Thiền tông – căn cứ vào lịch sử hình thành và phát triển, với rất nhiều truyền thuyêt sinh động và thiền ngữ kỳ dị tuyệt vời, cộng với sự ảnh hưởng dài lâu sâu sắc đến nền văn hóa Đông phương , cùng sự xâm nhập không ngừng của nó vào nền văn hóa Tây phương hiện nay, đã tạo thành thế giới Thiền sâu xa và rộng mở.
Trong thế giới thiền ấy, có lúc như hoa đỏ liễu xanh (hoa hồng liễu lục), mắt ngang mũi dọc (Tỵ thụ nhãn hoành) rất phổ thông, rất bình thường, đôi khi như giọt tuyết trên lò lửa (Hồng lô thượng nhất điểm tuyết) thật đắc biệt, thật lạ lùng khiến mọi người vừa sợ vừa ngờ. Thiền quả là cao xa khó nắm bắt, nhưng lại gần gũi giản dị, vừa bình thường thực tế vừa siêu hình thần bí, không thể nghĩ bàn, đầy ấp những câu đố khó hiểu. Song càng khó hiểu càng  gợi cho người đọc, người nghe bao niềm say mê, bao nỗi thắc mắc…
Quyển sách này được hình thành trên nền tảng  Thiền Tông Đại Từ Điển do nhóm Viên Tân thực hiện, NXB Sùng Văn xuất bản năm 2010. Sở dĩ mang tên Từ điển Thiền Tông – Tân Biên vì nội dung của nó được chung tôi soạn dịch bao gồm các mục từ tác phẩm, thuật ngữ, nhất là về phần địa danh, phụ lục không chỉ của Trung hoa mà còn của Ấn Độ, Việt Nam, Nhật Bản, Cao Ly được chỉnh sửa, bổ sung hình ảnh minh họa hết sức phong phú.
Do tính đặc biệt của thuật ngữ Thiền tong trong các tác phẩm chữ Hán về Thiền học, một thuật ngữ thiền đôi khi có đến hai nghĩa trái ngược nhau tùy ngữ cảnh, và khi tra cứu trong các từ điển Hán Việt thông thường thì không có.Cũng nhằm đáp ứng nhu cầu tìm học, phiên dịch các văn bản thiền tứ Hán ngữ sang Việt ngữ của khá nhiều người nên sách này ra đời.
Nay việc phiên dịch bổ sung và hiệu đính đã hoàn tất, chúng tôi xin trân trọng giới thiệu quyển sách này đến quý độc giả gần xa. Nhân đây, chúng tôi xin chân thành cảm ơn Thượng tọa Kiến Nguyệt, Đại đức Chơn Không Khai Chánh, Ni Sư Hạnh Huệ , Sư cô Đinh Quang, Tiến sĩ Đỗ Quốc Bảo, quý Phật tử Khai Thành, Tín Thiện, Vũ Hương và Diệu Phụng đã hết long giúp đỡ để hoàn thành tập sách , đồng thời cũng vô cùng tri ơn các tác giả có sách trong thư mục tham khảo. Bởi điều kiện biên dịch và khả năng của dịch giả còn có hạn, từ điển Thiền Tông – Tân Biên khó tránh khỏi những sơ suất. Với long biết ơn sâu sắc, chúng tôi mong muốn quý độc giả cao minh chỉ giáo để sách này trong lần tái bản sau được hoàng chỉnh hơn. 
" "
				    959				" "Sách tiếng Việt" "Từ điển" "Từ điển chuyên ngành" "null" "281.400 đ" "420.000 đ"
https://www.fahasa.com/tu-dien-y-hoc-anh-viet-256615.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_4555.jpg "

					Từ Điển Y Học (Anh-Việt)				" "" "(0 đánh giá)" "null" "
				    Bác sĩ Phạm Ngọc Trí				" "
				    NXB Thanh Niên				" "
				    2019				" "
				    16 x 24				" "
				    Bìa Mềm				" "
Từ Điển Y Học (Anh-Việt)
Cuốn sách này sẽ là công cụ hỗ trợ đắc lực cho các bác sĩ, cán bộ y tế, sinh viên y khoa và rộng rãi bạn đọc quan tâm đến y học và sức khỏe trong việc tra cứu tài liệu y văn bằng tiếng Anh.
Chúng tôi cho biên soạn Từ Điển Y Học Anh – Việt hầu kịp thời phục vụ các bạn dựa trên những từ điển uy tín và khoa học của nhiều nước với trọng tâm giải thích rõ ràng từng mục, từng từ ngữ để các bạn nắm vững ý nghĩa những từ cần phải tra cứu và luôn luôn bảo đảm ý nghĩa nội dung của từ gốc.
Phong phú – Khoa học – Dễ hiểu là ba phương châm hàng đầu trong quá trình biên soạn quyển từ điển này. Chúng tôi hy vọng đáp ứng được phần nào nhu cầu to lớn và chính đáng của các bạn. 
" "null" "Sách tiếng Việt" "Từ điển" "Từ điển chuyên ngành" "null" "198.000 đ" "220.000 đ"
https://www.fahasa.com/tu-dien-co-khi-va-may-xay-dung-anh-viet.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_49001.jpg "

					Từ Điển Cơ Khí Và Máy Xây Dựng Anh - Việt				" "" "(0 đánh giá)" "null" "
				    Cung Kim Tuyến				" "
				    NXB Thanh Niên				" "
				    2019				" "
				    18 x 10 x 5.5 cm				" "
				    Bìa Mềm				" "
TỪ ĐIỂN CƠ KHÍ VÀ MÁY XÂY DỰNG
ANH - VIỆT
ENGLISH - VIETNAMESE
MECHANICAL AND CONSTRUCTION MACHINE DICTIONARY
Cuốn từ điển cơ khí và máy xây dựng Anh - Việt gồm khoảng 28000 thuật ngữ thuộc các lĩnh vực liên quan đến chi tiết máy, nguyên lý cắt gọt, máy công cụ, cơ khí chế tạo, cơ khí động lực, máy dùng cho thi công công trì
Trong quá trình biên soạn, tác giả cố gắng chọn những từ tiếng Việt và nghĩa tương đương của tiếng Anh phù hợp nhất, làm cho các thuật ngữ, khái niệm chính xác, ngắn gọn và có hệ thống.
Các đơn vị mục từ được sắp xếp theo thứ tự chữ cái tiếng Anh. Tuy nhiên, do một khái niệm trong tiếng Anh có thể chuyển dịch thành nhiều khái niệm tương đương trong tiếng Việt, nên tác giả trình bày tất cả những khái niệm đó bằng tiếng Việt và ngược lại để bạn đọc lựa chọn sử dụng trong từng trường hợp cụ thể.
Tuy tác giả đã hết sức cố gắng, nhưng do gặp nhiều khó khăn trong việc chuẩn hóa tiếng Việt trong các ngành cơ khí và máy xây dựng, hơn nữa khoa học công nghệ của nước ta còn non trẻ và đang trên đường phát triển, nên cuốn từ điển này không thể tránh khỏi những sai sót nhất định, tác giả mong nhận được ý kiến nhận xét của bạn đọc để lần xuất bản sau tốt hơn. 
" "
				    1295				" "Sách tiếng Việt" "Từ điển" "Từ điển chuyên ngành" "null" "125.100 đ" "139.000 đ"
https://www.fahasa.com/tu-dien-co-khi-va-cong-trinh-anh-viet.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_49525.jpg "

					Từ Điển Cơ Khí Và Công Trình Anh - Việt				" "" "(0 đánh giá)" "null" "
				    Cung Kim Tiến				" "
				    NXB Thanh Niên				" "
				    2019				" "
				    18 x 10 x 4.5 cm				" "
				    Bìa Mềm				" "
Cuốn từ điển Anh-Việt cơ khí và công trình gồm khoảng 40.000 thuật ngữ thuộc các lĩnh vực cơ khí, máy, công trình giao thông, vận tải, thuỷ lợi, xây dự
Trong quá trình biên soạn tác giả cố gắng chọn những từ tiếng Việt và nghĩa tương đương của tiếng Anh phù hợp nhất, làm cho các thuật ngữ, khỏi niệm chính xác, ngắn gọn và có hệ thống.
Các đơn vị mục từ được sắp xếp theo thứ tự chữ cái tiếng Anh và tiếng Việt. Tuy nhiên, do một số khái niệm trong tiếng Anh có thể chuyển dịch thành nhiều khái niệm tương đương trong tiếng Việt, nên tác giả trình bày tất cả những khái niệm đó bằng tiếng Việt và ngược lại để bạn đọc lựa chọn sử dụng trong từng trường hợp cụ thể.
Tuy tác giả đã hết sức cố gắng, nhưng do gặp nhiều khó khăn trong việc chuẩn hóa tiếng Việt trong các ngành kỹ thuật và công trình, hơn nữa khoa học công nghệ của nước ta cũng non trẻ và đang trên đường phát triển, nên cuốn Từ điển này không thể tránh khỏi những sai sót nhất định, tác giả mong nhận được các ý kiến nhận xét, đánh giá của bạn đọc để lần xuất bản sau tốt hơn.
Xin trân trọng cảm ơn! 
" "
				    1151				" "Sách tiếng Việt" "Từ điển" "Từ điển chuyên ngành" "null" "125.100 đ" "139.000 đ"
https://www.fahasa.com/tu-dien-bang-hinh-nganh-co-khi-dien-may-va-vat-lieu-cong-trinh.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_225191.jpg "

					Từ Điển Bằng Hình Ngành Cơ Khí, Điện Máy Và Vật Liệu Công Trình				" "" "(0 đánh giá)" "null" "
				    PONS				" "
				    NXB Tổng Hợp TPHCM				" "
				    2021				" "
				    16.6 x 13.8 x 1.9				" "
				    Bìa Mềm				" "
Từ điển tuyển chọn những từ vựng quan trọng nhất trong lĩnh vực cơ khí, điện máy và vật liệu công trình đáp ứng nhu cầu tra cứu và học tập.
Thuận tiện: Từ điển trình bày bằng ba ngôn ngữ: Anh-Việt-Đức
Dễ hiểu: Thuật ngữ được phân loại theo chủ đề kèm theo các sơ đồ chi tiết giúp làm rõ các kiến thức liên quan.
Dễ tìm: Phần chỉ mục được sắp xếp theo thứ tự alphabet giúp bạn tra cứu nhanh chóng các thuật ngữ cần tìm. 
" "
				    360				" "Sách tiếng Việt" "Từ điển" "Từ điển chuyên ngành" "null" "279.680 đ" "368.000 đ"
https://www.fahasa.com/6000-tu-vung-chuyen-nganh-du-lich-khach-san-nha-hang-anh-viet-han.html https://cdn0.fahasa.com/media/catalog/product/9/7/9786045886045.jpg "

					6000 Từ Vựng Chuyên Ngành Du Lịch-Khách Sạn-Nhà Hàng (Anh-Việt-Hàn)				" "" "(0 đánh giá)" "
				    NXB Tổng Hợp TPHCM				" "
				    ThS Lê Huy Khoa, ThS Võ Thụy Nhật Minh				" "
				    Tổng Hợp Thành Phố Hồ Chí Minh				" "
				    2023				" "
				    21 x 14 x 2.5 cm				" "
				    Bìa Mềm				" "
6000 Từ Vựng Chuyên Ngành Du Lịch-Khách Sạn-Nhà Hàng (Anh-Việt-Hàn)
Sau một thời gian biên soạn, quyển 6000 từ vựng chuyên ngành Du lịch - Khách sạn - Nhà hàng Anh - Việt - Hàn đã hoàn thành và ra mắt độc giả. Có thể nói đây là quyển sách tam ngữ Anh - Việt - Hàn đầu tiên về lĩnh vực Du lịch - Khách sạn - Nhà hàng ở Việt Nam, được sưu tầm và giải thích khá đầy đủ hiện nay. Sách gồm hai phần: Phần 1 trình bày tra cứu theo tiếng Anh - Việt - Hàn. Phần 2 trình bày theo tiếng Việt - Anh - Hàn, được sắp xếp theo thứ tự abc để bạn đọc dễ tham khảo. 
" "
				    512				" "Sách tiếng Việt" "Từ điển" "Từ điển chuyên ngành" "null" "180.000 đ" "200.000 đ"
