Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/tu-dien-van-hoa-co-truyen-viet-nam.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935244888249.jpg "

					Từ Điển Văn Hóa Cổ Truyền Việt Nam				" "" "(0 đánh giá)" "
Nhà Xuất Bản Kim Đồng " "
				    Hữu Ngọc				" "
				    Kim Đồng				" "
				    2023				" "
				    22.5 x 14 x 4 cm				" "
				    Bìa Mềm				" "
Từ Điển Văn Hóa Cổ Truyền Việt Nam
Một cuốn từ điển để “dạo chơi trong tác phẩm, lang thang từ mục từ này sang mục từ khác, lần giở vài trang rồi lộn lại, nhảy vọt từ trò chơi dân gian sang văn chương bác học, từ nghi lễ đạo giáo sang phẩm phục, từ đền chùa sang ma quỷ, từ đàn nguyệt sang cây thuốc… Mà có lẽ cũng nên lạc đường quên lối, nhờ cuốn sách này, trong khu rừng bao la của văn hóa Việt Nam.”
(PHILIPPE PAPIN, Viện Viễn Đông Bác cổ)
“…Cuốn Từ điển văn hóa cổ truyền Việt Nam do nhà văn hóa Hữu Ngọc chủ biên, cùng các cộng sự là những chuyên gia, nhà nghiên cứu chuyên sâu trong các lĩnh vực được đề cập. Cuốn sách đã được xuất bản nhiều lần, và ấn bản này là sự kế thừa từ lần tái bản năm 2000, với những sự “sửa chữa và bổ sung”. Văn hóa là một phạm trù rất rộng, có thể nói bao hàm hầu hết mọi khía cạnh trong đời sống tinh thần và vật chất của con người. Cuốn sách, như ở tiêu đề đã làm rõ, đề cập các vấn đề thuộc văn hóa cổ truyền. Nghĩa là sẽ có rất nhiều nội dung, khái niệm, kể cả địa danh... đến nay không còn phổ biến, hay đã được biến cải, đổi tên theo thời gian, nhưng vẫn được trình bày, giới thiệu. Đương nhiên trong đó có cả những tập quán, tập tục giờ đã trở nên lỗi thời (như một số hủ tục), hay trái với quan điểm hiện hành về sinh thái, môi trường (như cách săn bắt một số loài thú quý từng phổ biến trong dân gian)... Đồng thời với đó là không ít những thay đổi về điều kiện tự nhiên, kinh tế, xã hội ở nhiều địa phương, tỉnh, thành trong suốt những năm qua còn chưa được cập nhật. Rất mong bạn đọc coi đây là cuốn sách giúp tìm hiểu về các khái niệm, ý niệm trong văn hóa cổ truyền, hơn là để tra cứu số liệu cụ thể.” - Nhà xuất bản Kim Đồng -
