Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/td-viet-duc-duc-viet.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_29433.jpg "

					Từ Điển Đức-Việt, Việt-Đức				" "" "(0 đánh giá)" "null" "
				    Vĩnh Quyền, NHư Quỳnh				" "
				    NXB Thanh Niên				" "
				    2017				" "
				    10 x 18 cm				" "
				    Bìa Mềm				" "
Cuốn sách này là công trình được thực hiện trong nhiều năm qua của các tác giả và những người cộng sự. Chúng tôi hy vọng sách sẽ giúp ích cho các độc giả trong việc học và tra cứu tiếng Đức, đồng thời có thể hỗ trợ cho những người nói tiếng Đức muốn học và tìm hiểu tiếng Việt. Trong quá trình biên soạn, ngoài những từ thông dụng trong cuộc sống hàng ngày, chúng tôi đã cố gắng đưa vào từ điển các từ mới thuộc lĩnh vực tin học, điện tử, khoa học máy tính, y học, v.v. để giúp bạn đọc dễ dàng tra cứu.
Mục từ trong từ điển được sắp xếp theo thứ tự cái ABC. Những chữ cái có dấu đổi âm được coi như những chữ cái bình thường. Từ điển được biên soạn dành cho người mới bắt đầu học tiếng Đức. Dễ tra từ, dễ sử dụng. 
" "
				    798				" "Sách tiếng Việt" "Từ điển" "Từ điển tiếng Đức - Vi..." "null" "178.200 đ" "198.000 đ"
https://www.fahasa.com/tu-dien-viet-duc.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_34882.jpg "

					Từ Điển Việt Đức				" "" "(0 đánh giá)" "null" "
				    Vĩnh Quyền, Như Quỳnh				" "
				    NXB Thanh Niên				" "
				    2017				" "
				    18 x 10 x 3 cm				" "
				    Bìa Mềm				" "
		    Từ Điển Việt Đức		    
" "
				    790				" "Sách tiếng Việt" "Từ điển" "Từ điển tiếng Đức - Vi..." "null" "79.200 đ" "88.000 đ"
