Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/300-cau-truc-ngu-phap-co-ban-tieng-han-188206.html https://cdn0.fahasa.com/media/catalog/product/3/0/300_cau_truc_ngu_phap_co_ban_tieng_han_1_2018_12_27_12_39_38_1.jpg "

					300 Cấu Trúc Ngữ Pháp Cơ Bản Tiếng Hàn				" "" "(0 đánh giá)" "
Cty Văn Hóa Văn Lang " "
				    Lê Huy Khoa				" "
				    Hồng Đức				" "
				    2017				" "
				    20 x 12 x 1 cm				" "
				    Bìa Mềm				" "
300 Cấu Trúc Ngữ Pháp Cơ Bản Tiếng Hàn
Với mục đích giúp bạn phần nào trong việc học tiếng Hàn, trường Hàn ngữ Kanata đã biên soạn 300 cấu trúc ngữ pháp cơ bản tiếng Hàn dựa trên giáo trình giảng dạy của đại học Yonsei Hàn Quốc đã được sắp xếp hệ thống, chính xác, đầy đủ và khoa học nhất các kiến thức cơ bản về ngữ pháp tiếng Hàn... giúp người học sách này dễ sử dụng hơn. 
" "
				    255				" "Sách tiếng Việt" "Từ điển" "Từ điển tiếng Hàn - Vi..." "null" "63.000 đ" "70.000 đ"
https://www.fahasa.com/tu-dien-viet-han-160896.html https://cdn0.fahasa.com/media/catalog/product/t/d/td_viet_-_han_39k_bc6f051a45994492a64b4caf3ff66733_grande_1_.png "

					Từ Điển Việt - Hàn				" "" "(0 đánh giá)" "null" "
				    Kim, Young Kyu				" "
				    NXB Thanh Niên				" "
				    2017				" "
				    18 x 10 x 0.5 cm				" "
				    Bìa Mềm				" "
		    Từ Điển Việt - Hàn		    
" "
				    349				" "Sách tiếng Việt" "Từ điển" "Từ điển tiếng Hàn - Vi..." "null" "35.100 đ" "39.000 đ"
https://www.fahasa.com/tu-dien-viet-han-tai-ban-2018.html https://cdn0.fahasa.com/media/catalog/product/t/u/tu_dien_viet_han_tai_ban_2018_1_2018_11_13_13_42_32.jpg "

					Từ Điển Việt Hàn (Tái Bản 2018)				" "" "(0 đánh giá)" "null" "
				    Lê Huy Khoa, Lê Hữu Nhân				" "
				    Tổng Hợp TPHCM				" "
				    2018				" "
				    10 x 18.5				" "
				    Bìa Mềm				" "
Từ Điển Việt - Hàn (Tái Bản 2018)
Những năm gần đây người Việt học tiếng Hàn Quốc ngày càng đông do sự phát triển giao lưu mạnh mẽ giữa 2 nước Việt - Hàn. Điều này có tác dụng lơn đến qui mô dạy và học tiếng Hàn ở Việt Nam.
Cuốn sách Từ điển Việt - Hàn được xuất bản là để đáp ứng nhu cầu học tiếng Hàn và tra cứu từ loại một cách nhanh chóng, khoa học và tiết kiệm thời gian cũng như công sức bỏ ra để tìm tòi và thu thập từ loại tiếng Hàn phục vụ cho ngành kinh tế, thương mại theo vần của tiếng Việt... 
" "
				    408				" "Sách tiếng Việt" "Từ điển" "Từ điển tiếng Hàn - Vi..." "null" "72.000 đ" "80.000 đ"
https://www.fahasa.com/tu-dien-viet-han-275886.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_27687.jpg "

					Từ Điển Việt - Hàn				" "" "(0 đánh giá)" "
