Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/tu-dien-phap-viet.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_244718_1_4613.jpg "

					Từ Điển Pháp - Việt (Cập Nhật Nhiều Từ Mới)				" "" "(0 đánh giá)" "null" "
				    Nhóm Biên Soạn				" "
				    NXB Thanh Niên				" "
				    2021				" "
				    18 x 10 x 5.2 cm				" "
				    Bìa Mềm				" "
Từ Điển Pháp - Việt (Cập Nhật Nhiều Từ Mới)
Từ trước đến nay đã có rất nhiều cuốn Từ điển Pháp Việt ra đời và đến tay các bạn. Nhưng với thời gian, cả tiếng Việt lẫn tiếng Pháp đều phát triển lên rất nhiều, và nhu cầu ngày càng cần bổ sung vào sự đổi mới, cập nhật của ngôn ngữ Việt Pháp nhất là để theo kịp đà tiến bộ của khoa học kỹ thuật, nhóm biên soạn chúng tôi ra mắt bạn đọc cuốn “Tự điển Pháp - Việt” này.
Cuốn tự điển này được biên soạn dựa trên nội dung của cuốn tự điển “Petit dictionnaire universel” của nhà xuất bản Hachette trong kì tái bản và bổ sung năm 1993.
Mặc dù đây là một cuốn tự điển có kích cỡ nhỏ, nhưng lại bao gồm một nội dung khá phong phú. Ở đây các bạn sẽ bắt gặp các từ ngữ từ lãnh vực phổ thông nhất trong đời sống giao tiếp hàng ngày cho đến các thuật ngữ về khoa học kỹ thuật chuyên ngành; và bên cạnh đó các bạn cũng sẽ bắt gặp các từ, vốn hiện nay không còn lưu hành thông dụng, nhưng rất cần để tra cứu, để đọc và hiểu được các tác giả lớn của Pháp vào các thế kỷ 19 và đầu 20. Với nội dung này, các từ đều được sắp xếp có mạch lạc và hệ thống: các từ cùng họ từ được sắp xếp kế cận nhau, mỗi từ cũng sẽ có các ghi chú riêng như: Familier: phổ thông, Littéraire: văn học, Vieux: cổ, ... hoặc Médecine: Y học, Informatique: tin học, Linguistique: ngữ học, ... nhờ đó bạn đọc tiện tra cứu và tìm hiểu.
Chúng tôi cũng phiên âm các từ dựa theo bản phiên âm quốc tế của Pháp “Règles générales du phonétisme français”. Để giúp các bạn có một phát âm chuẩn về một ngôn ngữ có nền văn hoá lâu đời này. Trong ý hướng là giúp ích thiết thực cho tất cả các bạn trong giao tiếp, đọc hiểu tiếng Pháp, nhóm biên soạn chúng tôi rất mong đón nhận những góp ý chân thành từ phía các bạn để cuốn tự điển này được hoàn chỉnh hơn trong lần tái bản tới. 
" "
				    1126				" "Sách tiếng Việt" "Từ điển" "Từ điển tiếng Pháp - V..." "null" "89.100 đ" "99.000 đ"
https://www.fahasa.com/tu-dien-phap-viet-viet-phap-bang-tranh.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_144030.jpg "

					Từ Điển Pháp Việt - Việt Pháp Bằng Tranh				" "" "(0 đánh giá)" "null" "null" "
				    NXB Tổng Hợp TPHCM				" "
				    2006				" "
				    25 x 30				" "
				    Bìa Mềm				" "
Từ Điển Pháp Việt - Việt Pháp Bằng Tranh
Từ Điển Pháp - Việt Việt - Pháp Bằng Tranh (Tiếng pháp dành cho thiếu nhi) 
Từ điển bằng tranh này dành riêng cho con vì con bắt đầu học tiếng Pháp. 
Từ điển được sắp xếp theo từng chủ đề ở mỗi trang đôi. Từ và hình ảnh minh hoạ được trình bày quanh bối cảnh trung tâm để giúp con nhận biết từ ngữ tiếng Pháp gắn trong tình huống. 
Để giúp con tốt hơn , phần hai của từ điển được dành cho một bảng tra liệt kê lại tất cả các từ tiếng Pháp con đã từng gặp, kèm theo phần dịch tiếng Việt. 
Phần ba là từ điển Việt - Pháp. Con sẽ gặp ở phần này những từ tiếng Pháp tương đương của tất cả các từ vựng tiếng Việt từng xuất hiện trong quyển sách này.

" "
				    82				" "Sách tiếng Việt" "Từ điển" "Từ điển tiếng Pháp - V..." "null" "42.560 đ" "56.000"
https://www.fahasa.com/tu-dien-truc-quan-bo-tui-phap-viet.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_44034.jpg "

					Từ Điển Trực Quan Bỏ Túi Pháp - Việt				" "" "(0 đánh giá)" "null" "
				    Larousse				" "
				    NXB Tổng Hợp TPHCM				" "
				    2020				" "
				    15 x 10.5 cm				" "
				    Bìa Mềm				" "
Từ điển trực quan bỏ túi Pháp – Việt
Nếu bạn muốn học từ tiếng Pháp hiệu quả và nhanh chóng mở rộng vốn từ thì đây là tài liệu lý tưởng dành cho bạn.
Quyển từ điển này cung cấp hơn 4.000 từ vựng (có phiên âm) thông qua 100 chủ đề liên quan đến cuộc sống thường ngày. Kèm theo hàng nghìn từ vựng đó là 2.000 hình màu minh họa để bạn dễ nhớ từ và vô số cách diễn đạt cần thiết để bạn nắm được cách dùng từ.
Với kích thước nhỏ gọn, dễ mang theo, sách được thiết kế để đồng hành cùng bạn ở mọi lúc mọi nơi và góp phần làm phong phú vốn từ của bạn. 
" "
				    256				" "Sách tiếng Việt" "Từ điển" "Từ điển tiếng Pháp - V..." "null" "142.880 đ" "188.000"
