Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/tu-dien-tieng-viet-hoang-phe-tai-ban.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935074125606_1.jpg "

					Từ Điển Tiếng Việt Hoàng Phê (Tái Bản)				" "" "(0 đánh giá)" "
Cty Văn Hóa Văn Lang " "
				    GS. Hoàng Phê				" "
				    NXB Hồng Đức				" "
				    2021				" "
				    24 x 16 x 6 cm				" "
				    Bìa Mềm				" "
Từ Điển Tiếng Việt Hoàng Phê (Tái Bản)
Trên thực tế, cuốn sách Từ điển Tiếng Việt (2021) Hoàng Phê của Viện Ngôn ngữ học đã là nguồn tra cứu, trích dẫn đáng tin cậy của hầu hết các bài viết, sách chuyên khảo, đặc biệt là các luận án tiến sĩ, luận văn thạc sĩ, khoá luận tốt nghiệp khi phân tích ý nghĩa của các đơn vị từ ngữ tiếng Việt, là cẩm nang tra cứu không thể thiếu của tất cả những người cầm bút, dù đó là nhà văn, nhà thơ, hay nhà báo, , kể cả các nhà giáo giảng dạy tiếng Việt. Đây là cuốn từ điển giải thích tiếng Việt có chất lượng và uy tín cao nhất so với bất cứ một cuốn từ điển giải thích tiếng Việt nào khác hiện có trên thị trường sách báo ở Việt Nam.
GS. TS. NGUYỄN ĐỨC TỒN
Viện trưởng Viện Ngôn ngữ học,
Viện KHXH VN
Tổng Biên tập Tạp chí Ngôn ngữ 
" "
				    1491				" "Sách tiếng Việt" "Từ điển" "Từ điển tiếng Việt" "null" "420.750 đ" "495.000 đ"
https://www.fahasa.com/tu-dien-tieng-viet-danh-cho-hoc-sinh-kho-to-tai-ban.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935236428842.jpg "

					Từ Điển Tiếng Việt Dành Cho Học Sinh - Khổ To (Tái Bản)				" "" "(0 đánh giá)" "
Nhà Sách Minh Thắng " "
				    Thành Yến				" "
				    Dân Trí				" "
				    2022				" "
				    18 x 10.5 x 2.5 cm				" "
				    Bìa Mềm				" "
Từ điển tiếng việt (dành cho học sinh) thuộc Viện Từ điển học và Bách khoa thư Việt Nam hướng dẫn biên soạn có nội dung đầy dủ , lượng từ vựng phong phú , mang tính chính xác cao . Cách trình bày từ điển khoa học , giải thích rõ ràng .
Đặc biệt , tác giả đã đưa ra nhiều ví dụ trích dẫn từ ca dao , tục ngữ và những tác phẩm trong chương trình học phổ thông , nhằm giúp các em học sinh có thêm nhiều kiến thức về kho tàng văn học Việt Nam . 
" "
				    668				" "Sách tiếng Việt" "Từ điển" "Từ điển tiếng Việt" "null" "52.500 đ" "75.000 đ"
https://www.fahasa.com/tu-dien-tieng-viet-tai-ban-2020.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_38336.jpg "

					Từ Điển Tiếng Việt (Tái Bản 2020)				" "" "(0 đánh giá)" "
Cty Văn Hóa Văn Lang " "
				    Nguyễn Tôn Nhan				" "
				    Hồng Đức				" "
				    2020				" "
				    16 x 10 x 3 cm				" "
				    Bìa Mềm				" "
- Nghĩa của từ được giải thích chính xác, đầy đủ, ngắn gọn, dễ hiểu.
- Hầu hết các ví dụ đều được trích dẫn từ ca dao, tục ngữ, thành ngữ và văn học cổ điển đã trở thành mẫu mực trong hành ngôn của người Việt thời kỳ cận và đương đại 
" "
				    826				" "Sách tiếng Việt" "Từ điển" "Từ điển tiếng Việt" "null" "53.040 đ" "78.000 đ"
https://www.fahasa.com/tu-dien-tieng-viet-danh-cho-hoc-sinh-kho-nho-tai-ban-2022.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935236428873.jpg "

					Từ Điển Tiếng Việt Dành Cho Học Sinh (Khổ Nhỏ) (Tái Bản 2022)				" "" "(0 đánh giá)" "
Nhà Sách Minh Thắng " "
				    Thành Yến				" "
				    Dân Trí				" "
				    2022				" "
				    13 x 8 x 4.4 cm				" "
				    Bìa Mềm				" "
Từ điển tiếng việt (dành cho học sinh) thuộc Viện Từ điển học và Bách khoa thư Việt Nam hướng dẫn biên soạn có nội dung đầy đủ, lượng từ vựng phong phú, mang tính chính xác cao. Cách trình bày từ điển khoa học, giải thích rõ ràng.
Đặc biệt, tác giả đã đưa ra nhiều ví dụ trích dẫn từ ca dao, tục ngữ và những tác phẩm trong chương trình học phổ thông, nhằm giúp các em học sinh có thêm nhiều kiến thức về kho tàng văn học Việt Nam. 
" "
				    1120				" "Sách tiếng Việt" "Từ điển" "Từ điển tiếng Việt" "null" "42.000 đ" "60.000 đ"
https://www.fahasa.com/tu-dien-tranh-cho-tre-em-tai-ban-2015.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_73214.jpg "

