Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/son-nam-di-va-ghi-nho-439131.html https://cdn0.fahasa.com/media/catalog/product/8/9/8934974189312.jpg "

					Sơn Nam - Đi Và Ghi Nhớ				" "" "(0 đánh giá)" "
NXB Trẻ " "
				    Sơn Nam				" "
				    Trẻ				" "
				    2023				" "
				    20 x 14 x 1.7 cm				" "
				    Bìa Mềm				" "
Sơn Nam - Đi Và Ghi Nhớ
Tập hợp 58 bài viết của nhà văn Sơn Nam từng được đăng báo trước và sau năm 1975, trong đó có nhiều bài in trên tạp chí Xưa&Nay.
“Nam bộ nói chung, Sài Gòn nói riêng nào phải là ‘địa đàng’-- Xưa kia, người Khmer bản địa sống co cụm trên những giồng cao ráo, làm ruộng thâm canh, không thích triển khai diện tích vào nơi đầm lầy đầy rắn, cọp và bệnh sốt rét. Người Hoa vẫn giữ tập quán thâm canh, ở đất cao, làm rẫy rau cải, không xông xáo ‘phá sơn lâm, đâm Hà bá’ như dân Việt. Dân ta đã định cư ở nơi đất thấp, nước phèn, đốn củi, phá rừng -- vùng đất Nam bộ, vùng đất Sài Gòn – Gia Định ngày nay, công ơn của tổ tiên thật là to lớn.” Đó là một trong những đoạn văn khái quát về Sài Gòn - Gia Định và Nam bộ nói chung qua con mắt Sơn Nam. Không chỉ vậy, còn có những nhân vật cụ thể góp phần làm nên bản sắc vùng đất này, hay là những khu phố, con đường, hàng cây làm nên dấu ấn cho một địa danh.
Chúng ta sẽ thấy Sơn Nam, dù không phải sinh ra ở vùng đất Sài Gòn -- Gia Định, nhưng hơn cả một người Sài Gòn, ông đã sống, gắn bó chí tình với mảnh đất này và đóng góp không nhỏ trong việc bảo vệ những giá trị văn hoá và lịch sử của nó.
